,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_cytokine_substr,lf_transcription_factor_distsv,lf_transcription_factor_substr,lf_t_lymphocyte_distsv,lf_t_lymphocyte_substr,olabel,orig_index,label,prob_0,prob_1,prob_2
2597,Th2 cytokine,4,6,18,30,"Levels of Th1 and Th2 cytokine in the lungs were also markedly reduced, paralleling the reduction in pulmonary inflammation.",17657315_4,-1,-1,-1,-1,-1,-1,-1,2597,-1,0.11718761,0.0068758684,0.87593657
2600,T cell,11,13,54,60,"Thus, SLAT is required for thymic DN1 cell expansion, T cell activation, and Th1 and Th2 inflammatory responses.",17657315_6,0,0,1,1,2,2,-1,2600,-1,0.00074643677,0.0018590349,0.99739456
2646,T cell,22,24,162,168,This controversy is largely because many studies focused on natural Tregs with undefined specificities and suppression has frequently been measured on polyclonal T cell responses.,17675469_1,0,0,1,1,2,2,-1,2646,-1,0.000619673,0.0008682113,0.9985121
2659,T cell,49,51,291,297,"The current study demonstrates that 1) SC plus FC transplantation results in the induction of donor CD4(+)25(+) regulatory T cells and that FC are present in the spleen of recipients before the induction of these cells, 2) activation of FC with CpG-oligodeoxynucleotide promotes CD4(+)25(-) T cell differentiation into CD4(+)25(+) regulatory T cells in vitro, as demonstrated by cytokine and forkhead/winged helix transcription factor (FoxP3) gene and protein expression, and 3) direct contact between FC and CD4(+)25(-) T cells is required for FoxP3(+)CD4(+)25(+) regulatory T cell induction and is dependent on CD86 expression on FC.",17675474_4,0,0,1,1,2,2,-1,2659,-1,0.00062840997,0.00089248177,0.99847907
2677,T cell,2,4,9,15,"Foxp3(+) T cell expansion was blocked by anti-TGF-beta Ab, and SOCS3(-/-) DCs produced higher levels of TGF-beta than WT-DCs, suggesting that TGF-beta plays an essential role in the expansion of Foxp3(+) Treg cells.",17675476_7,0,0,1,1,2,2,-1,2677,-1,0.00064185273,0.0008915677,0.9984666
2689,T cell IFN-gamma,1,4,4,20,All T cell IFN-gamma production was also derived from the CD4(+)Foxp3(-) population.,17675505_5,-1,-1,-1,-1,-1,-1,-1,2689,-1,0.898753,0.0038623707,0.097384624
2697,cytokines IL-4,18,20,120,134,"Allergic airways disease is initiated and perpetuated by an aberrant Th2 inflammatory response regulated in part by the cytokines IL-4 and IL-13, each of which induces activation of the STAT-6 transcription factor.",17675518_0,-1,-1,-1,-1,-1,-1,-1,2697,-1,0.9988555,0.000544249,0.0006002896
2700,Th2 cytokines IL-4,10,13,76,94,Our data demonstrate that the STAT-6-IP inhibited OVA-induced production of Th2 cytokines IL-4 and IL-13 in vitro.,17675518_3,-1,-1,-1,-1,-1,-1,-1,2700,-1,0.761315,0.004093494,0.23459153
2703,Th2 cytokine,15,17,97,109,"In contrast, the STAT-6-IP did not affect production of IFN-gamma, demonstrating specificity for Th2 cytokine inhibition.",17675518_4,-1,-1,-1,-1,-1,-1,-1,2703,-1,0.044836227,0.0039833724,0.95118034
2717,T-cell,7,8,55,61,"OBJECTIVE: We sought to characterize allergen-specific T-cell responses during successful birch pollen SLIT.METHODS: Proliferation of PBMCs and PBMCs depleted of CD25(+) cells obtained from 9 patients before, after 4 weeks, and after 52 weeks of SLIT was assessed in response to the major birch pollen allergen Bet v 1, the homologous apple allergen Mal d 1, or tetanus toxoid.",17681368_1,0,0,1,1,2,2,-1,2717,-1,0.0034676888,0.0051452206,0.99138707
2739,Th1 T cells,26,29,149,160,"Despite a discrete Tr phenotype, these cells stably expressed the T helper 1 (Th1) signature transcription factor T-bet, suggesting they derive from Th1 T cells.",17761830_4,-1,-1,-1,-1,-1,-1,-1,2739,-1,0.0006987814,0.00090765336,0.9983936
2746,T cell,9,11,56,62,Th17 cells have recently emerged as a third independent T cell subset that may play an essential role in protection against certain extracellular pathogens.,17766098_1,0,0,1,1,2,2,-1,2746,-1,0.00061601633,0.0008533341,0.9985306
2750,transcription factors STAT3,8,11,44,71,A combination of TGF-beta plus IL-6 and the transcription factors STAT3 and RORgammat were recently described to be essential for initial differentiation of Th17 cells and IL-23 for the later stabilization of the Th17 cell subset.,17766098_3,-1,-1,-1,-1,-1,-1,-1,2750,-1,0.0012413001,0.99794847,0.00081023097
2759,naturally occurring thymic,7,10,29,55,"Thymosin alpha1 (Talpha1), a naturally occurring thymic peptide, is approved for treatment of some viral infections and as an immune adjuvant.",17804687_1,-1,-1,-1,-1,-1,-1,-1,2759,-1,0.421422,0.006590344,0.5719877
2760,IFN regulatory factor 7,29,33,213,236,"The anti-viral effect of Talpha1 occurred through the activation of plasmacytoid DCs via the TLR9/myeloid differentiation primary response gene 88-dependent viral recognition sensing, leading to the activation of IFN regulatory factor 7 and the promotion of the IFN-alpha/IFN-gamma-dependent effector pathway.",17804687_6,-1,-1,-1,-1,-1,-1,-1,2760,-1,0.9988424,0.0006401897,0.0005173122
2761,T-cell,2,3,15,21,"HLA-G mediates T-cell differentiation into suppressor cells, which are thought to promote tolerance.",17804694_1,0,0,1,1,2,2,-1,2761,-1,0.008313852,0.009045118,0.98264104
2820,T cell,22,24,119,125,The aim of this article is to review the findings that have allowed us to better understand the behaviour of the lupus T cell and highlight the molecules that represent potential therapeutic targets.,17934100_3,0,0,1,1,2,2,-1,2820,-1,0.00060953834,0.0009575832,0.99843293
2821,T-cell,1,2,7,13,"During T-cell activation, a number of cytokine-activated signaling cascades, including the Jak-STAT, phosphoinositol 3-kinase (PI 3-kinase), and mitogen-activated protein kinase (MAPK) pathways, play important roles in modulating the expression of target genes and mediating a cellular response.",17938253_0,0,0,1,1,2,2,-1,2821,-1,0.0042156745,0.009113271,0.98667115
2829,T-cell,10,11,55,61,"Examination of Rsk2 knockout (KO) mice revealed normal T-cell development, but these T cells had delayed cell-cycle progression and lower production of IL-2 in response to anti-CD3 and anti-CD28 stimulation in vitro.",17938253_3,0,0,1,1,2,2,-1,2829,-1,0.0034582936,0.008329907,0.9882118
2832,T-cell,8,9,49,55,"Moreover, Rsk2 KO mice had defective homeostatic T-cell expansion following sublethal irradiation in vivo, which is known to involve T-cell receptor (TCR), IL-2, and/or IL-15 signals, each of which we demonstrate can rapidly and potently activate Rsk2 in mouse T cells.",17938253_4,0,0,1,1,2,2,-1,2832,-1,0.0034049668,0.0052186893,0.99137646
2833,T-cell,21,22,133,139,"Moreover, Rsk2 KO mice had defective homeostatic T-cell expansion following sublethal irradiation in vivo, which is known to involve T-cell receptor (TCR), IL-2, and/or IL-15 signals, each of which we demonstrate can rapidly and potently activate Rsk2 in mouse T cells.",17938253_4,0,0,1,1,2,2,-1,2833,-1,0.0040044934,0.006017847,0.9899777
2837,T-cell,10,11,65,71,These results indicate an essential nonredundant role of Rsk2 in T-cell activation.,17938253_5,0,0,1,1,2,2,-1,2837,-1,0.0040906593,0.015935374,0.97997403
2841,T-cell,1,2,6,12,"Since T-cell activation plays an important part in the pathophysiology of MS, we here investigated the effect of IFN-beta on the expression of co-signaling pathways (CD28-CD80/CD86, CD154-CD40, ICOS-ICOSL, PD-1-PD-L1/2) in MS patients and correlated the results with the clinical response to IFN-beta in individual patients.",17942524_2,0,0,1,1,2,2,-1,2841,-1,0.010408488,0.017396355,0.97219515
2854,Type I IFNs,0,3,0,11,"Type I IFNs activate DCs and drive anti-viral responses, whereas IL-4 is the prototype of a Th2 cytokine.",17982033_1,-1,-1,-1,-1,-1,-1,-1,2854,-1,0.9983016,0.0005739881,0.001124356
2856,Th2 cytokine,17,19,92,104,"Type I IFNs activate DCs and drive anti-viral responses, whereas IL-4 is the prototype of a Th2 cytokine.",17982033_1,-1,-1,-1,-1,-1,-1,-1,2856,-1,0.021564689,0.0033315641,0.97510374
2857,type I IFNs,3,6,23,34,Evidence suggests that type I IFNs and IL-4 influence each other to modulate DC functions.,17982033_2,-1,-1,-1,-1,-1,-1,-1,2857,-1,0.9985733,0.0005583283,0.00086837186
2859,type I IFNs,4,7,18,29,"We found that two type I IFNs, IFN-alpha and IFN-beta, stimulated a similar costimulatory profile in myeloid resting DCs.",17982033_3,-1,-1,-1,-1,-1,-1,-1,2859,-1,0.9985287,0.0005815361,0.000889771
2862,type I IFNs,9,12,52,63,"IL-4 suppressed the response of myeloid DCs to both type I IFNs in vitro and in vivo by impairing the up-regulation of MHC and costimulatory molecules and the production of cytokines, such as IL-6 and IL-15, and anti-viral genes, such as Mx-1, upon type I IFN stimulation.",17982033_4,-1,-1,-1,-1,-1,-1,-1,2862,-1,0.9978308,0.00059131044,0.0015779057
2866,type I IFN,47,50,249,259,"IL-4 suppressed the response of myeloid DCs to both type I IFNs in vitro and in vivo by impairing the up-regulation of MHC and costimulatory molecules and the production of cytokines, such as IL-6 and IL-15, and anti-viral genes, such as Mx-1, upon type I IFN stimulation.",17982033_4,-1,-1,-1,-1,-1,-1,-1,2866,-1,0.9979842,0.0005689366,0.0014468586
2875,IFNARs,75,76,443,449,"In dissecting the mechanism underlying this inhibition, we characterized the positive feedback loop that is triggered by IFN-alpha in primary DCs and found that IL-4 inhibited the initial phosphorylation of STAT1 and STAT2 (the transducers of signaling downstream of IFN-alpha and -beta receptors (IFNARs)) and reduced the up-regulation of genes involved in the amplification of the IFN response such as IRF-7, STAT1, STAT2, IFN-beta, and the IFNARs in vitro and in vivo.",17982033_5,-1,-1,-1,-1,-1,-1,-1,2875,-1,0.9986749,0.00069082767,0.00063416315
2877,type I IFNs,10,13,65,76,"Therefore, IL-4 renders myeloid DCs less responsive to paracrine type I IFNs and less potent in sustaining the autocrine positive loop that normally amplifies the effects of type I IFNs.",17982033_6,-1,-1,-1,-1,-1,-1,-1,2877,-1,0.9974038,0.0006359513,0.001960208
2878,type I IFNs,28,31,174,185,"Therefore, IL-4 renders myeloid DCs less responsive to paracrine type I IFNs and less potent in sustaining the autocrine positive loop that normally amplifies the effects of type I IFNs.",17982033_6,-1,-1,-1,-1,-1,-1,-1,2878,-1,0.9967585,0.00073396304,0.0025075094
2880,T cell,20,22,136,142,"Indeed, compared with wild-type controls, bone marrow-derived DCs from SLPI(-/-) mice released more inflammatory cytokines and enhanced T cell proliferation after stimulation with low dose LPS.",17982048_5,0,0,1,1,2,2,-1,2880,-1,0.00064796116,0.0008145486,0.99853754
2897,T cell,9,11,50,56,In vitro assays did not reveal any differences in T cell responses pretransplant.,17982065_2,0,0,1,1,2,2,-1,2897,-1,0.0006273057,0.0009429079,0.99842983
2902,T cell,26,28,174,180,"The key features distinguishing NIMA(d)-exposed acceptors from all other mice were: 1) higher frequency of IL-10- and TGF-beta-producing cells primarily in the CD4(+)CD25(+) T cell subset within lymph nodes and allografts, 2) a suppressed delayed-type hypersensitivity response to B6D2F1 Ags, and 3) allografts enriched in LAP(+), Foxp3(+), and CD4(+) T cells, with few CD8(+) T cells.",17982065_9,0,0,1,1,2,2,-1,2902,-1,0.00067226356,0.00087819074,0.99844956
2906,AP-1 transcription factor,9,12,45,70,"Recent work identified JunB, a member of the AP-1 transcription factor family, as critical regulator of basal and induced expression of inflammatory mediators in fibroblasts and T cells.",17982078_2,-1,-1,-1,-1,-1,-1,-1,2906,-1,0.0014451894,0.99775,0.0008048175
2930,Th2 cytokine,4,6,17,29,"IL-13 is a major Th2 cytokine that is capable of inducing inflammation, excessive mucus production, airway hyperresponsiveness, alveolar remodeling, and fibrosis in the murine lung.",17982094_0,-1,-1,-1,-1,-1,-1,-1,2930,-1,0.029036254,0.0035307906,0.96743304
2963,T cell,16,18,102,108,"Specific inhibitors for JAK/STAT, nuclear factor-kappaB (NF-kappaB), and nuclear factor for activated T cell (NFAT) were used to analyze signal transduction mechanisms.",18023521_5,0,0,1,1,2,2,-1,2963,-1,0.0005971196,0.0009355927,0.99846727
2998,T cell,6,8,34,40,We also performed analysis of the T cell epitope using a predictive epitope model taking into consideration the phylogeny of the variants.,18049888_2,0,0,1,1,2,2,-1,2998,-1,0.00087799114,0.0030804593,0.99604166
3015,CD4(+)/CD8(+)T-cell,9,10,65,84,"Analysis of the CD4(+)and CD8(+)T cells demonstrated a decreased CD4(+)/CD8(+)T-cell ratio (1:1 instead of 1:2) in response to IL-2 stimulation, possibly due to an unresponsiveness of IL-2 receptor beta and/or gamma chains.",18073156_3,-1,-1,-1,-1,-1,-1,-1,3015,-1,0.3768122,0.013356399,0.6098314
3017,IL-2 receptor beta,29,32,184,202,"Analysis of the CD4(+)and CD8(+)T cells demonstrated a decreased CD4(+)/CD8(+)T-cell ratio (1:1 instead of 1:2) in response to IL-2 stimulation, possibly due to an unresponsiveness of IL-2 receptor beta and/or gamma chains.",18073156_3,-1,-1,-1,-1,-1,-1,-1,3017,-1,0.99844295,0.0010469615,0.0005101055
3020,T-cell,15,16,87,93,"These results support the hypothesis that GILZ regulates, at least in part, peripheral T-cell functions by influencing their responsiveness to IL-2.",18073156_5,0,0,1,1,2,2,-1,3020,-1,0.008325284,0.0154030025,0.97627175
3027,T cell,27,29,175,181,"Interferon-gamma producing TH1 and IL-4 producing TH2 cells have long been recognized as important mediators of host defense, whereas regulatory T cells are known to suppress T cell responses.",18083530_1,0,0,1,1,2,2,-1,3027,-1,0.00060878997,0.0009404042,0.99845076
3039,T cell,22,24,184,190,A functional proteomics approach utilizing two-dimensional gel electrophoresis coupled with mass spectrometry was employed to identify differentially expressed proteins in response to T cell activation.,18086671_1,0,0,1,1,2,2,-1,3039,-1,0.00058944983,0.0009411377,0.9984694
3046,T cell,11,13,76,82,"Taken together, Phb1 and Phb2 are novel phosphoproteins up-regulated during T cell activation that function to maintain mitochondrial integrity and thus represent previously unrecognized therapeutic targets for regulating T cell activation, differentiation, viability, and function.",18086671_9,0,0,1,1,2,2,-1,3046,-1,0.0007715993,0.002069808,0.99715865
3047,T cell,29,31,222,228,"Taken together, Phb1 and Phb2 are novel phosphoproteins up-regulated during T cell activation that function to maintain mitochondrial integrity and thus represent previously unrecognized therapeutic targets for regulating T cell activation, differentiation, viability, and function.",18086671_9,0,0,1,1,2,2,-1,3047,-1,0.00065891235,0.0012769677,0.9980641
3048,T cell,3,5,20,26,The signals driving T cell activation in T cell-mediated fulminant hepatitis are not fully understood.,18096999_0,0,0,1,1,2,2,-1,3048,-1,0.00067232247,0.0011523904,0.99817526
3083,T cell,11,13,72,78,This was supported by tracking of thymocyte development via analysis of T cell receptor (TCR) repertoires in a TCR-beta transgenic model.,18199417_4,0,0,1,1,2,2,-1,3083,-1,0.0006295308,0.0009988776,0.99837154
3091,CD4(+)CD25(+)Foxp3(+)Regulatory T cells,0,3,0,39,CD4(+)CD25(+)Foxp3(+)Regulatory T cells (Tregs) play important roles in regulating allergic inflammation.,18201369_0,-1,-1,-1,-1,-1,-1,-1,3091,-1,0.046494402,0.0109025445,0.94260305
3106,T cell,21,23,119,125,"Since help from activated Th cells is essential in Ab class switching, we sought to examine how these mutations affect T cell activation.",18207244_2,0,0,1,1,2,2,-1,3106,-1,0.00061023113,0.0008530498,0.9985368
3107,T cell,3,5,14,20,"Using a human T cell line that was null for IKK gamma, we generated cells stably expressing two of the reported mutations, namely, D406V and C417R.",18207244_3,0,0,1,1,2,2,-1,3107,-1,0.00209026,0.013031088,0.9848786
3132,T cell,21,23,150,156,"Our findings indicate that rATG expanded Treg, probably through transcriptional regulation by enhanced NFAT1 expression, in turn conferring CD4+CD25- T cell FOXP3 expression and regulatory activity.",18250226_8,0,0,1,1,2,2,-1,3132,-1,0.0005859198,0.0008970761,0.9985171
3160,Foxp3:T cell,21,23,148,160,"Acceptance was associated with marked inhibition of cellular infiltration and inflammatory cytokine expression and only a brief, slight increase in Foxp3:T cell ratio in the graft and no increase in the spleen.",18346633_5,-1,-1,-1,-1,-1,-1,-1,3160,-1,0.49320036,0.07288031,0.4339193
3178,T cell IFN-gamma,43,46,281,297,"In both models of intestinal inflammation, improved clinical outcome was associated with reduced inflammation and profound attenuation of T(h)1 responses and, consistent with these in vivo findings, we confirmed that during in vitro differentiation, IL-27 directly promotes CD4(+) T cell IFN-gamma production through effects on Tbet, a key T(h)1 transcription factor.",18375937_4,-1,-1,-1,-1,-1,-1,-1,3178,-1,0.33913586,0.007641881,0.65322226
3263,thymic T cell,14,17,81,94,"Moreover, there is increasing evidence that CD83 also regulates B cell function, thymic T cell maturation, and peripheral T cell activation.",18424708_1,-1,-1,-1,-1,-1,-1,-1,3263,-1,0.8317562,0.005340023,0.1629038
3264,T cell,21,23,122,128,"Moreover, there is increasing evidence that CD83 also regulates B cell function, thymic T cell maturation, and peripheral T cell activation.",18424708_1,0,0,1,1,2,2,-1,3264,-1,0.00062909507,0.0010669718,0.9983039
3271,cytokines IFN-gamma,18,20,152,171,"Moreover, adoptive transfer of these cells prevents the paralysis associated with experimental autoimmune encephalomyelitis, suppresses proinflammatory cytokines IFN-gamma and IL-17, and increases antiinflammatory IL-10 in recipient mice.",18424708_6,-1,-1,-1,-1,-1,-1,-1,3271,-1,0.99883515,0.0005362451,0.000628569
3276,T cell,10,12,55,61,The AP-1 family member JunB is a critical regulator of T cell function.,18424718_0,0,0,1,1,2,2,-1,3276,-1,0.0007034228,0.0016207695,0.99767584
3284,T cell,25,27,138,144,We show here that JunB is conjugated with small ubiquitin-like modifier (SUMO) on lysine 237 in resting and activated primary T cells and T cell lines.,18424718_2,0,0,1,1,2,2,-1,3284,-1,0.0006048817,0.00088131,0.99851376
3291,T cell,24,26,149,155,"Thus, our work demonstrates that sumoylation of JunB regulates its ability to induce cytokine gene transcription and likely plays a critical role in T cell activation.",18424718_7,0,0,1,1,2,2,-1,3291,-1,0.0005890797,0.00092682446,0.9984841
3299,T cell cytokine,13,16,94,109,"Moreover, short-term coculture of reovirus-activated DC with autologous T cells also enhanced T cell cytokine secretion (IL-2 and IFN-gamma) and induced non-Ag restricted tumor cell killing.",18424722_6,-1,-1,-1,-1,-1,-1,-1,3299,-1,0.027881902,0.011124547,0.9609936
3307,T cell,6,8,37,43,"Our experiments indicate that TIRC7, T cell immune response cDNA 7, a novel membrane molecule involved in the regulation of T lymphocyte activation, identifies two Treg subsets (CD25(low)TIRC7(+) and CD25(high)TIRC7(-)) that are characterized by the expression of Foxp3 and a suppressive activity in vitro and in vivo.",18424726_2,0,0,1,1,2,2,-1,3307,-1,0.0006078305,0.0008756583,0.9985166
3317,T cell,35,37,226,232,"Defective Th17 differentiation noted in CD4(Stat3)(-/-) mice is compensated by exaggerated increases in Foxp3-, IL-10-, IL-4-, and IFN-gamma-expressing T cells, suggesting critical roles of STAT3 in shaping Ag-specific CD4(+) T cell repertoire.",18424728_2,0,0,1,1,2,2,-1,3317,-1,0.0006601695,0.00094980275,0.9983901
3334,T cell,21,23,126,132,"STAT3 requirement for IL-17 production by Th17, generation of double positive T cells expressing IL-17 and IFN-gamma, and for T cell trafficking into CNS tissues suggests that STAT3 may be a therapeutic target for modulating uveitis, sceritis, or multiple sclerosis.",18424728_6,0,0,1,1,2,2,-1,3334,-1,0.000614005,0.0009032006,0.9984829
3344,T cell,37,39,273,279,"Myeloid cell-specific Stat3-deficient mice exhibited elevated gingival CD40L gene expression in vivo compared with wild-type controls (p < 0.01), and Stat3-deficient MPs exhibited vigorous P. gingivalis-stimulated IL-12 production in vitro and induced elevated Ag-specific T cell proliferation compared with wild-type MPs (p < 0.01).",18424741_6,0,0,1,1,2,2,-1,3344,-1,0.0006194338,0.0008640792,0.9985165
3347,T cell,15,17,140,146,These data demonstrate that P. gingivalis-induced periodontitis in IL-10-deficient mice is dependent upon IL-12p40-mediated proinflammatory T cell responses.,18424741_8,0,0,1,1,2,2,-1,3347,-1,0.0008563209,0.0012197378,0.997924
3396,naturally occurring regulatory T cells,4,9,36,74,Activation of CD4(+)CD25(+)Foxp3(+) naturally occurring regulatory T cells (nTregs) resulting in suppression of lung allergic responses requires interaction of MHC class I on nTregs and CD8.,18490710_0,-1,-1,-1,-1,-1,-1,-1,3396,-1,0.00076648354,0.00088279875,0.99835074
3426,cytokine interleukin,28,30,180,200,The nuclear hormone receptor retinoic acid receptor-related orphan receptor gamma t (RORgamma t) is required for the generation of T helper 17 cells expressing the proinflammatory cytokine interleukin (IL)-17.,18504307_0,-1,-1,-1,-1,-1,-1,-1,3426,-1,0.9987036,0.0005387342,0.00075761747
3438,T cell,18,20,93,99,"In the lung and skin, the largest population of RORgamma t(+) T cells express the gammadelta T cell receptor and produce the highest levels of IL-17 independently of IL-6.",18504307_6,0,0,1,1,2,2,-1,3438,-1,0.00061278004,0.00092395116,0.9984633
3446,Th17 T cell subset,9,13,54,72,"IL-17 and IL-22 are typical cytokines produced by the Th17 T cell subset, but it is unclear if Th17 cytokines can be produced by other cell types.",18506885_0,-1,-1,-1,-1,-1,-1,-1,3446,-1,0.00073008804,0.0010983379,0.99817157
3447,Th17 cytokines,19,21,95,109,"IL-17 and IL-22 are typical cytokines produced by the Th17 T cell subset, but it is unclear if Th17 cytokines can be produced by other cell types.",18506885_0,-1,-1,-1,-1,-1,-1,-1,3447,-1,0.02407707,0.0033591625,0.9725637
3457,Th17 transcription factor,6,9,26,51,"Finally, the mRNA for the Th17 transcription factor retinoic acid-related orphan receptor (ROR)gammat was significantly elevated in IL-10-deficient spleen cells and macrophages.",18506885_5,-1,-1,-1,-1,-1,-1,-1,3457,-1,0.0053155255,0.836994,0.15769055
3458,Th17 cytokines,4,6,28,42,These data demonstrate that Th17 cytokines and RORgammat are also expressed in macrophages and that IL-10 negatively regulates the expression of Th17 cytokines and RORgammat by both macrophages and T cells.,18506885_6,-1,-1,-1,-1,-1,-1,-1,3458,-1,0.049918734,0.003743468,0.9463378
3460,Th17 cytokines,21,23,145,159,These data demonstrate that Th17 cytokines and RORgammat are also expressed in macrophages and that IL-10 negatively regulates the expression of Th17 cytokines and RORgammat by both macrophages and T cells.,18506885_6,-1,-1,-1,-1,-1,-1,-1,3460,-1,0.046313122,0.0037539897,0.94993293
3463,T cell,23,25,94,100,"In this brief review, we summarize the progress in following topics: (1) Tregs; (2) Tregs and T cell co-stimulation; (3) Tregs in lymphomas; and (4) Tregs in other Tumors.",18508492_5,0,0,1,1,2,2,-1,3463,-1,0.0005994005,0.000855942,0.9985447
3485,T cell,11,13,78,84,"We studied simultaneously Epstein-Barr virus (EBV)-specific CD4(+) and CD8(+) T cell responses during and after infectious mononucleosis (IM), using a previously described 12-day stimulation protocol with EBNA1 or BZLF1 peptide pools.",18549439_0,0,0,1,1,2,2,-1,3485,-1,0.000597077,0.00081215124,0.99859077
3488,T cell,6,8,32,38,"During IM, BZLF1-specifc CD4(+) T cell responses were dominant compared with CD8(+) T cell responses.",18549439_2,0,0,1,1,2,2,-1,3488,-1,0.0006091332,0.00088635593,0.99850464
3489,T cell,15,17,84,90,"During IM, BZLF1-specifc CD4(+) T cell responses were dominant compared with CD8(+) T cell responses.",18549439_2,0,0,1,1,2,2,-1,3489,-1,0.0006002109,0.00086205394,0.9985378
3490,T cell,6,8,33,39,EBNA1-specific CD4(+) and CD8(+) T cell responses were low and remained similar for 6 months.,18549439_3,0,0,1,1,2,2,-1,3490,-1,0.00062386744,0.00085206487,0.9985241
3491,T cell,10,12,50,56,"However, 6 months after IM, BZLF1-specific CD4(+) T cell responses had declined, but CD8(+) T cell responses had increased.",18549439_4,0,0,1,1,2,2,-1,3491,-1,0.00063841813,0.00093937514,0.99842215
3492,T cell,19,21,92,98,"However, 6 months after IM, BZLF1-specific CD4(+) T cell responses had declined, but CD8(+) T cell responses had increased.",18549439_4,0,0,1,1,2,2,-1,3492,-1,0.0006123017,0.0008330332,0.99855465
3496,T cell,5,7,34,40,"The remaining EBV-specific CD8(+) T cell population 6 months after the diagnosis of IM consisted mainly of tetramer(bright)CD8(bright) CD27(+) T cells, suggesting preferential preservation of memory T cells after contraction of the EBV-specific T cell pool.",18549439_6,0,0,1,1,2,2,-1,3496,-1,0.0005981071,0.00091158535,0.99849033
3499,T cell,37,39,245,251,"The remaining EBV-specific CD8(+) T cell population 6 months after the diagnosis of IM consisted mainly of tetramer(bright)CD8(bright) CD27(+) T cells, suggesting preferential preservation of memory T cells after contraction of the EBV-specific T cell pool.",18549439_6,0,0,1,1,2,2,-1,3499,-1,0.0006078103,0.0009165512,0.99847573
3514,T cell,14,16,93,99,Previous studies have demonstrated that Bcl10 (B-cell leukemia/lymphoma 10) is essential for T cell receptor-mediated NF-kappaB activation and subsequent proliferation and interleukin 2 (IL2) production.,18583339_0,0,0,1,1,2,2,-1,3514,-1,0.0011396118,0.0028530236,0.9960074
3518,T cell,16,18,98,104,"However, here we demonstrate that, contrary to expectations, Bcl10 is differentially required for T cell activation, including for both proliferation and cytokine production.",18583339_1,0,0,1,1,2,2,-1,3518,-1,0.0006171292,0.0010530304,0.9983298
3529,T cell,35,37,218,224,"As with the other subpopulations of T cells, CD4+CD44hi T cells did not activate the NF-kappaB pathway in the absence of Bcl10; nevertheless, these CD4+CD44hi antigen-experienced T cells efficiently secreted IL2 after T cell receptor stimulation.",18583339_3,0,0,1,1,2,2,-1,3529,-1,0.0007514968,0.0012265637,0.99802184
3530,T cell,4,6,23,29,"Strikingly, therefore, T cell receptor-mediated IL2 production in these cells is NF-kappaB-independent.",18583339_4,0,0,1,1,2,2,-1,3530,-1,0.00066665316,0.0011785236,0.9981548
3548,T cell,34,36,180,186,"We addressed the question of the development of human IL-17--producing T helper cells in vivo by quantifying the production and secretion of IL-17 by fresh T cells ex vivo, and by T cell blasts expanded in vitro from patients with particular genetic traits affecting transforming growth factor (TGF) beta, IL-1, IL-6, or IL-23 responses.",18591412_1,0,0,1,1,2,2,-1,3548,-1,0.000600724,0.00088922,0.99851006
3557,T cell,22,24,148,154,These data suggest that IL-12Rbeta1- and STAT-3--dependent signals play a key role in the differentiation and/or expansion of human IL-17-producing T cell populations in vivo.,18591412_4,0,0,1,1,2,2,-1,3557,-1,0.00059012,0.00087479973,0.99853504
3567,type I,29,31,194,200,"In this study, we demonstrate that VACV infection is capable of inhibiting the phosphorylation of Stat1 and Stat2 after stimulation of fibroblasts or bone marrow-derived macrophages with either type I or type II IFNs, but did not inhibit the activation of Stat3 or Stat5 in either cell type.",18593332_3,0,0,1,1,-1,-1,-1,3567,-1,0.99504834,0.0010323569,0.0039193495
3568,type II IFNs,32,35,204,216,"In this study, we demonstrate that VACV infection is capable of inhibiting the phosphorylation of Stat1 and Stat2 after stimulation of fibroblasts or bone marrow-derived macrophages with either type I or type II IFNs, but did not inhibit the activation of Stat3 or Stat5 in either cell type.",18593332_3,-1,-1,-1,-1,-1,-1,-1,3568,-1,0.9981589,0.00061699824,0.0012241383
3594,T cell,19,21,101,107,"However, the engagement of CD40 by its ligand, mainly expressed on a specific germinal center CD4(+) T cell subpopulation, counteracts TRAIL-induced apoptosis in FL B cells.",18606651_3,0,0,1,1,2,2,-1,3594,-1,0.0006089373,0.0008782392,0.9985128
3598,T cell,5,7,38,44,"Blocking of costimulatory signals for T cell activation leads to tolerance in several transplantation models, but the underlying mechanisms are incompletely understood.",18606655_0,0,0,1,1,2,2,-1,3598,-1,0.0006087589,0.0010933313,0.998298
3623,Th1 effector T cells,46,50,276,296,"In each model, we found that prolonged allograft survival requires the presence of natural CD4(+)Foxp3(+) T regulatory cells (Tregs), and that the TLR9 ligand CpG prevents graft acceptance both by interfering with natural Treg function and by promoting the differentiation of Th1 effector T cells in vivo.",18641305_2,-1,-1,-1,-1,-1,-1,-1,3623,-1,0.0006546219,0.00087900023,0.9984664
3653,T cell,12,14,87,93,"Simultaneously, proliferative activity and expression levels of IL-2 and IL-2Ralpha of T cell were restored.",18665051_8,0,0,1,1,2,2,-1,3653,-1,0.0006158363,0.0010933896,0.9982907
