,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,olabel,orig_index,label,prob_0,prob_1,prob_2
17314,SCLC tumour,7,9,31,42,"FOXP3(+) T cells were found in SCLC tumour biopsies, and patients with higher ratios of FOXP3(+) cells in tumour infiltrates have a worse survival rate.",22532287_6,-1,-1,-1,-1,17314,-1,8.240777e-06,0.99997926,1.2508714e-05
17319,SCLC tumour cells,4,7,25,42,"The inhibitory effect of SCLC tumour cells was not affected by blocking IL-10 receptor or TGF-β signalling but was partially reversed by blocking IL-15, which is reported to be involved in human Treg cells induction.",22532287_7,-1,-1,-1,-1,17319,-1,0.0023801934,0.15784141,0.83977836
17320,IL-10 receptor,12,14,72,86,"The inhibitory effect of SCLC tumour cells was not affected by blocking IL-10 receptor or TGF-β signalling but was partially reversed by blocking IL-15, which is reported to be involved in human Treg cells induction.",22532287_7,-1,-1,-1,-1,17320,-1,0.9994641,4.6916586e-05,0.0004889242
17326,SCLC cells that,4,7,22,37,IL-15 was secreted by SCLC cells that inhibited CD4(+) T-cell proliferation and was present in SCLC biopsy tumour cells.,22532287_8,-1,-1,-1,-1,17326,-1,4.5314187e-05,0.99982435,0.00013041172
17329,tumour cells,18,20,107,119,IL-15 was secreted by SCLC cells that inhibited CD4(+) T-cell proliferation and was present in SCLC biopsy tumour cells.,22532287_8,-1,-1,-1,-1,17329,-1,9.876982e-05,0.00052783795,0.9993734
17331,that SCLC tumour cells,4,8,33,55,These novel findings demonstrate that SCLC tumour cells can induce CD4(+) T-cell-mediated immunosuppression.,22532287_9,-1,-1,-1,-1,17331,-1,0.0022506218,0.8858574,0.11189196
17332,T-cell-mediated,12,13,74,89,These novel findings demonstrate that SCLC tumour cells can induce CD4(+) T-cell-mediated immunosuppression.,22532287_9,-1,1,2,-1,17332,-1,1.2577272e-05,7.577311e-06,0.99997973
17334,SCLC tumour cells,7,10,42,59,This gives a potential mechanism by which SCLC tumour cells may downregulate local and systemic immune responses and contribute to poor patient survival.,22532287_10,-1,-1,-1,-1,17334,-1,0.0024375175,0.53201836,0.46554416
17337,that IL-15,3,5,17,27,Our data suggest that IL-15 and Treg cells are potential new therapeutic targets to improve immune response and patient survival in SCLC.,22532287_11,-1,-1,-1,-1,17337,-1,0.86917347,0.1283974,0.002429094
17339,therapeutic targets to,11,14,61,83,Our data suggest that IL-15 and Treg cells are potential new therapeutic targets to improve immune response and patient survival in SCLC.,22532287_11,-1,-1,-1,-1,17339,-1,3.8834005e-06,0.9999924,3.6872111e-06
17353,the factors that,7,10,34,50,"In the present study, we explored the factors that influence CD4(+) Treg reconstitution in patients receiving adoptive immunotherapy following conditioning regimens designed to enhance T-cell function and evaluated potential associations between CD4(+) Treg levels and clinical responses to therapy.",22555974_1,-1,-1,-1,-1,17353,-1,5.884109e-06,0.9999901,4.0008144e-06
17356,T-cell function,26,28,185,200,"In the present study, we explored the factors that influence CD4(+) Treg reconstitution in patients receiving adoptive immunotherapy following conditioning regimens designed to enhance T-cell function and evaluated potential associations between CD4(+) Treg levels and clinical responses to therapy.",22555974_1,-1,-1,-1,-1,17356,-1,1.8001085e-05,9.718769e-06,0.9999722
17358,to therapy,40,42,288,298,"In the present study, we explored the factors that influence CD4(+) Treg reconstitution in patients receiving adoptive immunotherapy following conditioning regimens designed to enhance T-cell function and evaluated potential associations between CD4(+) Treg levels and clinical responses to therapy.",22555974_1,-1,-1,-1,-1,17358,-1,9.691945e-06,0.99998355,6.742769e-06
17359,The analysis,0,2,0,12,The analysis of 4 trials employing nonmyeloablative chemotherapy with or without total body irradiation (TBI) before adoptive T-cell transfer revealed that the percentage and number of reconstituting CD4(+)FoxP3(+) Tregs observed in the peripheral blood was higher in nonresponders than in responders.,22555974_2,-1,-1,-1,-1,17359,-1,4.8802503e-06,0.9999907,4.365743e-06
17364,T-cell transfer,19,21,126,141,The analysis of 4 trials employing nonmyeloablative chemotherapy with or without total body irradiation (TBI) before adoptive T-cell transfer revealed that the percentage and number of reconstituting CD4(+)FoxP3(+) Tregs observed in the peripheral blood was higher in nonresponders than in responders.,22555974_2,-1,-1,-1,-1,17364,-1,8.20684e-05,0.00017477646,0.99974304
17365,that the,22,24,151,159,The analysis of 4 trials employing nonmyeloablative chemotherapy with or without total body irradiation (TBI) before adoptive T-cell transfer revealed that the percentage and number of reconstituting CD4(+)FoxP3(+) Tregs observed in the peripheral blood was higher in nonresponders than in responders.,22555974_2,-1,-1,-1,-1,17365,-1,4.259274e-06,0.9999918,3.9650363e-06
17368,blood,36,37,248,253,The analysis of 4 trials employing nonmyeloablative chemotherapy with or without total body irradiation (TBI) before adoptive T-cell transfer revealed that the percentage and number of reconstituting CD4(+)FoxP3(+) Tregs observed in the peripheral blood was higher in nonresponders than in responders.,22555974_2,0,1,-1,-1,17368,-1,0.0020523677,0.3452756,0.652672
17374,the TBI,22,24,114,121,"The addition of TBI resulted in a further depletion of CD4(+) Tregs, and the degree of depletion was dependent on the TBI dose.",22555974_3,-1,-1,-1,-1,17374,-1,5.30041e-05,0.99991715,2.9805367e-05
17381,therapy,16,17,105,112,"These observations provide strong evidence that endogenous CD4(+) Tregs have a negative impact on cancer therapy, and suggest that strategies reducing Treg levels may provide clinical benefit to cancer patients.",22555974_5,0,1,-1,-1,17381,-1,5.00855e-06,0.9999893,5.7453053e-06
17395,that the,4,6,16,24,"Here, we showed that the expression of perforin, CD95L, and promyelocytic leukemia zinc finger, a transcription factor required for maintenance of iNKT cell functions, was reduced or suppressed in CML patients at diagnosis, as compared with healthy individuals.",22585600_2,-1,-1,-1,-1,17395,-1,3.93999e-06,0.99999213,3.9334873e-06
17398,cell functions,26,28,152,166,"Here, we showed that the expression of perforin, CD95L, and promyelocytic leukemia zinc finger, a transcription factor required for maintenance of iNKT cell functions, was reduced or suppressed in CML patients at diagnosis, as compared with healthy individuals.",22585600_2,-1,-1,-1,-1,17398,-1,2.3017341e-05,1.8611783e-05,0.9999584
17400,blood,4,5,26,31,The proliferation rate of blood iNKT cells in response to their cognate ligand was likewise diminished.,22585600_3,0,1,-1,-1,17400,-1,0.00038450936,0.9993185,0.0002970459
17402,to their,9,11,55,63,The proliferation rate of blood iNKT cells in response to their cognate ligand was likewise diminished.,22585600_3,-1,-1,-1,-1,17402,-1,1.5587992e-05,0.99997723,7.1760414e-06
17403,These functional,0,2,0,16,These functional deficiencies were corrected in patients having achieved complete cytogenetic remission following TK inhibitor or IFN-α therapy.,22585600_4,-1,-1,-1,-1,17403,-1,0.0002373683,0.9996892,7.3424584e-05
17405,IFN-α therapy,16,18,130,143,These functional deficiencies were corrected in patients having achieved complete cytogenetic remission following TK inhibitor or IFN-α therapy.,22585600_4,-1,-1,-1,-1,17405,-1,0.9994487,0.00030998065,0.00024126425
17409,that their,4,6,18,28,"Instead, we found that their anergic status originated from both intrinsic and APC-dependent dysfunctions.",22585600_6,-1,-1,-1,-1,17409,-1,5.389899e-06,0.99998987,4.730242e-06
17412,functional,10,11,63,73,Our data demonstrate that chronic phase CML is associated with functional deficiencies of iNKT cells that are restored upon remission.,22585600_7,0,1,2,-1,17412,-1,0.010923674,0.98735285,0.0017234787
17413,cells that,14,16,95,105,Our data demonstrate that chronic phase CML is associated with functional deficiencies of iNKT cells that are restored upon remission.,22585600_7,-1,-1,-1,-1,17413,-1,0.0026780884,0.34906036,0.64826155
17419,receptor,5,6,31,39,Surface expression of the IL-2 receptor α-chain (CD25) has been used to discriminate between CD4(+) CD25(HI) FOXP3(+) regulatory T (Treg) cells and CD4(+) CD25(NEG) FOXP3(-) non-Treg cells.,22585674_0,0,1,2,-1,17419,-1,0.17974073,0.34514117,0.47511804
17428,that the,5,7,28,36,"However, this study reports that the majority of resting human memory CD4(+) FOXP3(-) T cells expresses intermediate levels of CD25 and that CD25 expression can be used to delineate a functionally distinct memory subpopulation.",22585674_1,-1,-1,-1,-1,17428,-1,3.989687e-06,0.99999154,4.439795e-06
17433,functionally,33,34,184,196,"However, this study reports that the majority of resting human memory CD4(+) FOXP3(-) T cells expresses intermediate levels of CD25 and that CD25 expression can be used to delineate a functionally distinct memory subpopulation.",22585674_1,0,1,2,-1,17433,-1,3.9453746e-05,0.999944,1.6548769e-05
17435,T-cell,4,5,21,27,The CD25(NEG) memory T-cell population contains the vast majority of late differentiated cells that respond to antigens associated with chronic immune responses and are increased in patients with systemic lupus erythematosus (SLE).,22585674_2,-1,1,2,-1,17435,-1,9.050668e-06,7.2342464e-06,0.99998367
17437,cells that,13,15,89,99,The CD25(NEG) memory T-cell population contains the vast majority of late differentiated cells that respond to antigens associated with chronic immune responses and are increased in patients with systemic lupus erythematosus (SLE).,22585674_2,-1,-1,-1,-1,17437,-1,0.002055861,0.237642,0.7603021
17438,to antigens,16,18,108,119,The CD25(NEG) memory T-cell population contains the vast majority of late differentiated cells that respond to antigens associated with chronic immune responses and are increased in patients with systemic lupus erythematosus (SLE).,22585674_2,-1,-1,-1,-1,17438,-1,0.9364372,0.061141063,0.0024217914
17442,to antigens,10,12,50,61,"In contrast, the CD25(INT) memory T cells respond to antigens associated with recall responses, produce a greater array of cytokines, and are less dependent on costimulation for effector responses due to their expression of CD25.",22585674_3,-1,-1,-1,-1,17442,-1,0.84598297,0.14988886,0.0041281474
17444,to their,34,36,201,209,"In contrast, the CD25(INT) memory T cells respond to antigens associated with recall responses, produce a greater array of cytokines, and are less dependent on costimulation for effector responses due to their expression of CD25.",22585674_3,-1,-1,-1,-1,17444,-1,5.7428524e-06,0.99998856,5.65822e-06
17445,to the,3,5,17,23,"Lastly, compared to the CD25(NEG) and Treg-cell populations, the CD25(INT) memory population is lost to a greater degree from the blood of cancer patients treated with IL-2.",22585674_4,-1,-1,-1,-1,17445,-1,4.226492e-06,0.99999106,4.6924692e-06
17446,Treg-cell,8,9,38,47,"Lastly, compared to the CD25(NEG) and Treg-cell populations, the CD25(INT) memory population is lost to a greater degree from the blood of cancer patients treated with IL-2.",22585674_4,-1,1,2,-1,17446,-1,1.3085907e-05,1.5466418e-05,0.9999714
17449,the blood,23,25,126,135,"Lastly, compared to the CD25(NEG) and Treg-cell populations, the CD25(INT) memory population is lost to a greater degree from the blood of cancer patients treated with IL-2.",22585674_4,-1,-1,-1,-1,17449,-1,3.3668264e-05,0.9999027,6.361504e-05
17457,functionally,33,34,170,182,"Collectively, these results show that in humans, a large proportion of CD4(+) memory T cells express intermediate levels of CD25, and this CD25(INT) FOXP3(-) subset is a functionally distinct memory population that is uniquely affected by IL-2.",22585674_5,0,1,2,-1,17457,-1,3.202542e-05,0.99995446,1.3520423e-05
17467,T(eff)-attracting chemokines,12,14,76,104,Colorectal tumors with reduced accumulation of T(eff) express low levels of T(eff)-attracting chemokines such as CXCL10/IP10 and CCL5/RANTES.,22593190_1,-1,-1,-1,-1,17467,-1,0.07308168,0.92220455,0.0047137504
17471,T(eff)-attracting chemokines,13,15,80,108,"In this study, we investigated the feasibility of enhancing tumor production of T(eff)-attracting chemokines as a cancer therapeutic strategy using a tissue explant culture system to analyze chemokine induction in intact tumor tissues.",22593190_2,-1,-1,-1,-1,17471,-1,0.075257786,0.9189016,0.0058406126
17473,tissue,22,23,150,156,"In this study, we investigated the feasibility of enhancing tumor production of T(eff)-attracting chemokines as a cancer therapeutic strategy using a tissue explant culture system to analyze chemokine induction in intact tumor tissues.",22593190_2,-1,1,2,-1,17473,-1,8.474272e-06,0.9999796,1.1948679e-05
17476,tumor tissues,32,34,221,234,"In this study, we investigated the feasibility of enhancing tumor production of T(eff)-attracting chemokines as a cancer therapeutic strategy using a tissue explant culture system to analyze chemokine induction in intact tumor tissues.",22593190_2,-1,-1,-1,-1,17476,-1,1.7551363e-05,0.99993074,5.1737527e-05
17478,to IFNα,10,12,72,79,"In different tumor explants, we observed highly heterogeneous responses to IFNα or poly-I:C (a TLR3 ligand) when they were applied individually.",22593190_3,-1,-1,-1,-1,17478,-1,0.96141803,0.03700159,0.0015803202
17487,this triple,1,3,9,20,"Applying this triple combination also uniformly suppressed the production of CCL22/MDC, a chemokine associated with infiltration of T regulatory cells (T(reg)).",22593190_6,-1,-1,-1,-1,17487,-1,6.560606e-06,0.9999882,5.237539e-06
17493,The T(eff)-enhancing,0,2,0,20,"The T(eff)-enhancing effects of this treatment occurred selectively in tumor tissues, as compared with tissues derived from tumor margins.",22593190_7,-1,-1,-1,-1,17493,-1,0.00013740995,0.9997923,7.02877e-05
17494,this treatment,4,6,32,46,"The T(eff)-enhancing effects of this treatment occurred selectively in tumor tissues, as compared with tissues derived from tumor margins.",22593190_7,-1,-1,-1,-1,17494,-1,5.1362376e-06,0.99999046,4.458884e-06
17495,tumor tissues,9,11,71,84,"The T(eff)-enhancing effects of this treatment occurred selectively in tumor tissues, as compared with tissues derived from tumor margins.",22593190_7,-1,-1,-1,-1,17495,-1,1.13824735e-05,0.9999107,7.7948156e-05
17496,tissues,15,16,103,110,"The T(eff)-enhancing effects of this treatment occurred selectively in tumor tissues, as compared with tissues derived from tumor margins.",22593190_7,-1,1,2,-1,17496,-1,1.9584706e-05,0.9996592,0.00032119805
17501,tumor-associated cells,8,10,52,74,"These effects relied on the increased propensity of tumor-associated cells (mostly fibroblasts and infiltrating inflammatory cells) to hyperactivate NF-κB and produce T(eff)-attracting chemokines in response to treatment, resulting in an enhanced ability of the treated tumors to attract T(eff) cells and reduced ability to attract T(reg) cells.",22593190_8,-1,-1,-1,-1,17501,-1,0.002811425,0.74988276,0.24730581
17504,T(eff)-attracting chemokines,23,25,167,195,"These effects relied on the increased propensity of tumor-associated cells (mostly fibroblasts and infiltrating inflammatory cells) to hyperactivate NF-κB and produce T(eff)-attracting chemokines in response to treatment, resulting in an enhanced ability of the treated tumors to attract T(eff) cells and reduced ability to attract T(reg) cells.",22593190_8,-1,-1,-1,-1,17504,-1,0.04426799,0.95300955,0.0027225418
17505,to treatment,27,29,208,220,"These effects relied on the increased propensity of tumor-associated cells (mostly fibroblasts and infiltrating inflammatory cells) to hyperactivate NF-κB and produce T(eff)-attracting chemokines in response to treatment, resulting in an enhanced ability of the treated tumors to attract T(eff) cells and reduced ability to attract T(reg) cells.",22593190_8,-1,-1,-1,-1,17505,-1,5.08965e-06,0.9999901,4.7755057e-06
17506,the treated tumors to,36,40,258,279,"These effects relied on the increased propensity of tumor-associated cells (mostly fibroblasts and infiltrating inflammatory cells) to hyperactivate NF-κB and produce T(eff)-attracting chemokines in response to treatment, resulting in an enhanced ability of the treated tumors to attract T(eff) cells and reduced ability to attract T(reg) cells.",22593190_8,-1,-1,-1,-1,17506,-1,3.460332e-06,0.9999926,3.964219e-06
17514,the tumor,12,14,86,95,"Together, our findings suggest the feasibility of exploiting NF-κB hyperactivation in the tumor microenvironment to selectively enhance T(eff) entry into colon tumors.",22593190_9,-1,-1,-1,-1,17514,-1,4.499104e-06,0.9999912,4.314561e-06
17520,pleiotropic cytokine,6,8,26,46,"Interleukin-6 (IL-6) is a pleiotropic cytokine involved in the regulation of the cross talk between haematopoietic/immune cells and stromal cells, including the onset and resolution of inflammation, responses to infection, tissue remodelling and cancer.",22652781_0,-1,-1,-1,-1,17520,-1,0.13476601,0.860856,0.0043779644
17521,the regulation,10,12,59,73,"Interleukin-6 (IL-6) is a pleiotropic cytokine involved in the regulation of the cross talk between haematopoietic/immune cells and stromal cells, including the onset and resolution of inflammation, responses to infection, tissue remodelling and cancer.",22652781_0,-1,-1,-1,-1,17521,-1,4.898552e-06,0.99998975,5.3118033e-06
17528,tissue,35,36,223,229,"Interleukin-6 (IL-6) is a pleiotropic cytokine involved in the regulation of the cross talk between haematopoietic/immune cells and stromal cells, including the onset and resolution of inflammation, responses to infection, tissue remodelling and cancer.",22652781_0,-1,1,2,-1,17528,-1,0.0012561042,0.99087924,0.007864639
17532,receptor,12,13,83,91,"IL-6 can interact with both membrane-bound and soluble forms of its ligand-binding receptor, the IL-6Ralpha, triggering signalling via dimerization of gp130, the signalling subunit of the IL-6 receptor complex.",22652781_2,0,1,2,-1,17532,-1,0.0019990092,0.8692046,0.12879643
17533,the IL-6Ralpha,14,16,93,107,"IL-6 can interact with both membrane-bound and soluble forms of its ligand-binding receptor, the IL-6Ralpha, triggering signalling via dimerization of gp130, the signalling subunit of the IL-6 receptor complex.",22652781_2,-1,-1,-1,-1,17533,-1,0.022185119,0.9770701,0.0007447976
17537,the IL-6 receptor complex,28,32,184,209,"IL-6 can interact with both membrane-bound and soluble forms of its ligand-binding receptor, the IL-6Ralpha, triggering signalling via dimerization of gp130, the signalling subunit of the IL-6 receptor complex.",22652781_2,-1,-1,-1,-1,17537,-1,0.0007880422,0.9990687,0.0001433304
17539,to the,2,4,11,17,This leads to the activation of the JAK/STAT pathway and mainly culminates in the activation of the STAT3 transcription factor.,22652781_3,-1,-1,-1,-1,17539,-1,5.546404e-06,0.9999895,4.9250543e-06
17542,the STAT3 transcription factor,16,20,96,126,This leads to the activation of the JAK/STAT pathway and mainly culminates in the activation of the STAT3 transcription factor.,22652781_3,-1,-1,-1,-1,17542,-1,5.9458807e-06,0.9999888,5.289788e-06
17546,function,14,15,88,96,"Both IL-6 and STAT3 have recently emerged as main regulators of the differentiation and function of Th17 cells, via a positive feedback loop enhancing expression and/or activation of IL-6 itself, IL-17 and STAT3.",22652781_4,0,1,2,-1,17546,-1,9.502453e-05,0.99967384,0.00023110182
17547,Th17 cells,16,18,100,110,"Both IL-6 and STAT3 have recently emerged as main regulators of the differentiation and function of Th17 cells, via a positive feedback loop enhancing expression and/or activation of IL-6 itself, IL-17 and STAT3.",22652781_4,-1,-1,-1,-1,17547,-1,0.000105259,0.0020194766,0.9978752
17554,therapeutic targets,26,28,187,206,"Dysregulated IL-6 production and signalling are associated with chronic inflammatory diseases, auto-immunity and cancer, and are the object of intense translational research as promising therapeutic targets.",22652781_5,-1,-1,-1,-1,17554,-1,4.698883e-06,0.9999913,4.0376544e-06
17557,that TGF-beta,3,5,13,26,"Here we show that TGF-beta regulates proliferation, migration, and tumorigenicity of mesenchymal GBM cancer stem cells (CSCs) in vivo and in vitro.",22676416_2,-1,-1,-1,-1,17557,-1,0.00013129241,0.9998485,2.0148156e-05
17560,TGF-beta,7,8,41,49,"In contrast, proneural GBM CSCs resisted TGF-beta due to TGFR2 deficiency.",22676416_3,0,1,-1,-1,17560,-1,0.0005408395,0.9994209,3.8313887e-05
17561,to TGFR2 deficiency,9,12,54,73,"In contrast, proneural GBM CSCs resisted TGF-beta due to TGFR2 deficiency.",22676416_3,-1,-1,-1,-1,17561,-1,3.480359e-05,0.99995136,1.3869058e-05
17563,functional,2,3,5,15,"On a functional level, proneural CSC lines caused a significantly stronger TGF-beta-dependent suppression of NKG2D expression on CD8(+) T and NK cells in vitro providing a mechanistic explanation for the reduced immune infiltration of proneural GBMs.",22676416_5,0,1,2,-1,17563,-1,0.001111396,0.9986052,0.00028338327
17564,TGF-beta-dependent,12,13,75,93,"On a functional level, proneural CSC lines caused a significantly stronger TGF-beta-dependent suppression of NKG2D expression on CD8(+) T and NK cells in vitro providing a mechanistic explanation for the reduced immune infiltration of proneural GBMs.",22676416_5,0,1,-1,-1,17564,-1,2.5270672e-05,0.9999598,1.4950332e-05
17570,TGF-beta-dependently,7,8,36,56,"Thus, the molecular subtype of CSCs TGF-beta-dependently contributes to the degree of immune infiltration.",22676416_6,0,1,-1,-1,17570,-1,2.1247364e-05,0.9999672,1.1579147e-05
17571,to the,9,11,69,75,"Thus, the molecular subtype of CSCs TGF-beta-dependently contributes to the degree of immune infiltration.",22676416_6,-1,-1,-1,-1,17571,-1,6.069586e-06,0.9999888,5.1356706e-06
17585,analysis,10,11,61,69,"At 6 months following the first vaccination, flow cytometric analysis demonstrated a significant increase in the frequency of CD4+ICOS(hi) T cells from 5 ± 2 % pre-vaccination to 23 ± 4 % (p < 0.001), with a concomitant decrease in the frequency of CD4+FoxP3+ T cells (regulatory T cells [Treg]) from 19 ± 6 to 10 ± 5 % (p < 0.05).",22678162_5,0,1,-1,-1,17585,-1,1.3147876e-05,0.9999732,1.3665397e-05
17594,analysis,1,2,8,16,ELISpot analysis of CD4+ICOS(hi) sorted T cells demonstrated that following vaccination the cytokines produced by Mam-A-specific T cells switched from IL-10 (78 ± 21 spm pre-vaccination to 32 ± 14 spm 5 months post-vaccine p < 0.001) to IFN-γ (12 ± 6 spm pre-vaccination to 124 ± 31 spm 5 months post-vaccine p < 0.001).,22678162_6,0,1,-1,-1,17594,-1,6.322875e-06,0.9999883,5.3894946e-06
17597,the cytokines,12,14,88,101,ELISpot analysis of CD4+ICOS(hi) sorted T cells demonstrated that following vaccination the cytokines produced by Mam-A-specific T cells switched from IL-10 (78 ± 21 spm pre-vaccination to 32 ± 14 spm 5 months post-vaccine p < 0.001) to IFN-γ (12 ± 6 spm pre-vaccination to 124 ± 31 spm 5 months post-vaccine p < 0.001).,22678162_6,-1,-1,-1,-1,17597,-1,0.513008,0.4829366,0.0040554088
17601,to IFN-γ,47,49,234,242,ELISpot analysis of CD4+ICOS(hi) sorted T cells demonstrated that following vaccination the cytokines produced by Mam-A-specific T cells switched from IL-10 (78 ± 21 spm pre-vaccination to 32 ± 14 spm 5 months post-vaccine p < 0.001) to IFN-γ (12 ± 6 spm pre-vaccination to 124 ± 31 spm 5 months post-vaccine p < 0.001).,22678162_6,-1,-1,-1,-1,17601,-1,0.9800796,0.018551506,0.001368995
17604,T cells to,5,8,26,36,The ratio of CD4+ICOS(hi) T cells to CD4+FoxP3+ T cells increased from 0.37 ± 0.12 before vaccination to 2.3 ± 0.72 (p = 0.021) following vaccination.,22678162_7,-1,-1,-1,-1,17604,-1,0.0012023549,0.029016702,0.9697809
17610,protein,18,19,119,126,"Further, these activated CD4+ICOS(hi) T cells induced preferential lysis of human breast cancer cells expressing Mam-A protein.",22678162_8,0,1,-1,-1,17610,-1,1.0984711e-05,0.99998295,6.068127e-06
17616,immunity,12,13,92,100,These encouraging results strongly suggest that Mam-A cDNA vaccination can induce antitumor immunity in breast cancer patients.,22678162_10,0,-1,2,-1,17616,-1,0.9999224,1.4190463e-05,6.341145e-05
17617,therapy,9,10,70,77,Intrinsic immunosuppression is a major obstacle for successful cancer therapy.,22678911_0,0,1,-1,-1,17617,-1,5.490881e-06,0.9999896,4.8206753e-06
17622,immunity,7,8,60,68,"A microenvironmental component that might prevent antitumor immunity is the presence of dying tumor cells, which are abundant following conventional cancer ablation methods such as chemo- or radiotherapy.",22678911_2,0,-1,2,-1,17622,-1,0.99983346,5.93559e-05,0.00010719866
17624,tumor cells,13,15,94,105,"A microenvironmental component that might prevent antitumor immunity is the presence of dying tumor cells, which are abundant following conventional cancer ablation methods such as chemo- or radiotherapy.",22678911_2,-1,-1,-1,-1,17624,-1,0.0001955904,0.0021229873,0.9976814
17626,factors to the tumor,7,11,49,69,"Shedding of apoptotic debris and/or secretion of factors to the tumor bed or draining lymph nodes thus might have a profound impact on professional phagocytes, such as DCs, and subsequent priming of lymphocytes.",22678911_3,-1,-1,-1,-1,17626,-1,0.11240398,0.88591594,0.0016800887
17634,tumor cells,12,14,93,104,"Priming with apoptotic debris prevented DCs from establishing cytotoxicity toward live human tumor cells by inducing a Treg-cell population, defined by coexpression of CD39 and CD69.",22678911_5,-1,-1,-1,-1,17634,-1,0.00048520905,0.022468949,0.97704583
17635,Treg-cell,17,18,119,128,"Priming with apoptotic debris prevented DCs from establishing cytotoxicity toward live human tumor cells by inducing a Treg-cell population, defined by coexpression of CD39 and CD69.",22678911_5,-1,1,2,-1,17635,-1,6.62529e-05,0.0003543831,0.99957937
17638,the release,8,10,63,74,"Immunosuppression via Treg cells was transferable and required the release of sphingosine-1-phosphate (S1P) from apoptotic cells, acting via S1P receptor 4 on DCs to induce IL-27 secretion.",22678911_6,-1,-1,-1,-1,17638,-1,6.8764016e-06,0.9999875,5.585135e-06
17640,receptor,22,23,145,153,"Immunosuppression via Treg cells was transferable and required the release of sphingosine-1-phosphate (S1P) from apoptotic cells, acting via S1P receptor 4 on DCs to induce IL-27 secretion.",22678911_6,0,1,2,-1,17640,-1,0.00011521989,0.00015544979,0.99972934
17644,them to,11,13,62,69,"We propose that CD69 expression on CD39(+) Treg cells enables them to interact with CD73-expressing CD8(+) T cells to generate adenosine, thereby suppressing cytotoxicity.",22678911_7,-1,-1,-1,-1,17644,-1,5.6166314e-06,0.999987,7.351208e-06
17645,T cells to generate,18,22,107,126,"We propose that CD69 expression on CD39(+) Treg cells enables them to interact with CD73-expressing CD8(+) T cells to generate adenosine, thereby suppressing cytotoxicity.",22678911_7,-1,-1,-1,-1,17645,-1,0.0043200115,0.16659096,0.82908905
17649,tumor cells,8,10,50,61,These findings aid the understanding of how dying tumor cells limit antitumor immunity.,22678911_8,-1,-1,-1,-1,17649,-1,0.00024189119,0.0016054902,0.99815255
17650,immunity,12,13,78,86,These findings aid the understanding of how dying tumor cells limit antitumor immunity.,22678911_8,0,-1,2,-1,17650,-1,0.9999101,2.4432165e-05,6.5495886e-05
17652,to Th1,8,10,63,69,"Autocrine IFN-γ signaling is important for CD4 differentiation to Th1 effector cells, but it has been unclear whether it contributes to CD8 T cell differentiation.",22706089_0,-1,-1,-1,-1,17652,-1,1.4671204e-05,0.99992514,6.015434e-05
17657,that naive,5,7,22,32,"We show in this paper that naive murine CD8 T cells rapidly and transiently produce low levels of IFN-γ upon stimulation with Ag and B7-1, with production peaking at ∼8 h and declining by 24 h. The autocrine IFN-γ signals for upregulation of expression of T-bet and granzyme B and induces weak cytolytic activity and effector IFN-γ production.",22706089_1,-1,-1,-1,-1,17657,-1,4.963633e-06,0.99999106,4.0160976e-06
17667,IFN-γ to,4,6,32,40,"IFN-α acts synergistically with IFN-γ to support development of strong effector functions, whereas IL-12 induces high T-bet expression and strong function in the absence of IFN-γ signaling.",22706089_2,-1,-1,-1,-1,17667,-1,0.9992047,0.0005276485,0.00026768522
17668,functions,11,12,80,89,"IFN-α acts synergistically with IFN-γ to support development of strong effector functions, whereas IL-12 induces high T-bet expression and strong function in the absence of IFN-γ signaling.",22706089_2,0,1,2,-1,17668,-1,0.0002101345,0.99913377,0.00065608014
17671,function,21,22,146,154,"IFN-α acts synergistically with IFN-γ to support development of strong effector functions, whereas IL-12 induces high T-bet expression and strong function in the absence of IFN-γ signaling.",22706089_2,0,1,2,-1,17671,-1,2.0298232e-05,0.99996054,1.917876e-05
17678,factor,18,19,96,102,"Thus, IFN-γ is not only an important CD8 T cell effector cytokine, it is an autocrine/paracrine factor whose contributions to differentiation vary depending on whether the response is supported by IL-12 or type I IFN.",22706089_3,0,1,-1,-1,17678,-1,6.405908e-05,0.9999273,8.704539e-06
17687,protein,10,11,64,71,Our previous studies have demonstrated that hepatitis B virus X protein (HBx) was able to inhibit the growth of HCC cells via inducing apoptosis and inhibiting tumor angiogenesis.,22710287_1,0,1,-1,-1,17687,-1,0.0008103729,0.9989774,0.00021228469
17700,IL-12 named,36,38,264,275,"In this study, to further investigate the regulatory effect of IL-12 on HBx-mediated intervention of hepatoma microenvironment especially on intervention of neovessels and immune microenvironment, we constructed the recombinant adenovirus expressing HBx and mouse IL-12 named Ad-HBx-mIL-12.",22710287_3,-1,-1,-1,-1,17700,-1,0.9992681,0.00051459396,0.00021727248
17708,blood,37,38,218,223,"Moreover, treatment with Ad-HBx-mIL-12 not only induced a massive accumulation of immune cells (CD8(+) T leukocytes, macrophages and dendritic cells) in tumors in situ, also apparently reduced the number of angiogenic blood vessels within tumor tissues.",22710287_5,0,1,-1,-1,17708,-1,0.69949716,0.2602431,0.040259797
