,text,pmid,entities,start_chars,end_chars,label
3300,"IL-17-producing CD8+ T (Tc17) cells are detectible in multiple sclerosis (MS) lesions; however, their contribution to the disease is unknown.",23221338_0,CD8+ T,16,22,2
3301,IL-17-producing Th17 cells mediate immune responses against a variety of fungal and bacterial infections.,25694610_0,Th17 cells,16,26,2
3302,"IL-17-secreting CD8 T cells (Tc17) have been described in several settings, but little is known regarding their functional characteristics.",19917680_0,CD8 T cells,16,27,2
3303,"IL-17-secreting CD8 T cells, termed Tc17 cells, were shown to promote inflammation and mediate immunity to influenza.",20624947_1,CD8 T cells,16,27,2
3304,IL-17A and FOXP3 levels were significantly higher in children and adults with H. pylori (+) than in those without H. pylori (-) (p < .001).,33818871_5,IL-17A,0,6,0
3305,IL-17A and IL-17F are members of the IL-17 family that play crucial roles in allergic inflammation.,18390747_0,"IL-17A,IL-17F,IL-17","0,11,37","6,17,42","0,0,0"
3306,IL-17A is a critical cytokine that is essential for clearance of Streptococcus pneumoniae.,30214444_1,"IL-17A,cytokine","0,21","6,29","0,0"
3307,"IL-17A, IL-17F, and IL-23 could induce the release of chemokines GRO-alpha/CXCL1, IL-8/CXCL8, and MIP-1beta/CCL4 from eosinophils, while IL-17F and IL-23 could also increase the production of proinflammatory cytokines IL-1beta and IL-6.",18390747_5,"IL-23,IL-23,IL-17F,IL-17A,IL-17F","148,20,137,0,8","153,25,143,6,14","0,0,0,0,0"
3308,IL-17A-producing WT and Irf4(-/-) γδ T cells equally express CCR6 and lack CD27.,22961652_7,CD27,75,79,0
3309,IL-18 CAR T cell treatment was accompanied by an overall change in the immune cell landscape associated with the tumor.,29241547_5,IL-18,0,5,0
3310,IL-18 and T cell receptor-mediated stimulation could induce naïve CD4+ T cells to develop into IL-4-producing cells in vitro.,11248805_3,IL-18,0,5,0
3311,"IL-18 in combination with IL-12 showed a synergistic effect in augmenting IFNgamma and granulocyte macrophage colony-stimulating factor secretion, whereas IL-18 alone had minimal effect.",15705908_3,"IL-18,granulocyte macrophage,IFNgamma,IL-12,IL-18","155,87,74,26,0","160,109,82,31,5","0,0,0,0,0"
3312,"IL-18 is an IL-1 family cytokine that has been proposed to promote barrier function in the intestine, but the effects of IL-18 on intestinal CD4(+) T cells are poorly understood.",25736457_1,"IL-18,IL-1,IL-18,CD4(+) T cells","0,12,121,141","5,16,126,155","0,0,0,2"
3313,"IL-18, an IL-1-like cytokine that requires cleavage with caspase-1 to become active, was found to increase IgE production in a CD4+ T cells-, IL-4- and STAT6-dependent fashion.",11248805_2,"IL-18,CD4+ T cells-,IL-4-","0,127,142","5,140,147","0,2,0"
3314,"IL-19 activates STAT3 in VSMC, and IL-19-induced HO-1 expression is significantly reduced by transfection of VSMC with STAT3 siRNA or mutation of the consensus STAT binding site in the HO-1 promoter.",22158875_5,"STAT3,STAT3,STAT","16,119,160","21,124,164","1,1,1"
3315,IL-19 reduces vascular ROS in vivo in mice treated with TNFα.,22158875_9,"TNFα,vascular","56,14","60,22","0,0"
3316,"IL-1β activates ECs, increasing recruitment and activation of alloreactive effector memory CD4+ T (Tem) cells.",32191642_3,IL-1β,0,5,0
3317,IL-1β production by NOD splenocytes and mRNA expression by islets increased from 6 to 16 weeks of age when major histocompatibility complex (MHC)-restricted islet antigen presentation to autoreactive T-cells occurred.,20980463_7,"IL-1β,histocompatibility complex,T-cells","0,113,200","5,139,207","0,1,2"
3318,"IL-1β, IL-6, IL-12p40, IL-17, TNF-α, CCL2 and CXCL1 protein levels in colons, but not small intestines increased with colitis progression and were significantly increased in mice with moderate and severe colitis compared with WT mice, irrespective of the absence/presence of dysplasia/cancer.",22962436_4,"IL-12p40,CCL2,IL-1β,IL-17,TNF-α","13,37,0,23,30","21,41,5,28,35","0,0,0,0,0"
3319,"IL-2 also inhibited B cell lymphoma 6 (BCL6) expression, and overexpression of BCL6 impaired Th9 differentiation.",24550509_2,"BCL6,BCL6,B cell lymphoma 6,IL-2","79,39,20,0","83,43,37,4","1,1,1,0"
3320,"IL-2 and IL-10 are critical cytokines, however, because the expansion of virus-specific FoxP3(+)CD8(+) T cells is blocked by IL-2- or IL-10-neutralizing mAbs.",17617596_3,"IL-10,IL-2,IL-2-","9,0,125","14,4,130","0,0,0"
3321,"IL-2 and TGF-beta both have important roles in the induction and maintenance of immunologic tolerance, but whether these cytokines act separately or together to achieve this effect is poorly understood.",17277105_0,"IL-2,TGF-beta","0,9","4,17","0,0"
3322,IL-2 and tumour-released transforming growth factor-β (TGF-β) are the main environmental cues that cooperate in Treg cell induction in tumour patients.,23278180_4,"IL-2,TGF-β,Treg cell","0,55,112","4,60,121","0,0,2"
3323,"IL-2 does not specify the type of Th differentiation that occurs; instead, IL-2 modulates expression of receptors for other cytokines and transcription factors, thereby either promoting or inhibiting cytokine cascades that correlate with each Th differentiation state.",21889323_3,"IL-2,IL-2,transcription factors","0,75,138","4,79,159","0,0,1"
3324,"IL-2 has a pervasive influence on the immune system and dictates the survival and differentiation of multiple T cell subsets, including CD4 regulatory T cells, CD4 Th cells, and CD8 memory cells.",24166977_0,IL-2,0,4,0
3325,IL-2 is synthesized by T cells during the early stages of the immune response and promotes T cell expansion and effector cell generation after initial activation via TCR signaling.,24166977_1,IL-2,0,4,0
3326,"IL-2 mRNA expression was reduced when T cells were stimulated in the presence of IL-4, whereas IL-2 mRNA decay was unaltered, suggesting that IL-4 mediates the suppression at a transcriptional level.",18832679_4,"IL-2,IL-4,IL-2,IL-4,transcriptional","0,81,95,142,177","4,85,99,146,192","0,0,0,0,1"
3327,IL-2 plays a critical role in both effector T-cell development and FoxP3(+) CD4(+) Treg-cell homeostasis.,23180662_0,IL-2,0,4,0
3328,IL-2 receptor blocking mAbs and JAK inhibition impaired STAT5 phosphorylation and IL-17 release.,29907868_5,"STAT5,IL-17","56,82","61,87","1,0"
3329,IL-2 signaling is not fully disabled as IL-2 up-regulates the anti-apoptotic protein Bcl-xL to control levels.,16702166_9,IL-2,40,44,0
3330,IL-2 signals through an identical receptor complex and promotes the same dose-dependent phosphorylation of the canonical transcription factor STAT5 in both cell types.,29259099_1,"IL-2,STAT5","0,142","4,147","0,1"
3331,"IL-2 stimulation induced Id3, Egr1, and Egr3 expression in CD25(+) immature thymocytes, suggesting that it could activate signaling molecules that are downstream of TCR signaling.",25218473_6,"Egr1,Egr3,thymocytes","30,40,76","34,44,86","1,1,2"
3332,IL-2 supplementation contributes to maintaining the homeostasis of hemopoiesis.,31082645_11,IL-2,0,4,0
3333,IL-2 treatment could restore the expression levels of those transcription factors and the proliferating activity of LK cells impaired by persistent antigen stimulation.,31082645_9,"transcription factors,IL-2","60,0","81,4","1,0"
3334,"IL-2 treatments early after Mycobacterium tuberculosis infection of macaques induced simultaneous expansion of CD4(+)CD25(+)Foxp3(+) Treg, CD8(+)CD25(+)Foxp3(+) T cells, and CD4(+) T effector/CD8(+) T effector/Vγ2Vδ2 T effector populations producing anti-M. tuberculosis cytokines IFN-γ and perforin, and conferred resistance to severe TB inflammation and lesions.",22474020_2,"IL-2,IFN-γ","0,281","4,286","0,0"
3335,"IL-2 was partially restored by Leupeptin, but not by Cathepsin B Inhibitor, indicating an involvement of Rgp proteinases in the suppression of IL-2 accumulation.",22984628_5,"IL-2,IL-2","0,143","4,147","0,0"
3336,IL-2 was superior to expand UCB and APB Tregs for 2 weeks than IL-15.,24515612_8,"IL-15,IL-2","63,0","68,4","0,0"
3337,"IL-2, IL-15, and the downstream transcription factor STAT5 have all been implicated as important regulators of these processes, yet there are conflicting data regarding their contribution to in vivo T cell responses.",15322173_1,"IL-2,IL-15,STAT5","0,6,53","4,11,58","0,0,1"
3338,"IL-2-induced STAT5 phosphorylation in the cocultured responder cells was intact, implying that the effects of the regulatory cells were downstream of receptor activation.",15611237_7,STAT5,13,18,1
3339,IL-2-induced high SOCS-3 expression in naive CD4(+) T cells could inhibit polarization to Th1 with stimulation of allogeneic antigens.,20132230_10,Th1,90,93,2
3340,IL-21 alone induced STAT3 phosphorylation (pSTAT3) only on CD27(-) B-cells and IL-21 induced higher pSTAT3 levels on CD27(-) than CD27(+) B-cells after anti-IgM or anti-CD40 activation.,26360251_5,"CD27(-),STAT3,CD27(-)","59,20,117","66,25,124","0,1,0"
3341,"IL-21 and IL-23 induced the orphan nuclear receptor RORgammat, which in synergy with STAT3 promoted IL-17 expression.",17581537_4,"IL-23,STAT3,IL-17","10,85,100","15,90,105","0,1,0"
3342,"IL-21 had a greater capacity to initiate PC differentiation from CD77(+) centroblasts than IL-10 by strongly inducing PC transcription factors through activation of STAT3; however, IL-10 was more potent than IL-21 in generating CD138(+) PC from CD20(-)CD38(++) plasmablasts in the terminal stage of GC-B cell differentiation.",19762555_4,"IL-10,transcription factors,STAT3,IL-10","91,121,165,181","96,142,170,186","0,1,1,0"
3343,IL-21 is a type I cytokine acting as a potent T-cell co-mitogen but less efficient than IL-2 in sustaining T-cell proliferation.,23278180_1,IL-2,88,92,0
3344,IL-21 is required for IL-6-induced Th17 cell differentiation.,31398665_2,"cell differentiation,Th17","40,35","60,39","0,2"
3345,IL-21 mediated STAT3 activation was greater on CD27(-) than CD27(+) B-cells depending on the stimulus.,26360251_4,"STAT3,CD27(-)","15,47","20,54","1,0"
3346,"IL-21 promotes Th17 differentiation, and Th17 cells that upregulate T-bet, IFN-γ, and GM-CSF drive experimental autoimmune diseases in mice.",25172491_0,"Th17,Th17 cells,IFN-γ,GM-CSF","15,41,75,86","19,51,80,92","2,2,0,0"
3347,"IL-21 related defects may also be associated with reduced natural killer (NK)-cell cytotoxicity and TH17 cytokine production, indicating that abnormalities in the IL-21-IL-21R pathway have profound effects on crucial immune responses.",24126614_6,"TH17,cytokine","100,105","104,113","2,0"
3348,"IL-21 was also induced by IL-6 and promoted Th17 differentiation, but it was not absolutely required.",25172491_5,Th17,44,48,2
3349,"IL-21(+)IFN-γ(+)CD4(+) T cells in NP tissues exhibited the features of both Tfh and Th1 cells which co-expressed significantly higher amount of CXCR5, ICOS, PD-1, Bcl-6 and T-bet than did IL-21(+)IFN-γ(-)CD4(+) T cells (p < 0.05).",26239551_5,"Tfh,Th1 cells,Bcl-6","76,84,163","79,93,168","2,2,1"
3350,"IL-21R-Fc treated mice also decreased the production of IgG, STAT3 phosphorylation, and plasma cell transcription factor (Blimp1).",25447400_8,"STAT3,Blimp1","61,122","66,128","1,1"
3351,"IL-22 decreased FOXP3 expression by activating NF-κB, and it further inhibited PTEN and Ikaros expression.",28038358_5,NF-κB,47,52,1
3352,"IL-22, IL17, IL-6 TGF-β and IL1-β were assessed by qPCR and ELISA.RESULTS: Co-culture of CD4(+)T cells with bronchial fibroblasts significantly stimulated RORc expression and induced a significant increase in Th17 cells as characterized by the percentage of IL-17(+)/CCR6(+) staining in asthmatic conditions.",24349168_10,"CD4(+)T cells,TGF-β,Th17 cells,IL17,IL1-β","89,18,209,7,28","102,23,219,11,33","2,0,2,0,0"
3353,"IL-22-producing CD4(+) T cells play an important role in controlling bacterial infection in the gut; however, transcriptional regulation of these cells remains elusive.",25194055_1,CD4(+) T cells,16,30,2
3354,IL-23 and IL-17 protein from blood serum were evaluated by ELISA.,21672246_4,IL-23,0,5,0
3355,"IL-23 binding to an IL-23 receptor expressed on dendritic cells, macrophages and monocytes triggers the activation of Jak2 and Tyk2, which in turn phosphorylates STAT1, STAT3, STAT4 and STAT5 as well as induce formation of STAT3-STAT4 heterodimers.",20415779_4,"IL-23,STAT1,STAT3,STAT4,STAT5","0,162,169,176,186","5,167,174,181,191","0,1,1,1,1"
3356,IL-23 is a heterodimeric cytokine composed of a unique p19 subunit and a common p40 subunit is shared with IL-12.,17982049_0,"IL-12,IL-23,p19,p40 subunit","107,0,55,80","112,5,58,91","0,0,0,0"
3357,IL-23 is a member of the IL-12-type cytokine family and consists of IL-23p19 and p40.,26195433_3,"IL-23,IL-23p19","0,68","5,76","0,0"
3358,"IL-23 is composed of the p40 subunit in common with IL-12, and with a unique p19 subunit.",20415779_3,"IL-23,p40 subunit,IL-12,p19","0,25,52,77","5,36,57,80","0,0,0,0"
3359,"IL-23 is one of the essential factors required for the survival and/or expansion of Th17 cells, which produce IL-17, IL-17F, IL-6 and TNF-alpha.",20415779_5,"IL-17F,IL-17,TNF-alpha,IL-23,Th17 cells","117,110,134,0,84","123,115,143,5,94","0,0,0,0,2"
3360,"IL-23 may be a very important cytokine for evaluating the UC disease condition, as the expression of IL-23 is associated with certain clinical characteristics of UC patients.",33040251_8,"IL-23,cytokine,IL-23","0,30,101","5,38,106","0,0,0"
3361,IL-23 promotes the inflammatory response by inducing the expansion of CD4(+) cells producing IL-17.,17982049_1,"CD4(+) cells,IL-17,IL-23","70,93,0","82,98,5","2,0,0"
3362,IL-23 showed a weaker association with Th17 cell-related cytokines and transcription factor RORC and a much stronger correlation with T-bet and GATA3.,33040251_6,"Th17,GATA3,IL-23","39,144,0","43,149,5","2,1,0"
3363,IL-23 stimulates IL-6 and IL-1β expression by bronchial fibroblasts.,24349168_13,"IL-1β,IL-23","26,0","31,5","0,0"
3364,"IL-23 was rapidly recognized for its involvement in the establishment of chronic inflammation and in the development of a Th cell subset producing IL-17, designated Th17, which is distinct from the previously reported Th1 and Th2 populations.",19161421_3,"Th1,Th17,Th2,IL-23,IL-17","218,165,226,0,147","221,169,229,5,152","2,2,2,0,0"
3365,"IL-23, IL-17, and signal transducer and activator of transcription 3 (STAT3) mRNA in the myocardium of VMC mice were assessed by semi-quantitative RT-PCR.",21672246_3,"STAT3,IL-17,IL-23,signal transducer","70,7,0,18","75,12,5,35","1,0,0,1"
3366,"IL-23, an IL-12-related cytokine, induces an IL-17-secreting T-helper phenotype that is involved in autoimmune diseases and host defense against certain pathogens.",16670261_0,"IL-23,T-helper","0,61","5,69","0,2"
3367,IL-25 KO was associated with down-regulation of Foxp3 expression in CD4+ T cells.,25864622_4,CD4+ T cells,68,80,2
3368,IL-25 potently induces inflammatory cascades that may exacerbate allergic airways inflammation by promoting Th type-2 cytokine responses in conjunction with the up-regulation of factors (eotaxin and arg-I) that can amplify inflammation associated with allergic disorders.,17177681_10,eotaxin,187,194,0
3369,"IL-25-induced AHR is dependent on the production of Th type-2 cytokines, and removal of IL-13 and its signal transduction pathway prevents IL-25-induced airways inflammation and AHR.",17177681_9,"IL-13,AHR,AHR","88,178,14","93,181,17","0,1,1"
3370,IL-27 activated a STAT1-dominant pattern of signaling in human monocytes with the consequent activation of STAT1-dependent inflammatory target genes.,18424756_4,IL-27,0,5,0
3371,"IL-27 also inhibited osteoblast apoptosis through increased Egr-2 expression, which induces anti-apoptotic factors like MCL-1.",28130449_8,"IL-27,Egr-2","0,60","5,65","0,1"
3372,"IL-27 counters the effect of TGF-beta+IL-6 on naive CD4(+) T cells, resulting in near complete inhibition of de novo Th17 development.",19786534_0,"IL-27,CD4(+) T cells,Th17","0,52,117","5,66,121","0,2,2"
3373,"IL-27 decreased the levels of phosphorylated STAT1, STAT3, STAT5, Smad1, and Smad3 but increased the level of SOCS3.CONCLUSIONS: This study demonstrates that IL-27 potentially attenuates BLM-induced pulmonary fibrosis by regulating Th17 differentiation and cytokine secretion.",25888222_9,"IL-27,STAT1,STAT3,STAT5,Smad1,Smad3,IL-27,Th17","0,45,52,59,66,77,158,232","5,50,57,64,71,82,163,236","0,1,1,1,1,1,0,2"
3374,"IL-27 exerts protective effects in autoimmune diseases like experimental autoimmune encephalomyelitis; however, its role in the pathogenesis of osteoporosis remains to be determined.",28130449_3,IL-27,0,5,0
3375,"IL-27 functions through IL-27R and has been shown to have potent antitumor activity via activation of a variety of cellular components, including antitumor CD8(+) T-cell responses.",23225163_1,"CD8(+) T-cell,IL-27","156,0","169,5","2,0"
3376,IL-27 has been shown to exhibit both pro- and anti-inflammatory properties; it favors mouse naïve CD4(+) T-cell differentiation into Th1 cells to the detriment of Th17 and Th2 skewing and regulates IL-10 and IL-17 production by human CD4(+) T cells.,21182076_0,"CD4(+) T cells,IL-10,Th2,IL-17,Th1 cells,CD4(+) T-cell,IL-27,Th17","234,198,172,208,133,98,0,163","248,203,175,213,142,111,5,167","2,0,2,0,2,2,0,2"
3377,"IL-27 has the capacity to promote early stages of Th1 generation, but recent evidence has suggested a predominant suppressive effect on Th1, Th2, and Th17 differentiation.",18424756_1,"Th2,Th1,Th17,Th1,IL-27,suppressive","141,136,150,50,0,114","144,139,154,53,5,125","2,2,2,2,0,0"
3378,"IL-27 induced rapid STAT1 and STAT3 signaling, enhanced STAT1 protein levels, and induced SOCS1 and SOCS3 expression in a STAT1-dependent manner by human CD8(+) T cells.",21182076_4,"CD8(+) T cells,STAT1 protein,STAT1,IL-27,STAT3","154,56,20,0,30","168,69,25,5,35","2,1,1,0,1"
3379,IL-27 induced the production of CD4(+) IL-10(+) and CD4(+) INF-γ(+) T cells.,25888222_8,IL-27,0,5,0
3380,"IL-27 inhibited the development of CD4(+) IL-17(+), CD4(+) IL-4(+) T, and CD4(+) Foxp3(+) cells and the secretion of IL-17, IL-4, IL-6, and TGF-ß.",25888222_7,"IL-4,IL-17,IL-27","124,117,0","128,122,5","0,0,0"
3381,IL-27 is a heterodimeric cytokine composed of the subunits p28 and Epstein-Barr virus induced gene (EBI)-3 and is known for its effects on T-cell function and differentiation.,24726498_0,"IL-27,Epstein-Barr virus","0,67","5,85","0,0"
3382,IL-27 is a member of the IL-12 family of cytokines that activates the Jak-STAT signaling pathway in a context-dependent manner and has pleiotropic effects on acquired immunity.,18424756_0,"IL-27,IL-12","0,25","5,30","0,0"
3383,"IL-27 is a member of the IL-12 family of cytokines that is comprised of an IL-12 p40-related protein subunit, EBV-induced gene 3, and a p35-related subunit, p28.",23225163_0,"IL-27,IL-12,IL-12","0,25,75","5,30,80","0,0,0"
3384,"IL-27 is a novel IL-12 family member that plays a role in the early regulation of T helper cell 1 initiation, including induction of T-bet and IL-12 receptor beta 2 expression.",14871851_1,"IL-27,IL-12,family member","0,17,23","5,22,36","0,0,1"
3385,IL-27 is an IL-12-related cytokine frequently present at sites of inflammation that can promote both anti- and pro-inflammatory immune responses.,17549733_0,IL-27,0,5,0
3386,IL-27 is an important immunoregulatory cytokine that shares T-cell signaling with IL-7 and other cytokines of the IL-12 family and might be involved in the transcriptional regulation of T-cell function.,34061845_1,"IL-27,IL-7,IL-12","0,82,114","5,86,119","0,0,0"
3387,"IL-27 is highly expressed during human tuberculosis (TB), and absence of IL-27R (Il27ra) specifically on T cells results in increased protection.",26282876_1,IL-27,0,5,0
3388,"IL-27 mRNA increased 4- to 15-fold during the course of colitis, and colonic IL-21 transcription increased 3-fold in mice with severe colitis, both irrespective of the absence/presence of dysplasia/cancer.",22962436_7,IL-27,0,5,0
3389,"IL-27 primed monocytes for augmented responses to TLR stimulation in a STAT1-dependent manner, altered IL-10 signaling, and attenuated IL-10-induced gene expression.",18424756_5,"IL-10,IL-27","103,0","108,5","0,0"
3390,"IL-27 signals through the widely expressed IL-27 receptor (IL-27R), composed of the ligand-specific IL-27Rα chain and gp130.",24726498_1,IL-27,0,5,0
3391,"IL-27 stimulation of Tregs induced expression of Lag3, a surface molecule implicated in negatively regulating immune responses.",26013006_5,IL-27,0,5,0
3392,"IL-27 suppressed osteoclastogenesis in an Egr-2-dependent manner that up-regulates Id2, the repressor of the receptor activator of nuclear factor-κB ligand-mediated osteoclastogenesis.",28130449_9,"IL-27,Id2","0,83","5,86","0,1"
3393,IL-27 treatment in ovariectomized mice suppressed Th17 cell differentiation by inhibiting transcription factor RORγt.,28130449_5,"IL-27,Th17,cell differentiation,transcription factor","0,50,55,90","5,54,75,110","0,2,0,1"
3394,IL-27 treatment may alleviate pulmonary fibrosis and increase the survival of mice.,25888222_6,IL-27,0,5,0
3395,IL-27 treatment prevented the loss of trabecular micro-architecture and preserved cortical bone parameters.,28130449_7,IL-27,0,5,0
3396,"IL-27, a member of IL-6/IL-12 cytokine family, is mainly produced by activated antigen presenting cells (APC).",21115047_0,IL-27,0,5,0
3397,"IL-27, a novel member of the IL-6/IL-12 family, activates both STAT1 and STAT3 through its receptor, which consists of WSX-1 and gp130 subunits, resulting in positive and negative regulations of immune responses.",17114427_0,"IL-27,STAT1,STAT3","0,63,73","5,68,78","0,1,1"
3398,"IL-27-mediated tyrosine phosphorylation of STAT1 was also enhanced in WSX-1 Tg CD4(+) T cells, but STAT3 activation was normal.",15908443_4,"STAT1,STAT3","43,99","48,104","1,1"
3399,"IL-27p28 antagonizes gp130, required for signaling by IL-27 and IL-6, which respectively promote Th1 and Th17 responses.",24021664_3,"Th1,Th17,IL-27","97,105,54","100,109,59","2,2,0"
3400,"IL-2C treatment ameliorated Th17-mediated airway inflammation; however, unexpectedly, IL-2C treatment exacerbated Th2-mediated allergic airway inflammation by inducing the selective expansion of Th2 cells and type-2 innate lymphoid cells.",30885291_3,Th2 cells,195,204,2
3401,"IL-2C treatment decreased renal expression of TNF-α and IL-6, and the frequencies of IFN-γ+CD4+ and IL-17A+CD4+ T cells in both the kidneys and spleen.",27914701_6,TNF-α,46,51,0
3402,"IL-31 induction critically depends on the transcription factor EPAS1, and its conditional deletion in CD4+ T cells abrogates skin disease development in DOCK8-deficient mice.",28067314_3,CD4+ T cells,102,114,2
3403,IL-31 is a key mediator of itching in atopic dermatitis (AD) and is preferentially produced by activated CD4(+) T cells and Th2 cells.,25595785_0,"CD4(+) T cells,Th2 cells","105,124","119,133","2,2"
3404,"IL-33 also initiates and perpetuates local inflammatory responses through the recruitment and activation of type 2- and inflammatory-associated effectors, such as eosinophils, basophils, and neutrophils.",25801770_3,IL-33,0,5,0
3405,"IL-33 is a more recently identified member of the IL-1 cytokine family, expressed in the nucleus of epithelial cells and released into the extracellular space following tissue damage.",25801770_0,"IL-33,IL-1,epithelial cells","0,50,100","5,54,116","0,0,0"
3406,"IL-33, however, is now being shown to initiate the Th2-polarizing function of DCs, and stimulate the secretion of the type 2-associated cytokines, IL-4, IL-5, and IL-13, from tissue-resident innate-immune cells, especially ILCs and MCs.",25801770_2,"IL-33,IL-4,IL-5,IL-13","0,147,153,163","5,151,157,168","0,0,0,0"
3407,"IL-35 is a newly identified IL-12 cytokine family member that plays an important protective role in a variety of immune system diseases by regulating Treg cell differentiation; however, the role of IL-35 in the pathogenesis of ARDS is still unclear.",33494935_1,"Treg cell,cytokine,IL-12","150,34,28","159,42,33","2,0,0"
3408,"IL-35 is mainly produced by regulatory T and regulatory B cells, and plays a crucial role in the development and prevention of infectious and autoimmune diseases.",30321288_1,regulatory T,28,40,2
3409,"IL-4 and IL-5 secretion by anti-CD3ε mAb- or antigen-stimulated Th2 cells (D10.G4.1) was abrogated by NK-4 without affecting cell numbers, whereas IFN-γ secretion by activated Th1 cells was unchanged.",29933387_3,"IL-4,IFN-γ","0,147","4,152","0,0"
3410,IL-4 conducts its biological activities through binding to the IL-4 receptor (IL-4R) on the surface of target cells.,10369419_1,IL-4,0,4,0
3411,IL-4 plays a pivotal role in the development of the Th2 cell mediated humoral immune response and causes IgE-dependent allergic inflammatory diseases.,15048722_0,"Th2,IL-4","52,0","55,4","2,0"
3412,IL-4 production was increased in the same setting.,19846875_5,IL-4,0,4,0
3413,IL-4 promotes Th2 differentiation and provides immunity to helminth infections but is also associated with allergy and asthma.,20018622_0,"IL-4,Th2","0,14","4,17","0,2"
3414,"IL-4 secreting and nonsecreting cells from Th2 cultures have a similar probability of producing IL-4 upon subsequent stimulation, implying that there is stochastic element in IL-4 production by stimulated Th2 cells.",14975241_0,"Th2 cells,IL-4,IL-4,Th2,IL-4","205,175,96,43,0","214,179,100,46,4","2,0,0,2,0"
3415,"IL-4 suppressed the response of myeloid DCs to both type I IFNs in vitro and in vivo by impairing the up-regulation of MHC and costimulatory molecules and the production of cytokines, such as IL-6 and IL-15, and anti-viral genes, such as Mx-1, upon type I IFN stimulation.",17982033_4,"IL-15,IL-4,MHC","201,0,119","206,4,122","0,0,1"
3416,IL-4 was essential and sufficient for this NKT cell action on CD8+ T cell homeostatic proliferation.,16914507_5,"IL-4,CD8+ T cell","0,62","4,73","0,2"
3417,"IL-4, in certain way, seems to regulate this response along with IL-10 that may be produced by Treg cells, which are supposedly present in the patients' samples due the evidenced expression of Foxp3, in the presence of AgIns.",26572279_4,"IL-4,IL-10,Treg cells","0,65,95","4,70,105","0,0,2"
3418,IL-4-induced IL-2 suppression required IL-2 because IL-2 neutralization restored the production of IL-2 even in the presence of IL-4.,18832679_2,"IL-2,IL-2,IL-2,IL-4","39,52,99,128","43,56,103,132","0,0,0,0"
3419,IL-4-mediated signaling through Stat6 is dispensable for prolonged allograft survival induced by T-cell depletion plus DSG.,18819259_8,Stat6,32,37,1
3420,"IL-4R signaling impaired the capacity of Treg cells to suppress mast cell activation and expansion, which in turn drove Th2 cell reprogramming of Treg cells.",25769611_4,"Treg cells,mast cell,Th2,Treg cells","41,64,120,146","51,73,123,156","2,0,2,2"
3421,"IL-4Ralpha upregulation was restricted to the reactive lymph node, occurred within 4 d of infection, and was driven by an IL-4- and STAT6-dependent mechanism.",20018622_4,IL-4-,122,127,0
3422,"IL-6 also contributes to IL-10 production from CD4(+) T cells in aged mice, causing attenuated responses of CD8(+) T cells.",25850032_5,"IL-10,CD4(+) T cells,CD8(+) T cells","25,47,108","30,61,122","0,2,2"
3423,IL-6 and IL-8 levels showed a significant correlation with NLR in blood and Foxp3+ cells around the tumor.,30199269_1,IL-8,9,13,0
3424,"IL-6 blockade also restores the impaired ability of CD4(+) T cells to promote CD8(+) T-cell-dependent tumour elimination in aged mice, which requires IFN-γ.",25850032_3,"CD4(+) T cells,IFN-γ","52,150","66,155","2,0"
3425,"IL-6 can interact with both membrane-bound and soluble forms of its ligand-binding receptor, the IL-6Ralpha, triggering signalling via dimerization of gp130, the signalling subunit of the IL-6 receptor complex.",22652781_2,"soluble,dimerization","47,135","54,147","0,1"
3426,IL-6 inhibited the TGFβ-induced development of Helios+ induced Treg cells in both humans and mice.,25733061_7,Treg cells,63,73,2
3427,IL-6 or IL-12 on its own did not induce PD-1.,24711622_6,IL-12,8,13,0
3428,IL-6 plays a central role in supporting pathological T(H2) and T(H17) cell development and inhibiting the protective T regulatory cells in allergic asthma.,23628948_0,"T(H2),T(H17)","53,63","58,69","2,2"
3429,IL-6 production in these cultures correlated positively with Ag dose and inversely with Treg expansion.,19801514_8,Treg,88,92,2
3430,IL-6 signaling required tumor cell-derived soluble IL-6R rather than membrane bound IL-6R and suppression of such TGF-beta-dependent IL-6 trans-signaling prevented tumor progression in vivo.,15485627_3,"soluble,cell-derived","43,30","50,42","0,0"
3431,"IL-6 therefore orchestrates a series of 'downstream' cytokine-dependent signaling pathways that, in concert with TGF-beta, amplify RORgammat-dependent differentiation of T(H)-17 cells.",17581537_5,"T(H)-17 cells,TGF-beta","170,113","183,121","2,0"
3432,IL-6 was able to suppress DC differentiation and G-CSF mainly acted on the suppressing allostimulatory capacity of DCs.,17545630_7,G-CSF,49,54,0
3433,"IL-6, IL-1β, TGF-β and IL-23 were significantly elevated in fibroblasts from asthmatic subjects upon co-culture with CD4(+)T cells.",24349168_12,"IL-1β,TGF-β,IL-23,CD4(+)T cells","6,13,23,117","11,18,28,130","0,0,0,2"
3434,"IL-6RhiTIGIT- CD127lowCD25+ T cells contained a majority of cells demethylated at FOXP3 and displayed a Th17 transcriptional signature, including RORC (RORγt) and the capacity of producing both pro- and anti-inflammatory cytokines, such as IL-17, IL-22 and IL-10.",28284938_3,"IL-10,IL-17,Th17","257,240,104","262,245,108","0,0,2"
3435,IL-7 is known to be vital for T cell homeostasis but has previously been presumed to be dispensable for TCR-induced activation.,26319414_0,IL-7,0,4,0
3436,"IL-7 plays vital roles in thymocyte development, T cell homeostasis, and the survival of these cells.",22069310_0,"IL-7,thymocyte","0,26","4,35","0,2"
