,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_tf_distsv,lf_t_lymphocyte_distsv,label,olabel
28762,osteopontin,12.0,13.0,66.0,77.0,"This induction is suppressed, also in a CD44-dependent manner, by osteopontin, a component of chronically inflamed ECM, indicating that CD44 signaling serves as a nexus for fate decisions regarding TR1 induction.",21518860_7,0,-1,-1,0,0
28773,TGF-β,12.0,13.0,69.0,74.0,Stimulation of naive mouse CD4(+)Foxp3(-) T cells in the presence of TGF-β results in the induction of Foxp3 expression and T suppressor function.,21525380_0,0,-1,-1,0,0
28808,IL-2,4.0,5.0,30.0,34.0,"Conversely, neutralization of IL-2 or disruption of its signaling by deletion of Stat5 diminished the level of Foxp3 expression resulting in decreased suppressor function of the iTreg in vivo.",21525380_7,0,-1,-1,0,0
28814,TGF-β,6.0,7.0,39.0,44.0,Our data suggest that stimulation with TGF-β in vitro is not sufficient for imprinting T cells with stable expression of Foxp3.,21525380_8,0,-1,-1,0,0
28818,IL-2,2.0,3.0,18.0,22.0,Administration of IL-2 in vivo results in stabilization of Foxp3 expression and may prove to be a valuable adjunct for the use of iTreg for the treatment of autoimmune diseases.,21525380_9,0,-1,-1,0,0
28860,IL-12p40,14.0,15.0,75.0,83.0,"CD103(+)CD8α(+) LPDCs expressed TLR3, TLR7, and TLR9 and produced IL-6 and IL-12p40, but not TNF-α, IL-10, or IL-23, following TLR ligand stimulation.",21525388_7,0,-1,-1,0,0
28862,IL-10,20.0,21.0,100.0,105.0,"CD103(+)CD8α(+) LPDCs expressed TLR3, TLR7, and TLR9 and produced IL-6 and IL-12p40, but not TNF-α, IL-10, or IL-23, following TLR ligand stimulation.",21525388_7,0,-1,-1,0,0
28863,IL-23,23.0,24.0,110.0,115.0,"CD103(+)CD8α(+) LPDCs expressed TLR3, TLR7, and TLR9 and produced IL-6 and IL-12p40, but not TNF-α, IL-10, or IL-23, following TLR ligand stimulation.",21525388_7,0,-1,-1,0,0
28900,IFN-γ,20.0,21.0,104.0,109.0,"We showed that in the absence of the strong Th2 mediator Stat6, neither Stat4 nor T-bet is required for IFN-γ production and Th1 development.",21525389_4,0,-1,-1,0,0
29015,peptide,2.0,3.0,14.0,21.0,An additional peptide (E2(281-300)) contained an epitope presented by both alleles.,21531896_6,0,-1,-1,0,0
29032,IFN-γ,1.0,2.0,13.0,18.0,HPV-specific IFN-γ secretion was substantially lower in T cells from RRP patients.,21531896_10,0,-1,-1,0,0
29036,IL-13,1.0,2.0,13.0,18.0,HPV-specific IL-13 secretion was seen at modest levels in T cells from RRP patients and was absent in T cells from healthy control subjects.,21531896_11,0,-1,-1,0,0
29049,IFN-γ,5.0,6.0,37.0,42.0,Levels of STAT-5 phosphorylation and IFN-γ secretion could be improved through addition of IL-2 to HPV-specific T cell lines from RRP patients.,21531896_13,0,-1,-1,0,0
29050,IL-2,13.0,14.0,91.0,95.0,Levels of STAT-5 phosphorylation and IFN-γ secretion could be improved through addition of IL-2 to HPV-specific T cell lines from RRP patients.,21531896_13,0,-1,-1,0,0
29066,CXC chemokine,12.0,14.0,77.0,90.0,"Recently, our group has shown that interferon-γ-inducible protein (IP)-10, a CXC chemokine, renders protection against VL.",21533785_2,0,-1,-1,0,0
29068,IP-10,12.0,13.0,64.0,69.0,"In the present study, we have elucidated the mechanism by which IP-10 renders protection in in vivo L. donovani infection.",21533785_3,0,-1,-1,0,0
29085,TGF-β,3.0,4.0,18.0,23.0,"This reduction in TGF-β production was due to effective modulation of TGF-β signaling by IP-10, which reduced the immunosuppressive activity of Treg cells.",21533785_6,0,-1,-1,0,0
29087,IP-10,14.0,15.0,89.0,94.0,"This reduction in TGF-β production was due to effective modulation of TGF-β signaling by IP-10, which reduced the immunosuppressive activity of Treg cells.",21533785_6,0,-1,-1,0,0
29107,IFN-γ,10.0,11.0,66.0,71.0,"Consistently, we observed that proliferative responses as well as IFN-γ production were significantly higher using CXCR3-depleted versus undepleted responders in the mixed lymphocyte reaction, as well as following mitogen-dependent activation of T cells.",21538345_2,0,-1,-1,0,0
29118,IP-10,31.0,32.0,185.0,190.0,"Using microfluidics, we also found that CXCR3 was functional on CXCR3(pos) Tregs, in as much as chemotaxis and directional persistence towards interferon-γ-inducible protein of 10 kDa (IP-10) was significantly greater for CXCR3(pos) than CXCR3(neg) Tregs.",21538345_3,0,-1,-1,0,0
29144,IFN-β,4.0,5.0,25.0,30.0,"In subjects treated with IFN-β, the frequency of IFN-γ(+)Foxp3(+) T cells is similar to that in healthy control subjects.",21540856_2,0,-1,-1,0,0
29153,interleukin-12,20.0,21.0,115.0,129.0,"In vitro, human T(reg) cells from healthy subjects acquire a T(H)1-like phenotype when cultured in the presence of interleukin-12 (IL-12).",21540856_3,0,-1,-1,0,0
29156,suppressive,6.0,7.0,37.0,48.0,"T(H)1-like T(reg) cells show reduced suppressive activity in vitro, which can partially be reversed by IFN-γ-specific antibodies or by removal of IL-12.",21540856_4,0,-1,-1,0,0
29159,IL-12,23.0,24.0,146.0,151.0,"T(H)1-like T(reg) cells show reduced suppressive activity in vitro, which can partially be reversed by IFN-γ-specific antibodies or by removal of IL-12.",21540856_4,0,-1,-1,0,0
29227,transforming growth factor,20.0,23.0,125.0,151.0,"Inhibition of Foxp3 expression in melanoma cells using small interfering RNA (siRNA) resulted in downregulation of B7-H1 and transforming growth factor (TGF)-β expression; in contrast, Foxp3 overexpression resulted in the upregulation of the expression of these proteins.",21547596_4,0,-1,-1,0,0
29306,TGF-β,4.0,5.0,30.0,35.0,Transforming growth factor-β (TGF-β) has been shown to be required for Th17 cell differentiation via Smad-independent mechanisms.,21600798_0,0,-1,-1,0,0
29308,cell differentiation,14.0,16.0,76.0,96.0,Transforming growth factor-β (TGF-β) has been shown to be required for Th17 cell differentiation via Smad-independent mechanisms.,21600798_0,0,-1,-1,0,0
29311,TGF-β,6.0,7.0,35.0,40.0,"We searched for genes regulated by TGF-β through the Smad-independent pathway by using Smad2 and Smad3 double-deficient T cells and identified the transcription factor Eomesodermin (Eomes), whose expression was suppressed by TGF-β via the c-Jun N-terminal kinase (JNK)-c-Jun signaling pathway.",21600798_2,0,-1,-1,0,0
29318,TGF-β,35.0,36.0,225.0,230.0,"We searched for genes regulated by TGF-β through the Smad-independent pathway by using Smad2 and Smad3 double-deficient T cells and identified the transcription factor Eomesodermin (Eomes), whose expression was suppressed by TGF-β via the c-Jun N-terminal kinase (JNK)-c-Jun signaling pathway.",21600798_2,0,-1,-1,0,0
29330,cell differentiation,6.0,8.0,54.0,74.0,"Overexpression of Eomes substantially suppressed Th17 cell differentiation, whereas ablation of Eomes expression could substitute for TGF-β in Th17 cell induction in primary T cells.",21600798_4,0,-1,-1,0,0
29332,TGF-β,17.0,18.0,134.0,139.0,"Overexpression of Eomes substantially suppressed Th17 cell differentiation, whereas ablation of Eomes expression could substitute for TGF-β in Th17 cell induction in primary T cells.",21600798_4,0,-1,-1,0,0
29345,cell differentiation,20.0,22.0,121.0,141.0,"In conclusion, the suppression of Eomes by TGF-β via the JNK pathway is an important mechanism for Smad-independent Th17 cell differentiation.",21600798_6,0,-1,-1,0,0
29386,Interferon-alpha,0.0,1.0,0.0,16.0,Interferon-alpha (IFN-α) promotes anti-tumor immunity through its actions on immune cells.,21604071_0,0,-1,-1,0,0
29387,IFN-α,2.0,3.0,18.0,23.0,Interferon-alpha (IFN-α) promotes anti-tumor immunity through its actions on immune cells.,21604071_0,0,-1,-1,0,0
29396,IFN-α,26.0,27.0,192.0,197.0,We hypothesized that elevated percentages of myeloid-derived suppressor cells (MDSC) and increased pro-inflammatory cytokines in peripheral blood would be associated with impaired response to IFN-α in patients with gastrointestinal (GI) malignancies.,21604071_1,0,-1,-1,0,0
29399,IL-10,8.0,9.0,56.0,61.0,"This study evaluated relationships between plasma IL-6, IL-10, circulating MDSC subsets, and IFN-α-induced signal transduction in 40 patients with GI malignancies.",21604071_2,0,-1,-1,0,0
29405,IL-10,3.0,4.0,16.0,21.0,Plasma IL-6 and IL-10 were significantly higher in patients versus normal donors.,21604071_3,0,-1,-1,0,0
29424,IFN-α,37.0,38.0,214.0,219.0,"The percentage of CD15(+) and CD15(-) but not CD14(+) MDSC subsets were inversely correlated with IFN-α-induced STAT1 phosphorylation in CD4(+) T cells, while co-culture with in vitro generated MDSC led to reduced IFN-α responsiveness in both PBMC and the CD4(+) subset of T cells from normal donors.",21604071_6,0,-1,-1,0,0
29437,IFN-α,16.0,17.0,100.0,105.0,"These data provide evidence for a unique relationship between specific cytokines, MDSC subsets, and IFN-α responsiveness in patients with GI malignancies.",21604071_8,0,-1,-1,0,0
29452,IL-17,13.0,14.0,93.0,98.0,"Synovial Tregs demonstrated a high degree of FOXP3 demethylation and displayed only marginal IL-17 and virtually no IFN-γ production following in vitro stimulation, altogether indicating suppressive capacity.",21607944_3,0,-1,-1,0,0
29453,IFN-γ,17.0,18.0,116.0,121.0,"Synovial Tregs demonstrated a high degree of FOXP3 demethylation and displayed only marginal IL-17 and virtually no IFN-γ production following in vitro stimulation, altogether indicating suppressive capacity.",21607944_3,0,-1,-1,0,0
29455,suppressive,26.0,27.0,187.0,198.0,"Synovial Tregs demonstrated a high degree of FOXP3 demethylation and displayed only marginal IL-17 and virtually no IFN-γ production following in vitro stimulation, altogether indicating suppressive capacity.",21607944_3,0,-1,-1,0,0
29514,IL-4,16.0,17.0,101.0,105.0,Adenoviral transduction of naïve CD4(+) T cells with DUSP16 resulted in increased mRNA expression of IL-4 and GATA-3 in Th2 and decreased expression of IFNγ and T-bet in Th1 differentiation.,21613215_6,0,-1,-1,0,0
29557,IL-2,10.0,11.0,57.0,61.0,"Similar to ex-Treg, the iTreg-hyb produced high level of IL-2 and Foxp3 under specific activation conditions.",21621978_5,0,-1,-1,0,0
29565,IL-9,7.0,8.0,43.0,47.0,"We identified cell-free supernatant, IL-6, IL-9, and IL-27 as Foxp3-inducing factors.",21621978_9,0,-1,-1,0,0
29566,IL-27,10.0,11.0,53.0,58.0,"We identified cell-free supernatant, IL-6, IL-9, and IL-27 as Foxp3-inducing factors.",21621978_9,0,-1,-1,0,0
29598,IL-12,9.0,10.0,58.0,63.0,"However, the ectopic expression of mouse SUMO-2 inhibited IL-12 secretion by blocking the translocation of the p65 subunit of NFκB into the nucleus, which led to the polarization of naïve CD4(+) T cells to T helper 2 (Th2) shift in vitro.",21632113_5,0,-1,-1,0,0
29630,β2,16.0,17.0,107.0,109.0,"On the other hand, GATA3 inhibits T(h)1 cell differentiation by preventing up-regulation of IL-12 receptor β2 and STAT4 (signal transducer and activator of transcription 4) and neutralization of Runx3 (runt-related transcription factor 3) function through protein-protein interaction.",21632975_5,0,-1,-1,0,0
29650,Interleukin-2,0.0,1.0,0.0,13.0,Interleukin-2 induces Foxp3 expression in activated human CD8 T cells in vitro and expands circulating CD8 Foxp3+ T cells in melanoma patients.,21638127_1,0,-1,-1,0,0
29733,Interleukin 4,0.0,2.0,0.0,13.0,"Interleukin 4 (IL-4) produced by memory Th2 cells in vivo was critical for the antitumor effects of the NK cells, which IL-4 directly stimulated to induce their perforin- and granzyme-B-dependent cytotoxic activity.",21646476_5,0,-1,-1,0,0
29734,IL-4,3.0,4.0,15.0,19.0,"Interleukin 4 (IL-4) produced by memory Th2 cells in vivo was critical for the antitumor effects of the NK cells, which IL-4 directly stimulated to induce their perforin- and granzyme-B-dependent cytotoxic activity.",21646476_5,0,-1,-1,0,0
29738,IL-4,24.0,25.0,120.0,124.0,"Interleukin 4 (IL-4) produced by memory Th2 cells in vivo was critical for the antitumor effects of the NK cells, which IL-4 directly stimulated to induce their perforin- and granzyme-B-dependent cytotoxic activity.",21646476_5,0,-1,-1,0,0
29760,IL-23,0.0,1.0,0.0,5.0,"IL-23, IL-17, and signal transducer and activator of transcription 3 (STAT3) mRNA in the myocardium of VMC mice were assessed by semi-quantitative RT-PCR.",21672246_3,0,-1,-1,0,0
29761,IL-17,2.0,3.0,7.0,12.0,"IL-23, IL-17, and signal transducer and activator of transcription 3 (STAT3) mRNA in the myocardium of VMC mice were assessed by semi-quantitative RT-PCR.",21672246_3,0,-1,-1,0,0
29768,IL-23,0.0,1.0,0.0,5.0,IL-23 and IL-17 protein from blood serum were evaluated by ELISA.,21672246_4,0,-1,-1,0,0
29784,IL-23,5.0,6.0,34.0,39.0,"Results showed that expression of IL-23, IL-17, STAT3 mRNA and protein increased in VMC mice.",21672246_9,0,-1,-1,0,0
29785,IL-17,7.0,8.0,41.0,46.0,"Results showed that expression of IL-23, IL-17, STAT3 mRNA and protein increased in VMC mice.",21672246_9,0,-1,-1,0,0
29794,IL-17,32.0,33.0,193.0,198.0,"When purified CD4+ T cells derived from VMC mice were cultured in vitro with rIL-23, the frequency of Th17 cells was dramatically increased, accompanied by significantly enhanced production of IL-17 in the supernatants of cultured CD4+ T cells.",21672246_10,0,-1,-1,0,0
29812,IL-9,4.0,5.0,24.0,28.0,"Using mice deficient in IL-9 (IL-9(-/-) ), we showed that IL-9 plays a critical role in EAE.",21674475_2,0,-1,-1,0,0
29814,IL-9,13.0,14.0,58.0,62.0,"Using mice deficient in IL-9 (IL-9(-/-) ), we showed that IL-9 plays a critical role in EAE.",21674475_2,0,-1,-1,0,0
29827,IL-17,18.0,19.0,117.0,122.0,"EAE-resistant IL-9(-/-) mice exhibited considerably fewer infiltrating immune cells in the CNS, with lower levels of IL-17 and IFN-γ expression, than their WT littermates.",21674475_4,0,-1,-1,0,0
29828,IFN-γ,20.0,21.0,127.0,132.0,"EAE-resistant IL-9(-/-) mice exhibited considerably fewer infiltrating immune cells in the CNS, with lower levels of IL-17 and IFN-γ expression, than their WT littermates.",21674475_4,0,-1,-1,0,0
29833,IL-17,21.0,22.0,133.0,138.0,Further studies revealed that null mutation of the IL-9 gene resulted in significantly lower levels of PLP(180-199) peptide-specific IL-17 and IFN-γ production.,21674475_5,0,-1,-1,0,0
29834,IFN-γ,23.0,24.0,143.0,148.0,Further studies revealed that null mutation of the IL-9 gene resulted in significantly lower levels of PLP(180-199) peptide-specific IL-17 and IFN-γ production.,21674475_5,0,-1,-1,0,0
29839,IL-10,2.0,3.0,15.0,20.0,"Interestingly, IL-10 was significantly increased in IL-9(-/-) mice compared with WT littermates.",21674475_7,0,-1,-1,0,0
29880,natural killer cell,41.0,44.0,271.0,290.0,"The results showed that DCB-SLE1 significantly ameliorated the hematuria, proteinuria, renal dysfunction, and severe renal lesions by 1) suppression of B cell activation and decreased autoantibody production; 2) negative regulation of T cell activation/proliferation and natural killer cell activity; 3) suppression of IL-18, IL-6, and IL-17 production and blocking of NF-κB activation in the kidney; and 4) prevention of lymphoid and renal apoptosis.",21677146_5,0,-1,-1,0,0
29881,IL-18,50.0,51.0,319.0,324.0,"The results showed that DCB-SLE1 significantly ameliorated the hematuria, proteinuria, renal dysfunction, and severe renal lesions by 1) suppression of B cell activation and decreased autoantibody production; 2) negative regulation of T cell activation/proliferation and natural killer cell activity; 3) suppression of IL-18, IL-6, and IL-17 production and blocking of NF-κB activation in the kidney; and 4) prevention of lymphoid and renal apoptosis.",21677146_5,0,-1,-1,0,0
29883,IL-17,55.0,56.0,336.0,341.0,"The results showed that DCB-SLE1 significantly ameliorated the hematuria, proteinuria, renal dysfunction, and severe renal lesions by 1) suppression of B cell activation and decreased autoantibody production; 2) negative regulation of T cell activation/proliferation and natural killer cell activity; 3) suppression of IL-18, IL-6, and IL-17 production and blocking of NF-κB activation in the kidney; and 4) prevention of lymphoid and renal apoptosis.",21677146_5,0,-1,-1,0,0
29919,IL-4,25.0,26.0,150.0,154.0,"Here, we show that mouse ovalbumin-specific CD4 (OTII) cells responding to alum-precipitated ovalbumin (alumOVA) upregulate Th2 features - GATA-3 and IL-4 - as well as Helios mRNA and protein.",21677778_5,0,-1,-1,0,0
29929,IFN-γ,22.0,23.0,142.0,147.0,"By contrast, OTII cells responding to the Th1 antigen - live attenuated ovalbumin-expressing Salmonella - upregulate Th1 features - T-bet and IFN-γ - but not Helios.",21677778_7,0,-1,-1,0,0
29936,IL-4,3.0,4.0,17.0,21.0,"The induction of IL-4, IL-13 and CXCR5 by alumOVA requires NF-κB1 and this is also needed for Helios upregulation.",21677778_10,0,-1,-1,0,0
29937,IL-13,5.0,6.0,23.0,28.0,"The induction of IL-4, IL-13 and CXCR5 by alumOVA requires NF-κB1 and this is also needed for Helios upregulation.",21677778_10,0,-1,-1,0,0
29972,migration,13.0,14.0,64.0,73.0,"Coro1A has been established as a key player in T cell survival, migration, activation, and Ca(2+) regulation in naive T cells.",21700422_2,0,-1,-1,0,0
29982,IL-17,21.0,22.0,132.0,137.0,"Unexpectedly, upon the re-induction of EAE, Coro1a(-/-) mice exhibited enhanced EAE signs that correlated with increased numbers of IL-17 producing CD4(+) cells in the central nervous system (CNS) compared to wild-type mice.",21700422_4,0,-1,-1,0,0
29990,IL-17,13.0,14.0,83.0,88.0,In vitro differentiated Coro1a(-/-) Th17 CD4(+) T cells consistently produced more IL-17 than wild-type cells and displayed a Th17/Th1-like phenotype in regard to the expression of the Th1 markers T-bet and IFNγ.,21700422_5,0,-1,-1,0,0
30034,interleukin-12,32.0,33.0,149.0,163.0,"Only lymph node cells (LNC) isolated at day 12 post immunization, and restimulated in vitro for 72 hours with 10 μg/mL of MOGp35-55 and 0.5 ng/mL of interleukin-12 (IL-12) were able to transfer disease.",21702922_6,0,-1,-1,0,0
30035,IL-12,34.0,35.0,165.0,170.0,"Only lymph node cells (LNC) isolated at day 12 post immunization, and restimulated in vitro for 72 hours with 10 μg/mL of MOGp35-55 and 0.5 ng/mL of interleukin-12 (IL-12) were able to transfer disease.",21702922_6,0,-1,-1,0,0
30041,Interferon gamma,0.0,2.0,0.0,16.0,Interferon gamma (IFNγ) was produced at comparable levels in cell cultures prepared from mice at both day 6 and day 12 post immunization.,21702922_8,0,-1,-1,0,0
30045,IL-17,12.0,13.0,70.0,75.0,"By contrast, there was a trend towards a negative association between IL-17 and disease susceptibility in our EAE model.",21702922_9,0,-1,-1,0,0
30048,GM-CSF,3.0,4.0,14.0,20.0,The amount of GM-CSF secreted was significantly increased in the culture supernatants from cells collected at day 12 post immunization versus those collected at day 6 post-immunization.,21702922_10,0,-1,-1,0,0
30066,GM-CSF,5.0,6.0,30.0,36.0,Our data further suggest that GM-CSF expression by CD4+ T cells regulated by IL-23 contributes to their encephalitogenicity in our EAE model.,21702922_14,0,-1,-1,0,0
30068,IL-23,14.0,15.0,77.0,82.0,Our data further suggest that GM-CSF expression by CD4+ T cells regulated by IL-23 contributes to their encephalitogenicity in our EAE model.,21702922_14,0,-1,-1,0,0
30112,IL-4,25.0,26.0,150.0,154.0,"HDAC9 deficiency was associated with increased site-specific lysine histone acetylation at H3 (H3K9, H3K14, and H3K18) globally that was localized to IL-4, roquin, and peroxisome proliferator-activated receptor-γ promoters with increased gene expression, respectively.",21708950_7,0,-1,-1,0,0
30118,cytokine,10.0,11.0,66.0,74.0,"In kidney and spleen, HDAC9 deficiency decreased inflammation and cytokine and chemokine production due to peroxisome proliferator-activated receptor γ overexpression.",21708950_8,0,-1,-1,0,0
30126,soluble,4.0,5.0,38.0,45.0,Immunization with Schistosoma mansoni soluble antigen preparations protects non-obese diabetic (NOD) mice against the development of type 1 diabetes.,21710488_0,0,-1,-1,0,0
30134,soluble,16.0,17.0,102.0,109.0,"Recently, two separate groups have reported that ω-1, a well-characterized glycoprotein in S. mansoni soluble egg antigens (SEA), which with IL-4 inducing principle of S. mansoni eggs (IPSE/α-1) is one of the two major glycoproteins secreted by live eggs, is a major SEA component responsible for this effect.",21710488_2,0,-1,-1,0,0
30136,IL-4,25.0,26.0,141.0,145.0,"Recently, two separate groups have reported that ω-1, a well-characterized glycoprotein in S. mansoni soluble egg antigens (SEA), which with IL-4 inducing principle of S. mansoni eggs (IPSE/α-1) is one of the two major glycoproteins secreted by live eggs, is a major SEA component responsible for this effect.",21710488_2,0,-1,-1,0,0
30141,IL-4,9.0,10.0,43.0,47.0,We found that ω-1 induces Foxp3 as well as IL-4 expression when injected in vivo.,21710488_3,0,-1,-1,0,0
30220,γ-interferon,21.0,22.0,154.0,166.0,Elevated type 1 diabetes CD4+CD25+ cell proliferation correlated with increased inflammatory cytokines interleukin 17 and tumor necrosis factor-α but not γ-interferon.,21715555_7,0,-1,-1,0,0
30223,cytokine,5.0,6.0,26.0,34.0,Type 1 diabetes CD4+CD25+ cytokine production occurred coincident with suppression of the same cytokines in the control targets.,21715555_8,0,-1,-1,0,0
30226,suppressive,12.0,13.0,85.0,96.0,"Indeed, enhanced proliferation/cytokines by CD4+CD25+ cells was uncoupled from their suppressive ability.",21715555_9,0,-1,-1,0,0
30238,IL-1,7.0,8.0,37.0,41.0,"Full-length IL-33 is a member of the IL-1 family of cytokines, which can act in an autocrine or paracrine manner by binding to the IL-33R on several different target cell types.",21734074_0,0,-1,-1,0,0
30243,IL-33,3.0,4.0,13.0,18.0,"In addition, IL-33 can act in an intracrine fashion by translocating to the nucleus, where it binds to the chromatin and modulates gene expression.",21734074_1,0,-1,-1,0,0
30246,IL-33,8.0,9.0,44.0,49.0,"In this article, we report that full-length IL-33, but not mature IL-33, interacts with the transcription factor NF-κB. This interaction occurs between the N-terminal part of IL-33 from aa 66-109 and the N-terminal Rel homology domain of NF-κB p65.",21734074_2,0,-1,-1,0,0
30247,IL-33,13.0,14.0,66.0,71.0,"In this article, we report that full-length IL-33, but not mature IL-33, interacts with the transcription factor NF-κB. This interaction occurs between the N-terminal part of IL-33 from aa 66-109 and the N-terminal Rel homology domain of NF-κB p65.",21734074_2,0,-1,-1,0,0
30250,IL-33,29.0,30.0,175.0,180.0,"In this article, we report that full-length IL-33, but not mature IL-33, interacts with the transcription factor NF-κB. This interaction occurs between the N-terminal part of IL-33 from aa 66-109 and the N-terminal Rel homology domain of NF-κB p65.",21734074_2,0,-1,-1,0,0
30255,IL-33,5.0,6.0,58.0,63.0,"Coimmunoprecipitation experiments in cells overexpressing IL-33 or endogenously expressing IL-33 revealed rhIL-1β-stimulated association between IL-33 and p65, whereas binding to the p50 subunit was constitutive.",21734074_3,0,-1,-1,0,0
30257,IL-33,9.0,10.0,91.0,96.0,"Coimmunoprecipitation experiments in cells overexpressing IL-33 or endogenously expressing IL-33 revealed rhIL-1β-stimulated association between IL-33 and p65, whereas binding to the p50 subunit was constitutive.",21734074_3,0,-1,-1,0,0
30258,IL-33,14.0,15.0,145.0,150.0,"Coimmunoprecipitation experiments in cells overexpressing IL-33 or endogenously expressing IL-33 revealed rhIL-1β-stimulated association between IL-33 and p65, whereas binding to the p50 subunit was constitutive.",21734074_3,0,-1,-1,0,0
30266,IL-33,2.0,3.0,18.0,23.0,"Overexpression of IL-33 resulted in a reduction and delay in the rhIL-1β-stimulated expression of endogenous NF-κB target genes such as IκBα, TNF-α, and C-REL.",21734074_5,0,-1,-1,0,0
30270,TNF-α,22.0,23.0,142.0,147.0,"Overexpression of IL-33 resulted in a reduction and delay in the rhIL-1β-stimulated expression of endogenous NF-κB target genes such as IκBα, TNF-α, and C-REL.",21734074_5,0,-1,-1,0,0
30281,thymic stromal,9.0,11.0,58.0,72.0,"Thymic epithelial cells are an essential component of the thymic stromal microenvironment, promoting the growth and export of self-tolerant thymocytes.",21740349_1,0,-1,-1,0,0
30306,suppressive,18.0,19.0,110.0,121.0,"Strategies to induce and expand Ag-specific Tregs are being developed, and whether various types of Tregs are suppressive in the inflammatory conditions associated with ongoing disease needs to be determined.",21746962_1,0,-1,-1,0,0
30323,chemokines,26.0,27.0,170.0,180.0,"In addition to suppressing the production of inflammatory cytokines in the stomach and preventing the destruction of parietal cells, we show that iTregs secrete numerous chemokines and regulate both iTreg and effector T cell trafficking into the stomach.",21746962_4,0,-1,-1,0,0
30343,ligand,12.0,13.0,79.0,85.0,This is mimicked in vitro by TCR restimulation-induced expression of the death ligand CD95L (FasL/APO-1L/CD178) in expanded T cells.,21746966_3,0,-1,-1,0,0
30344,CD95L,13.0,14.0,86.0,91.0,This is mimicked in vitro by TCR restimulation-induced expression of the death ligand CD95L (FasL/APO-1L/CD178) in expanded T cells.,21746966_3,0,-1,-1,0,0
30348,CD95,6.0,7.0,39.0,43.0,"These cells express the death receptor CD95 (Fas/APO-1), and binding of CD95L to CD95 results in AICD.",21746966_4,0,-1,-1,0,0
30350,CD95L,14.0,15.0,72.0,77.0,"These cells express the death receptor CD95 (Fas/APO-1), and binding of CD95L to CD95 results in AICD.",21746966_4,0,-1,-1,0,0
30351,CD95,16.0,17.0,81.0,85.0,"These cells express the death receptor CD95 (Fas/APO-1), and binding of CD95L to CD95 results in AICD.",21746966_4,0,-1,-1,0,0
30359,CD95L,15.0,16.0,73.0,78.0,"In this study, we show that human and murine Tregs express low levels of CD95L upon stimulation.",21746966_6,0,-1,-1,0,0
30362,CD95L,8.0,9.0,67.0,72.0,Knockdown of the transcriptional repressor Foxp3 partially rescues CD95L expression and AICD in human Tregs.,21746966_7,0,-1,-1,0,0
30367,CD95L,10.0,11.0,71.0,76.0,"Moreover, upon stimulation Foxp3-mutant Tregs from Scurfy mice express CD95L similar to conventional T cells.",21746966_8,0,-1,-1,0,0
30369,CD95,5.0,6.0,39.0,43.0,We further addressed whether exogenous CD95 stimulation provides a mechanism of Treg homeostatic control in vivo in mice.,21746966_9,0,-1,-1,0,0
30372,CD95,2.0,3.0,14.0,18.0,Triggering of CD95 reduced Treg numbers systemically as reflected by in vivo imaging and decreased GFP(+) Treg numbers ex vivo.,21746966_10,0,-1,-1,0,0
30380,CD95L,7.0,8.0,50.0,55.0,Our study reveals that Foxp3 negatively regulates CD95L expression in Tregs and demonstrates that Tregs are susceptible to homeostatic control by CD95 stimulation.,21746966_11,0,-1,-1,0,0
30385,CD95,21.0,22.0,146.0,150.0,Our study reveals that Foxp3 negatively regulates CD95L expression in Tregs and demonstrates that Tregs are susceptible to homeostatic control by CD95 stimulation.,21746966_11,0,-1,-1,0,0
30406,peptide,20.0,21.0,96.0,103.0,"We showed that 1-5 daily injections of RTL551 (two-domain I-A(b) covalently linked to MOG-35-55 peptide), but not the control RTL550 (""empty"" two-domain I-A(b) without a bound peptide) or Vehicle, reduced clinical signs of EAE, prevented trafficking of cells outside the spleen, significantly reduced the frequency of CD226 and T-bet expressing CD4+ T-cells in blood and inhibited expansion of CD44 expressing CD4+ T-cells in blood and spleen.",21750737_2,0,-1,-1,0,0
30421,IL-17,20.0,21.0,139.0,144.0,"Concomitantly, RTL551 selectively reduced CNS inflammatory lesions, absolute numbers of CNS infiltrating T-bet expressing CD4+ T-cells and IL-17 and IFN-γ secretion by CNS derived MOG-35-55 reactive cells cultured ex vivo.",21750737_3,0,-1,-1,0,0
30422,IFN-γ,22.0,23.0,149.0,154.0,"Concomitantly, RTL551 selectively reduced CNS inflammatory lesions, absolute numbers of CNS infiltrating T-bet expressing CD4+ T-cells and IL-17 and IFN-γ secretion by CNS derived MOG-35-55 reactive cells cultured ex vivo.",21750737_3,0,-1,-1,0,0
30443,IL-7,11.0,12.0,58.0,62.0,"In this study, we show that APECED patients have elevated IL-7 levels and a drastically decreased expression of IL-7R on CD8(+) T cells.",21753149_2,0,-1,-1,0,0
30485,suppressive,5.0,6.0,37.0,48.0,These C3-/- Tregs exhibited enhanced suppressive capacity to effector cell proliferation.,21767994_4,0,-1,-1,0,0
30494,TGF-β,6.0,7.0,43.0,48.0,"Importantly, transforming growth factor-β (TGF-β) was a key factor for Treg-mediated immune suppression as blocking TGF-β activity reversed suppressive capacity of Tregs in vitro and diabetes-resistant effects of C3 deficiency in vivo.",21767994_6,0,-1,-1,0,0
