,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_chemicals_distsv,lf_disease_distsv,label
3373,jaundice,3,4,23,31,"Our patients developed jaundice following treatment with ticlopidine and showed the clinical and laboratory characteristics of cholestatic hepatitis, which resolved after discontinuation of the drug.",12639165_5,-1,1,1
3374,ticlopidine,7,8,57,68,"Our patients developed jaundice following treatment with ticlopidine and showed the clinical and laboratory characteristics of cholestatic hepatitis, which resolved after discontinuation of the drug.",12639165_5,0,-1,0
3375,cholestatic hepatitis,16,18,127,148,"Our patients developed jaundice following treatment with ticlopidine and showed the clinical and laboratory characteristics of cholestatic hepatitis, which resolved after discontinuation of the drug.",12639165_5,-1,-1,-1
3376,Hepatitis,0,1,0,9,"Hepatitis may develop weeks after discontinuation of the drug and may run a prolonged course, but complete remission was observed in all reported cases.",12639165_6,-1,1,1
3377,adverse drug,7,9,52,64,An objective causality assessment revealed that the adverse drug event was probably related to the use of ticlopidine.,12639165_7,-1,-1,-1
3378,ticlopidine,17,18,106,117,An objective causality assessment revealed that the adverse drug event was probably related to the use of ticlopidine.,12639165_7,0,-1,0
3379,cholestasis,5,6,43,54,The mechanisms of this ticlopidine-induced cholestasis are unclear.,12639165_8,-1,1,1
3380,hepatotoxicity,9,10,48,62,"Immune mechanisms may be involved in the drug's hepatotoxicity, as suggested by the T-cell stimulation study reported here.",12639165_9,-1,1,1
3381,Cholestatic hepatitis,2,4,13,34,CONCLUSIONS: Cholestatic hepatitis is a rare adverse effect of ticlopidine that may be immune mediated.,12639165_10,-1,-1,-1
3382,ticlopidine,10,11,63,74,CONCLUSIONS: Cholestatic hepatitis is a rare adverse effect of ticlopidine that may be immune mediated.,12639165_10,0,-1,0
3383,ticlopidine,12,13,68,79,This complication will be observed even less often in the future as ticlopidine is being replaced by the newer antiplatelet agent clopidogrel.,12639165_12,0,-1,0
3384,clopidogrel,21,22,130,141,This complication will be observed even less often in the future as ticlopidine is being replaced by the newer antiplatelet agent clopidogrel.,12639165_12,0,-1,0
3385,sodium,1,2,11,17,Epithelial sodium channel (ENaC) subunit mRNA and protein expression in rats with puromycin aminonucleoside-induced nephrotic syndrome.,12653683_0,0,-1,0
3386,nephrotic syndrome,16,18,116,134,Epithelial sodium channel (ENaC) subunit mRNA and protein expression in rats with puromycin aminonucleoside-induced nephrotic syndrome.,12653683_0,-1,-1,-1
3387,nephrotic syndrome,2,4,16,34,"In experimental nephrotic syndrome, urinary sodium excretion is decreased during the early phase of the disease.",12653683_1,-1,-1,-1
3388,sodium,6,7,44,50,"In experimental nephrotic syndrome, urinary sodium excretion is decreased during the early phase of the disease.",12653683_1,0,-1,0
3389,salt,6,7,38,42,The molecular mechanism(s) leading to salt retention has not been completely elucidated.,12653683_2,0,-1,0
3390,sodium,6,7,49,55,The rate-limiting constituent of collecting duct sodium transport is the epithelial sodium channel (ENaC).,12653683_3,0,-1,0
3391,sodium,11,12,84,90,The rate-limiting constituent of collecting duct sodium transport is the epithelial sodium channel (ENaC).,12653683_3,0,-1,0
3392,puromycin aminonucleoside,11,13,64,89,We examined the abundance of ENaC subunit mRNAs and proteins in puromycin aminonucleoside (PAN)-induced nephrotic syndrome.,12653683_4,-1,-1,-1
3393,nephrotic syndrome,14,16,104,122,We examined the abundance of ENaC subunit mRNAs and proteins in puromycin aminonucleoside (PAN)-induced nephrotic syndrome.,12653683_4,-1,-1,-1
3394,sodium,5,6,28,34,"The time courses of urinary sodium excretion, plasma aldosterone concentration and proteinuria were studied in male Sprague-Dawley rats treated with a single dose of either PAN or vehicle.",12653683_5,0,-1,0
3395,aldosterone,9,10,53,64,"The time courses of urinary sodium excretion, plasma aldosterone concentration and proteinuria were studied in male Sprague-Dawley rats treated with a single dose of either PAN or vehicle.",12653683_5,0,-1,0
3396,proteinuria,12,13,83,94,"The time courses of urinary sodium excretion, plasma aldosterone concentration and proteinuria were studied in male Sprague-Dawley rats treated with a single dose of either PAN or vehicle.",12653683_5,-1,1,1
3397,PAN,26,27,173,176,"The time courses of urinary sodium excretion, plasma aldosterone concentration and proteinuria were studied in male Sprague-Dawley rats treated with a single dose of either PAN or vehicle.",12653683_5,-1,-1,-1
3398,sodium,4,5,24,30,The kinetics of urinary sodium excretion and the appearance of proteinuria were comparable with those reported previously.,12653683_7,0,-1,0
3399,proteinuria,10,11,63,74,The kinetics of urinary sodium excretion and the appearance of proteinuria were comparable with those reported previously.,12653683_7,-1,1,1
3400,Sodium,0,1,0,6,"Sodium retention occurred on days 2, 3 and 6 after PAN injection.",12653683_8,0,-1,0
3401,PAN,11,12,51,54,"Sodium retention occurred on days 2, 3 and 6 after PAN injection.",12653683_8,-1,-1,-1
3402,sodium,15,16,94,100,A significant up-regulation of alphaENaC and betaENaC mRNA abundance on days 1 and 2 preceded sodium retention on days 2 and 3.,12653683_9,0,-1,0
3403,aldosterone,20,21,123,134,"Conversely, down-regulation of alphaENaC, betaENaC and gammaENaC mRNA expression on day 3 occurred in the presence of high aldosterone concentrations, and was followed by a return of sodium excretion to control values.",12653683_10,0,-1,0
3404,sodium,30,31,183,189,"Conversely, down-regulation of alphaENaC, betaENaC and gammaENaC mRNA expression on day 3 occurred in the presence of high aldosterone concentrations, and was followed by a return of sodium excretion to control values.",12653683_10,0,-1,0
3405,sodium,14,15,96,102,"The amounts of alphaENaC, betaENaC and gammaENaC proteins were not increased during PAN-induced sodium retention.",12653683_11,0,-1,0
3406,nephrotic syndrome,23,25,137,155,"In conclusion, ENaC mRNA expression, especially alphaENaC, is increased in the very early phase of the experimental model of PAN-induced nephrotic syndrome in rats, but appears to escape from the regulation by aldosterone after day 3.",12653683_12,-1,-1,-1
3407,aldosterone,36,37,210,221,"In conclusion, ENaC mRNA expression, especially alphaENaC, is increased in the very early phase of the experimental model of PAN-induced nephrotic syndrome in rats, but appears to escape from the regulation by aldosterone after day 3.",12653683_12,0,-1,0
3408,GABA,4,5,33,37,Sub-chronic low dose gamma-vinyl GABA (vigabatrin) inhibits cocaine-induced increases in nucleus accumbens dopamine.,12684739_0,-1,-1,-1
3409,vigabatrin,6,7,39,49,Sub-chronic low dose gamma-vinyl GABA (vigabatrin) inhibits cocaine-induced increases in nucleus accumbens dopamine.,12684739_0,0,-1,0
3410,dopamine,14,15,107,115,Sub-chronic low dose gamma-vinyl GABA (vigabatrin) inhibits cocaine-induced increases in nucleus accumbens dopamine.,12684739_0,0,-1,0
3411,GABA,3,4,23,27,RATIONALE: gamma-Vinyl GABA (GVG) irreversibly inhibits GABA-transaminase.,12684739_1,-1,-1,-1
3412,GVG,5,6,29,32,RATIONALE: gamma-Vinyl GABA (GVG) irreversibly inhibits GABA-transaminase.,12684739_1,-1,-1,-1
3413,GABA,12,13,95,99,This non-receptor mediated inhibition requires de novo synthesis for restoration of functional GABA catabolism.,12684739_2,-1,-1,-1
3414,substance abuse,8,10,55,70,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,-1,-1,-1
3415,visual field defects,15,18,97,117,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,-1,1,1
3416,VFD,19,20,119,122,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,-1,-1,-1
3417,GVG,35,36,218,221,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,-1,-1,-1
3418,dopamine,45,46,279,287,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,0,-1,0
3419,DA,47,48,289,291,"OBJECTIVES: Given its preclinical success for treating substance abuse and the increased risk of visual field defects (VFD) associated with cumulative lifetime exposure, we explored the effects of sub-chronic low dose GVG on cocaine-induced increases in nucleus accumbens (NAcc) dopamine (DA).",12684739_3,-1,-1,-1
3420,GVG,3,4,21,24,"RESULTS: Sub-chronic GVG exposure inhibited the effect of cocaine for 3 days, which exceeded in magnitude and duration the identical acute dose.",12684739_6,-1,-1,-1
3421,cocaine,9,10,58,65,"RESULTS: Sub-chronic GVG exposure inhibited the effect of cocaine for 3 days, which exceeded in magnitude and duration the identical acute dose.",12684739_6,0,-1,0
3422,GVG,5,6,34,37,"CONCLUSIONS: Sub-chronic low dose GVG potentiates and extends the inhibition of cocaine-induced increases in dopamine, effectively reducing cumulative exposures and the risk for VFDS.",12684739_7,-1,-1,-1
3423,dopamine,15,16,109,117,"CONCLUSIONS: Sub-chronic low dose GVG potentiates and extends the inhibition of cocaine-induced increases in dopamine, effectively reducing cumulative exposures and the risk for VFDS.",12684739_7,0,-1,0
3424,VFDS,25,26,178,182,"CONCLUSIONS: Sub-chronic low dose GVG potentiates and extends the inhibition of cocaine-induced increases in dopamine, effectively reducing cumulative exposures and the risk for VFDS.",12684739_7,-1,-1,-1
3425,oromandibular dystonia,1,3,17,39,Levodopa-induced oromandibular dystonia in progressive supranuclear palsy.,12691807_0,-1,-1,-1
3426,progressive supranuclear palsy,4,7,43,73,Levodopa-induced oromandibular dystonia in progressive supranuclear palsy.,12691807_0,-1,-1,-1
3427,dyskinesias,1,2,17,28,Levodopa-induced dyskinesias have been reported in Parkinson's disease and multiple system atrophy.,12691807_1,-1,1,1
3428,Parkinson's disease,6,9,51,70,Levodopa-induced dyskinesias have been reported in Parkinson's disease and multiple system atrophy.,12691807_1,-1,-1,-1
3429,multiple system atrophy,10,13,75,98,Levodopa-induced dyskinesias have been reported in Parkinson's disease and multiple system atrophy.,12691807_1,-1,-1,-1
3430,Cranial dystonias,0,2,0,17,Cranial dystonias are rare in patients with progressive supranuclear palsy (PSP).,12691807_2,-1,-1,-1
3431,progressive supranuclear palsy,7,10,44,74,Cranial dystonias are rare in patients with progressive supranuclear palsy (PSP).,12691807_2,-1,-1,-1
3432,PSP,11,12,76,79,Cranial dystonias are rare in patients with progressive supranuclear palsy (PSP).,12691807_2,-1,-1,-1
3433,Oromandibular dystonia,11,13,74,96,"In this report we describe an unusual case of reversible levodopa-induced Oromandibular dystonia (OMD) in a PSP patient to highlight the importance of recognizing this drug related complication in the management of PSP, and discuss the possible underlying pathophysiology.",12691807_3,-1,-1,-1
3434,OMD,14,15,98,101,"In this report we describe an unusual case of reversible levodopa-induced Oromandibular dystonia (OMD) in a PSP patient to highlight the importance of recognizing this drug related complication in the management of PSP, and discuss the possible underlying pathophysiology.",12691807_3,-1,-1,-1
3435,PSP,18,19,108,111,"In this report we describe an unusual case of reversible levodopa-induced Oromandibular dystonia (OMD) in a PSP patient to highlight the importance of recognizing this drug related complication in the management of PSP, and discuss the possible underlying pathophysiology.",12691807_3,-1,-1,-1
3436,PSP,34,35,215,218,"In this report we describe an unusual case of reversible levodopa-induced Oromandibular dystonia (OMD) in a PSP patient to highlight the importance of recognizing this drug related complication in the management of PSP, and discuss the possible underlying pathophysiology.",12691807_3,-1,-1,-1
3437,neurotoxicity,8,9,69,82,MR imaging with quantitative diffusion mapping of tacrolimus-induced neurotoxicity in organ transplant patients.,12695819_0,-1,1,1
3438,MR,6,7,39,41,Our objective was to investigate brain MR imaging findings and the utility of diffusion-weighted (DW) imaging in organ transplant patients who developed neurologic symptoms during tacrolimus therapy.,12695819_1,-1,-1,-1
3439,neurologic symptoms,24,26,153,172,Our objective was to investigate brain MR imaging findings and the utility of diffusion-weighted (DW) imaging in organ transplant patients who developed neurologic symptoms during tacrolimus therapy.,12695819_1,-1,-1,-1
3440,tacrolimus,27,28,180,190,Our objective was to investigate brain MR imaging findings and the utility of diffusion-weighted (DW) imaging in organ transplant patients who developed neurologic symptoms during tacrolimus therapy.,12695819_1,0,-1,0
3441,MR,1,2,6,8,"Brain MR studies, including DW imaging, were prospectively performed in 14 organ transplant patients receiving tacrolimus who developed neurologic complications.",12695819_2,-1,-1,-1
3442,tacrolimus,17,18,111,121,"Brain MR studies, including DW imaging, were prospectively performed in 14 organ transplant patients receiving tacrolimus who developed neurologic complications.",12695819_2,0,-1,0
3443,neurologic complications,20,22,136,160,"Brain MR studies, including DW imaging, were prospectively performed in 14 organ transplant patients receiving tacrolimus who developed neurologic complications.",12695819_2,-1,-1,-1
3444,MR,9,10,53,55,"In each patient who had abnormalities on the initial MR study, a follow-up MR study was performed 1 month later.",12695819_3,-1,-1,-1
3445,MR,14,15,75,77,"In each patient who had abnormalities on the initial MR study, a follow-up MR study was performed 1 month later.",12695819_3,-1,-1,-1
3446,MR,10,11,59,61,Apparent diffusion coefficient (ADC) values on the initial MR study were correlated with reversibility of the lesions.,12695819_4,-1,-1,-1
3447,white matter abnormalities,11,14,34,60,"Of the 14 patients, 5 (35.7%) had white matter abnormalities, 1 (7.1%) had putaminal hemorrhage, and 8 (57.1%) had normal findings on initial MR images.",12695819_5,-1,-1,-1
3448,putaminal hemorrhage,21,23,75,95,"Of the 14 patients, 5 (35.7%) had white matter abnormalities, 1 (7.1%) had putaminal hemorrhage, and 8 (57.1%) had normal findings on initial MR images.",12695819_5,-1,-1,-1
3449,MR,35,36,142,144,"Of the 14 patients, 5 (35.7%) had white matter abnormalities, 1 (7.1%) had putaminal hemorrhage, and 8 (57.1%) had normal findings on initial MR images.",12695819_5,-1,-1,-1
3450,white matter abnormalities,5,8,26,52,"Among the 5 patients with white matter abnormalities, 4 patients (80.0%) showed higher than normal ADC values on initial MR images, and all showed complete resolution on follow-up images.",12695819_6,-1,-1,-1
3451,MR,23,24,121,123,"Among the 5 patients with white matter abnormalities, 4 patients (80.0%) showed higher than normal ADC values on initial MR images, and all showed complete resolution on follow-up images.",12695819_6,-1,-1,-1
3452,laminar necrosis,20,22,114,130,The remaining 1 patient (20.0%) showed lower than normal ADC value and showed incomplete resolution with cortical laminar necrosis.,12695819_7,-1,-1,-1
3453,neurotoxicity,14,15,105,118,Diffusion-weighted imaging may be useful in predicting the outcomes of the lesions of tacrolimus-induced neurotoxicity.,12695819_8,-1,1,1
3454,hypertension,6,7,53,65,L-arginine transport in humans with cortisol-induced hypertension.,12707296_0,-1,1,1
3455,hypertension,9,10,77,89,A deficient L-arginine-nitric oxide system is implicated in cortisol-induced hypertension.,12707296_1,-1,1,1
3456,Hydrocortisone acetate,0,2,0,22,Hydrocortisone acetate (50 mg) was given orally every 6 hours for 24 hours after a 5-day fixed-salt diet (150 mmol/d).,12707296_4,0,-1,0
3457,mg,4,5,27,29,Hydrocortisone acetate (50 mg) was given orally every 6 hours for 24 hours after a 5-day fixed-salt diet (150 mmol/d).,12707296_4,-1,-1,-1
3458,cortisol,1,2,7,15,"Plasma cortisol concentrations were significantly raised during the active phase (323+/-43 to 1082+/-245 mmol/L, P<0.05).",12707296_9,0,-1,0
3459,P<0.05,16,17,113,119,"Plasma cortisol concentrations were significantly raised during the active phase (323+/-43 to 1082+/-245 mmol/L, P<0.05).",12707296_9,-1,-1,-1
3460,mm Hg,10,12,56,61,Systolic blood pressure was elevated by an average of 7 mm Hg.,12707296_10,-1,-1,-1
3461,cortisol,62,63,357,365,"Neither L-arginine transport into mononuclear cells (placebo vs active, 26.3+/-3.6 vs 29.0+/-2.1 pmol/10 000 cells per 5 minutes, respectively, at an l-arginine concentration of 300 micromol/L) nor L-arginine extraction in the forearm (at 80 minutes, placebo vs active, 1 868 904+/-434 962 vs 2 013 910+/-770 619 disintegrations per minute) was affected by cortisol treatment; ie, that L-arginine uptake is not affected by short-term cortisol treatment.",12707296_11,0,-1,0
3462,cortisol,75,76,434,442,"Neither L-arginine transport into mononuclear cells (placebo vs active, 26.3+/-3.6 vs 29.0+/-2.1 pmol/10 000 cells per 5 minutes, respectively, at an l-arginine concentration of 300 micromol/L) nor L-arginine extraction in the forearm (at 80 minutes, placebo vs active, 1 868 904+/-434 962 vs 2 013 910+/-770 619 disintegrations per minute) was affected by cortisol treatment; ie, that L-arginine uptake is not affected by short-term cortisol treatment.",12707296_11,0,-1,0
3463,increases in blood pressure,4,8,34,61,We conclude that cortisol-induced increases in blood pressure are not associated with abnormalities in the l-arginine transport system.,12707296_12,-1,-1,-1
3464,bleeding,2,3,10,18,Amount of bleeding and hematoma size in the collagenase-induced intracerebral hemorrhage rat model.,12716030_0,-1,1,1
3465,hematoma,4,5,23,31,Amount of bleeding and hematoma size in the collagenase-induced intracerebral hemorrhage rat model.,12716030_0,-1,1,1
3466,intracerebral hemorrhage,9,11,64,88,Amount of bleeding and hematoma size in the collagenase-induced intracerebral hemorrhage rat model.,12716030_0,-1,-1,-1
3467,intracerebral hemorrhage,4,6,23,47,The aggravated risk on intracerebral hemorrhage (ICH) with drugs used for stroke patients should be estimated carefully.,12716030_1,-1,-1,-1
3468,ICH,7,8,49,52,The aggravated risk on intracerebral hemorrhage (ICH) with drugs used for stroke patients should be estimated carefully.,12716030_1,-1,-1,-1
3469,stroke,13,14,74,80,The aggravated risk on intracerebral hemorrhage (ICH) with drugs used for stroke patients should be estimated carefully.,12716030_1,-1,1,1
3470,ICH,10,11,77,80,We therefore established sensitive quantification methods and provided a rat ICH model for detection of ICH deterioration.,12716030_2,-1,-1,-1
3471,ICH deterioration,15,17,104,121,We therefore established sensitive quantification methods and provided a rat ICH model for detection of ICH deterioration.,12716030_2,-1,-1,-1
3472,ICH,1,2,3,6,"In ICH intrastriatally induced by 0.014-unit, 0.070-unit, and 0.350-unit collagenase, the amount of bleeding was measured using a hemoglobin assay developed in the present study and was compared with the morphologically determined hematoma volume.",12716030_3,-1,-1,-1
3473,bleeding,16,17,100,108,"In ICH intrastriatally induced by 0.014-unit, 0.070-unit, and 0.350-unit collagenase, the amount of bleeding was measured using a hemoglobin assay developed in the present study and was compared with the morphologically determined hematoma volume.",12716030_3,-1,1,1
3474,hematoma,35,36,231,239,"In ICH intrastriatally induced by 0.014-unit, 0.070-unit, and 0.350-unit collagenase, the amount of bleeding was measured using a hemoglobin assay developed in the present study and was compared with the morphologically determined hematoma volume.",12716030_3,-1,1,1
3475,hematoma,4,5,22,30,"The blood amounts and hematoma volumes were significantly correlated, and the hematoma induced by 0.014-unit collagenase was adequate to detect ICH deterioration.",12716030_4,-1,1,1
3476,hematoma,12,13,78,86,"The blood amounts and hematoma volumes were significantly correlated, and the hematoma induced by 0.014-unit collagenase was adequate to detect ICH deterioration.",12716030_4,-1,1,1
3477,ICH deterioration,21,23,144,161,"The blood amounts and hematoma volumes were significantly correlated, and the hematoma induced by 0.014-unit collagenase was adequate to detect ICH deterioration.",12716030_4,-1,-1,-1
3478,ICH,1,2,3,6,"In ICH induction using 0.014-unit collagenase, heparin enhanced the hematoma volume 3.4-fold over that seen in control ICH animals and the bleeding 7.6-fold.",12716030_5,-1,-1,-1
3479,heparin,7,8,47,54,"In ICH induction using 0.014-unit collagenase, heparin enhanced the hematoma volume 3.4-fold over that seen in control ICH animals and the bleeding 7.6-fold.",12716030_5,0,-1,0
3480,hematoma,10,11,68,76,"In ICH induction using 0.014-unit collagenase, heparin enhanced the hematoma volume 3.4-fold over that seen in control ICH animals and the bleeding 7.6-fold.",12716030_5,-1,1,1
3481,ICH,18,19,119,122,"In ICH induction using 0.014-unit collagenase, heparin enhanced the hematoma volume 3.4-fold over that seen in control ICH animals and the bleeding 7.6-fold.",12716030_5,-1,-1,-1
3482,bleeding,22,23,139,147,"In ICH induction using 0.014-unit collagenase, heparin enhanced the hematoma volume 3.4-fold over that seen in control ICH animals and the bleeding 7.6-fold.",12716030_5,-1,1,1
3483,ICH,10,11,64,67,"Data suggest that this sensitive hemoglobin assay is useful for ICH detection, and that a model with a small ICH induced with a low-dose collagenase should be used for evaluation of drugs that may affect ICH.",12716030_6,-1,-1,-1
3484,ICH,20,21,109,112,"Data suggest that this sensitive hemoglobin assay is useful for ICH detection, and that a model with a small ICH induced with a low-dose collagenase should be used for evaluation of drugs that may affect ICH.",12716030_6,-1,-1,-1
3485,ICH,36,37,204,207,"Data suggest that this sensitive hemoglobin assay is useful for ICH detection, and that a model with a small ICH induced with a low-dose collagenase should be used for evaluation of drugs that may affect ICH.",12716030_6,-1,-1,-1
3486,Dexatrim,3,4,13,21,Case report: Dexatrim (Phenylpropanolamine) as a cause of myocardial infarction.,12734532_0,-1,-1,-1
3487,Phenylpropanolamine,5,6,23,42,Case report: Dexatrim (Phenylpropanolamine) as a cause of myocardial infarction.,12734532_0,-1,-1,-1
3488,myocardial infarction,11,13,58,79,Case report: Dexatrim (Phenylpropanolamine) as a cause of myocardial infarction.,12734532_0,-1,-1,-1
3489,Phenylpropanolamine,0,1,0,19,Phenylpropanolamine (PPA) is a sympathetic amine used in over-the-counter cold remedies and weight-control preparations worldwide.,12734532_1,-1,-1,-1
3490,PPA,2,3,21,24,Phenylpropanolamine (PPA) is a sympathetic amine used in over-the-counter cold remedies and weight-control preparations worldwide.,12734532_1,-1,-1,-1
3491,amine,7,8,43,48,Phenylpropanolamine (PPA) is a sympathetic amine used in over-the-counter cold remedies and weight-control preparations worldwide.,12734532_1,-1,-1,-1
3492,hypertensive,6,7,33,45,Its use has been associated with hypertensive episodes and hemorrhagic strokes in younger women.,12734532_2,-1,1,1
3493,hemorrhagic strokes,9,11,59,78,Its use has been associated with hypertensive episodes and hemorrhagic strokes in younger women.,12734532_2,-1,-1,-1
3494,PPA,7,8,41,44,"Several reports have linked the abuse of PPA with myocardial injury, especially when overdose is involved.",12734532_3,-1,-1,-1
3495,myocardial injury,9,11,50,67,"Several reports have linked the abuse of PPA with myocardial injury, especially when overdose is involved.",12734532_3,-1,1,1
3496,overdose,14,15,85,93,"Several reports have linked the abuse of PPA with myocardial injury, especially when overdose is involved.",12734532_3,-1,1,1
3497,Dexatrim,7,8,33,41,We report here the first case of Dexatrim (PPA)-induced myocardial injury in a young woman who was using it at recommended doses for weight control.,12734532_4,-1,-1,-1
3498,myocardial injury,9,11,56,73,We report here the first case of Dexatrim (PPA)-induced myocardial injury in a young woman who was using it at recommended doses for weight control.,12734532_4,-1,1,1
3499,PPA,10,11,44,47,"In addition, we review the 7 other cases of PPA related myocardial injury that have been reported so far.",12734532_5,-1,-1,-1
3500,myocardial injury,12,14,56,73,"In addition, we review the 7 other cases of PPA related myocardial injury that have been reported so far.",12734532_5,-1,1,1
3501,PPA,16,17,97,100,"Physicians and patients should be alert to the potential cardiac risk associated with the use of PPA, even at doses generally considered to be safe.",12734532_6,-1,-1,-1
3502,creatine kinase,5,7,37,52,Differential diagnosis of high serum creatine kinase levels in systemic lupus erythematosus.,12739036_0,-1,-1,-1
3503,systemic lupus erythematosus,9,12,63,91,Differential diagnosis of high serum creatine kinase levels in systemic lupus erythematosus.,12739036_0,-1,-1,-1
3504,myopathy,14,15,100,108,We report the clinical and bioptic findings for a 57-year-old woman with severe chloroquine-induced myopathy.,12739036_1,-1,1,1
3505,systemic lupus erythematosus,8,11,40,68,"Since 1989, she had been suffering from systemic lupus erythematosus (SLE) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide.",12739036_2,-1,-1,-1
3506,SLE,12,13,70,73,"Since 1989, she had been suffering from systemic lupus erythematosus (SLE) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide.",12739036_2,-1,-1,-1
3507,renal involvement,15,17,80,97,"Since 1989, she had been suffering from systemic lupus erythematosus (SLE) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide.",12739036_2,-1,-1,-1
3508,azathioprine,23,24,138,150,"Since 1989, she had been suffering from systemic lupus erythematosus (SLE) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide.",12739036_2,0,-1,0
3509,cyclophosphamide,25,26,155,171,"Since 1989, she had been suffering from systemic lupus erythematosus (SLE) with renal involvement and undergone periods of treatment with azathioprine and cyclophosphamide.",12739036_2,0,-1,0
3510,chloroquine,3,4,24,35,Additional therapy with chloroquine (CQ) was started because of arthralgia.,12739036_3,0,-1,0
3511,CQ,5,6,37,39,Additional therapy with chloroquine (CQ) was started because of arthralgia.,12739036_3,-1,-1,-1
3512,arthralgia,11,12,64,74,Additional therapy with chloroquine (CQ) was started because of arthralgia.,12739036_3,-1,-1,-1
3513,creatine kinase,7,9,37,52,"At the same time, slightly increased creatine kinase (CK) levels were noted.",12739036_4,-1,-1,-1
3514,Myositis,0,1,0,8,"Myositis was suspected, and the patient was treated with steroids.",12739036_5,-1,-1,-1
3515,steroids,10,11,57,65,"Myositis was suspected, and the patient was treated with steroids.",12739036_5,0,-1,0
3516,muscular weakness,11,13,66,83,"The CK increase persisted, however, and she developed progressive muscular weakness and muscular atrophy.",12739036_6,-1,-1,-1
3517,muscular atrophy,14,16,88,104,"The CK increase persisted, however, and she developed progressive muscular weakness and muscular atrophy.",12739036_6,-1,-1,-1
3518,myositis,9,10,71,79,The neurological and electrophysiological findings were not typical of myositis.,12739036_8,-1,-1,-1
3519,polymyositis,14,15,76,88,"Thus, muscle biopsy of the deltoid muscle was performed in order to exclude polymyositis or toxic myopathy.",12739036_9,-1,-1,-1
3520,myopathy,17,18,98,106,"Thus, muscle biopsy of the deltoid muscle was performed in order to exclude polymyositis or toxic myopathy.",12739036_9,-1,1,1
3521,myopathy,4,5,35,43,"As it revealed chloroquine-induced myopathy, medication was stopped.",12739036_10,-1,1,1
3522,affection of the musculoskeletal system,4,9,43,82,Discriminating between primary SLE-induced affection of the musculoskeletal system and drug-induced side effects is important for appropriate treatment of SLE patients.,12739036_11,-1,-1,-1
3523,SLE,19,20,155,158,Discriminating between primary SLE-induced affection of the musculoskeletal system and drug-induced side effects is important for appropriate treatment of SLE patients.,12739036_11,-1,-1,-1
3524,Seizure,0,1,0,7,Seizure associated with sleep deprivation and sustained-release bupropion.,12745515_0,-1,1,1
3525,sleep deprivation,3,5,24,41,Seizure associated with sleep deprivation and sustained-release bupropion.,12745515_0,-1,-1,-1
3526,bupropion,7,8,64,73,Seizure associated with sleep deprivation and sustained-release bupropion.,12745515_0,0,-1,0
3527,seizure,6,7,41,48,This case report describes a generalized seizure associated with sustained-release bupropion use and sleep deprivation.,12745515_1,-1,1,1
3528,bupropion,10,11,83,92,This case report describes a generalized seizure associated with sustained-release bupropion use and sleep deprivation.,12745515_1,0,-1,0
3529,sleep deprivation,13,15,101,118,This case report describes a generalized seizure associated with sustained-release bupropion use and sleep deprivation.,12745515_1,-1,-1,-1
3530,smoking,19,20,125,132,"The subject, a 31-year-old female smoker, was participating in a clinical trial evaluating an investigational medication for smoking cessation that used sustained-release bupropion as an active control.",12745515_2,0,-1,0
3531,bupropion,24,25,171,180,"The subject, a 31-year-old female smoker, was participating in a clinical trial evaluating an investigational medication for smoking cessation that used sustained-release bupropion as an active control.",12745515_2,0,-1,0
3532,bupropion,4,5,17,26,"After 5 weeks of bupropion use, the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence.",12745515_3,0,-1,0
3533,tonic clonic seizure,12,15,70,90,"After 5 weeks of bupropion use, the subject experienced a generalized tonic clonic seizure after staying up nearly all night packing and moving to a new residence.",12745515_3,-1,-1,-1
3534,seizures,8,9,42,50,The patient had no other risk factors for seizures.,12745515_4,-1,1,1
3535,sleep deprivation,3,5,16,33,We suggest that sleep deprivation may add to the risk of bupropion-associated seizures.,12745515_5,-1,-1,-1
