,entities,start_chars,end_chars,text,pmid,label
711,contrast material,87,104,"Radiological studies were mostly angiographies performed with both ionic and non-ionic contrast material, at an average dose of 245 ml.",1300436_5,0
3815,Renal failure,0,13,Renal failure was associated with weight loss in the furosemide-treated group.,1300436_7,1
712,radiocontrast,51,64,Furosemide may be deleterious in the prevention of radiocontrast nephropathy.,1300436_8,0
713,Progestational agents,0,21,Progestational agents and blood coagulation.,133615_0,0
716,blood group,38,49,All four patients were of the A or AB blood group.,133615_11,0
717,oral contraceptive,109,127,It appears from these data that hematologic work-ups may be useful in women who are about to start long-term oral contraceptive therapy.,133615_13,0
714,oral contraceptive,42,60,Thromboembolic and other complications of oral contraceptive therapy in relationship to pretreatment levels of blood coagulation factors: summary report of a ten-year study.,133615_2,0
715,oral contraceptives,119,138,"During a ten-year period, 348 women were studied for a total of 5,877 patient months in four separate studies relating oral contraceptives to changes in hematologic parameters.",133615_3,0
3816,myocardial infarction,34,55,"One of these patients developed a myocardial infarction before receiving any medication, shortly after the base-line values were obtained.",133615_8,1
720,(1,142,144,"4. The pressor responses and bradycardia to the alpha 1-agonist cirazoline (0.6 and 2 micrograms kg-1 i.v.), the alpha 2-agonist Abbott-53693 (1 and 3 micrograms kg-1 i.v.), and noradrenaline (0.1 and 1.0 micrograms kg-1 i.v.) were determined in conscious SHR with and without chronic prazosin pretreatment.",1355091_10,0
718,(3,163,165,2. Conscious SHR (male 300-350 g) were subjected to 90 degrees head-up tilts for 60 s following acute administration of prazosin (0.1 mg kg-1 i.p.) or rauwolscine (3 mg kg-1 i.v.).,1355091_2,0
719,(3,42,44,"Conversely, administration of rauwolscine (3 mg kg-1 i.v.) in chronic prazosin treated SHR decreased the basal MAP by 12-31% (n = 4), and subsequent tilts induced further drops of MAP by 19-23% in these rats.",1355091_9,0
721,modulators,18,28,Effect of humoral modulators of morphine-induced increase in locomotor activity of mice.,137340_0,0
722,modulators,22,32,The effect of humoral modulators on the morphine-induced increase in locomotor activity of mice was studied.,137340_1,0
723,methscopolamine,18,33,"In contrast, both methscopolamine and neostigmine, which do not penetrate the blood-brain barrier, had no effect on the hyperactivity produced by morphine.",137340_4,0
724,alpha-methyltyrosine,26,46,"Pretreatment of mice with alpha-methyltyrosine (20 mg/kg i.p., one hour), an inhibitor of tyrosine hydroxylase, significantly decreased the activity-increasing effects of morphine.",137340_5,0
3817,renal failure,208,221,"Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure.",1378968_1,1
3818,systolic hypertension,36,57,Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis.,1378968_6,1
3819,glomerulosclerosis,72,90,Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis.,1378968_6,1
725,creatinine,109,119,HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats.,1378968_7,0
3820,renal failure,40,53,HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats.,1378968_7,1
726,dipyridamole,72,84,"Treatment has included use of plasma exchange, prednisone, aspirin, and dipyridamole.",1415380_4,0
728,cyclosporin,107,118,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties similar to cyclosporin.,1420741_0,0
3821,Crohn's disease,13,28,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties similar to cyclosporin.,1420741_0,1
727,fusidic acid,34,46,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties similar to cyclosporin.,1420741_0,0
730,cyclosporin,97,108,Fusidic acid is an antibiotic with T-cell specific immunosuppressive effects similar to those of cyclosporin.,1420741_1,0
729,Fusidic acid,0,12,Fusidic acid is an antibiotic with T-cell specific immunosuppressive effects similar to those of cyclosporin.,1420741_1,0
734,fusidic acid,45,57,The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn's disease patients in whom conventional treatment is ineffective.,1420741_10,0
735,fusidic acid,67,79,"Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease, we suggest that the role of this treatment should be further investigated.",1420741_11,0
3823,chronic active,187,201,"Because of the need for the development of new treatments for Crohn's disease, a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active, therapy-resistant patients.",1420741_2,1
3822,Crohn's disease,62,77,"Because of the need for the development of new treatments for Crohn's disease, a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active, therapy-resistant patients.",1420741_2,1
731,fusidic acid,161,173,"Because of the need for the development of new treatments for Crohn's disease, a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active, therapy-resistant patients.",1420741_2,0
3824,Crohn's disease,6,21,Eight Crohn's disease patients were included.,1420741_3,1
732,Fusidic acid,0,12,Fusidic acid was administered orally in a dose of 500 mg t.d.s. and the treatment was planned to last 8 weeks.,1420741_4,0
733,fusidic acid,41,53,Five of 8 patients (63%) improved during fusidic acid treatment: 3 at two weeks and 2 after four weeks.,1420741_6,0
3825,side effects,31,43,"There were no serious clinical side effects, but dose reduction was required in two patients because of nausea.",1420741_7,1
736,propranolol,34,45,Amnestic syndrome associated with propranolol toxicity: a case report.,1423339_0,0
737,propranolol,78,89,An elderly woman developed an Alzheimer-like subacute dementia as a result of propranolol toxicity.,1423339_1,0
3826,drug toxicity,45,58,There is evidence that cerebral reactions to drug toxicity can exhibit patterns that suggest highly selective involvement of functional subdivisions of the brain.,1423339_3,1
3827,side effects,55,67,Depression and sexual dysfunction have been related to side effects of topical beta-blockers.,1428568_1,1
738,betaxolol,147,156,We performed a preliminary study in order to determine any difference between a non selective beta-blocker (timolol) and a selective beta-blocker (betaxolol) regarding CNS side effects.,1428568_2,0
3828,side effects,172,184,We performed a preliminary study in order to determine any difference between a non selective beta-blocker (timolol) and a selective beta-blocker (betaxolol) regarding CNS side effects.,1428568_2,1
739,betaxolol,27,36,These results suggest that betaxolol could be less of a depression-inducer than timolol in predisposed patients.,1428568_6,0
3829,neurotoxicity,39,52,"Protection against amphetamine-induced neurotoxicity toward striatal dopamine neurons in rodents by LY274614, an excitatory amino acid antagonist.",1436384_0,1
740,glutamate receptor,178,196,"LY274614, 3SR,4aRS,6SR,8aRS-6-[phosphonomethyl]decahydr oisoquinoline-3- carboxylic acid, has been described as a potent antagonist of the N-methyl-D-aspartate (NMDA) subtype of glutamate receptor.",1436384_1,0
741,MK-801,85,91,"This prolonged depletion of dopamine in the striatum was antagonized by dizocilpine (MK-801, a non-competitive antagonist of NMDA receptors) or by LY274614 (a competitive antagonist of NMDA receptors).",1436384_4,0
742,at 10,68,73,"The protective effect of LY274614 was dose-dependent, being maximum at 10-40 mgkg (i.p.).",1436384_5,0
743,receptor antagonist,188,207,The data strengthen the evidence that the neurotoxic effect of amphetamine and related compounds toward nigrostriatal dopamine neurons involves NMDA receptors and that LY274614 is an NMDA receptor antagonist with long-lasting in vivo effects in rats.,1436384_9,0
744,cefotetan,71,80,We describe a patient who developed anemia while receiving intravenous cefotetan.,1445986_2,0
745,cefotetan,70,79,"The eluate also reacted weakly with red blood cells in the absence of cefotetan, suggesting the concomitant formation of warm-reactive autoantibodies.",1445986_4,0
3830,extravascular hemolysis,76,99,"These observations, in conjunction with clinical and laboratory evidence of extravascular hemolysis, are consistent with drug-induced hemolytic anemia, possibly involving both drug-adsorption and autoantibody formation mechanisms.",1445986_5,1
3831,adverse drug reactions,54,76,"This case illustrates the need for close vigilance in adverse drug reactions, particularly in the elderly.",14513889_4,1
3832,MPTP-induced parkinsonism,46,71,"Using macaque monkeys with different types of MPTP-induced parkinsonism, the current study evaluated the degree to which rate of symptom progression, symptom severity, and response to and duration of levodopa therapy may be involved in the development of LIDs.",14568327_3,1
3833,MPTP,32,36,"Monkeys with acute (short-term) MPTP exposure, rapid symptom onset and short symptom duration prior to initiation of levodopa therapy developed dyskinesia between 11 and 24 days of daily levodopa administration.",14568327_4,1
3834,MPTP,36,40,"In contrast, monkeys with long-term MPTP exposure, slow symptom progression and/or long symptom duration prior to initiation of levodopa therapy were more resistant to developing LIDs (e.g., dyskinesia developed no sooner than 146 days of chronic levodopa administration).",14568327_5,1
3835,pathophysiology,235,250,These data suggest distinct differences in the propensity to develop LIDs in monkeys with different rates of symptom progression or symptom durations prior to levodopa and demonstrate the value of these models for further studying the pathophysiology of LIDs.,14568327_7,1
746,low dose,77,85,A diet promoting sugar dependency causes behavioral cross-sensitization to a low dose of amphetamine.,14596845_0,0
747,low dose,130,138,The present study examined whether female rats on various regimens of sugar access would show behavioral cross-sensitization to a low dose of amphetamine.,14596845_2,0
748,low dose,72,80,Nine days later locomotor activity was measured in response to a single low dose of amphetamine (0.5 mg/kg).,14596845_6,0
749,mesna,26,31,Use of dexamethasone with mesna for the prevention of ifosfamide-induced hemorrhagic cystitis.,14633084_0,0
3836,side-effect,45,56,AIM: Hemorrhagic cystitis (HC) is a limiting side-effect of chemotherapy with ifosfamide (IFS).,14633084_1,1
750,ifosfamide,78,88,AIM: Hemorrhagic cystitis (HC) is a limiting side-effect of chemotherapy with ifosfamide (IFS).,14633084_1,0
760,mesna,78,83,"However, the replacement of last two doses of mesna with saline or all of the mesna doses with dexamethasone did not prevent HC.",14633084_10,0
759,mesna,46,51,"However, the replacement of last two doses of mesna with saline or all of the mesna doses with dexamethasone did not prevent HC.",14633084_10,0
751,mesna,90,95,"In the study presented here, we investigated the use of dexamethasone in combination with mesna for the prevention of IFS-induced HC.",14633084_2,0
752,mesna,84,89,METHODS: Male Wistar rats (150-200 g; 6 rats per group) were treated with saline or mesna 5 min (i.p.) before and 2 and 6 h after (v.o.) administration of IFS.,14633084_3,0
753,mesna,27,32,"One, two or three doses of mesna were replaced with dexamethasone alone or with dexamethasone plus mesna.",14633084_4,0
754,mesna,99,104,"One, two or three doses of mesna were replaced with dexamethasone alone or with dexamethasone plus mesna.",14633084_4,0
755,mesna,67,72,"RESULTS: The replacement of the last dose or the last two doses of mesna with dexamethasone reduced the increase in bladder wet weight induced by IFS by 84.79% and 89.13%, respectively.",14633084_6,0
757,mesna,110,115,"Moreover, the addition of dexamethasone to the last two doses of mesna was more efficient than three doses of mesna alone when evaluated microscopically.",14633084_8,0
756,mesna,65,70,"Moreover, the addition of dexamethasone to the last two doses of mesna was more efficient than three doses of mesna alone when evaluated microscopically.",14633084_8,0
758,mesna,46,51,CONCLUSION: Dexamethasone in combination with mesna was efficient in blocking IFS-induced HC.,14633084_9,0
761,trans-retinoic,5,19,All- trans-retinoic acid-induced erythema nodosum in patients with acute promyelocytic leukemia.,14648024_0,0
762,trans-retinoic acid,38,57,Erythema nodosum associated with all- trans-retinoic acid (ATRA) for acute promyelocytic leukemia (APL) is very rare.,14648024_1,0
3837,dilated cardiomyopathy,11,33,Reversible dilated cardiomyopathy related to amphotericin B therapy.,14657095_0,1
3839,congestive heart failure,72,96,We describe a patient who developed dilated cardiomyopathy and clinical congestive heart failure after 2 months of therapy with amphotericin B (AmB) for disseminated coccidioidomycosis.,14657095_1,1
3838,dilated cardiomyopathy,36,58,We describe a patient who developed dilated cardiomyopathy and clinical congestive heart failure after 2 months of therapy with amphotericin B (AmB) for disseminated coccidioidomycosis.,14657095_1,1
3840,heart failure,40,53,His echocardiographic abnormalities and heart failure resolved after posaconazole was substituted for AmB. It is important to recognize the rare and potentially reversible toxicity of AmB.,14657095_2,1
764,CGRP,87,91,NO-induced migraine attack: strong increase in plasma calcitonin gene-related peptide (CGRP) concentration and negative correlation with platelet serotonin release.,14659530_0,0
763,calcitonin gene-related peptide,54,85,NO-induced migraine attack: strong increase in plasma calcitonin gene-related peptide (CGRP) concentration and negative correlation with platelet serotonin release.,14659530_0,0
765,calcitonin gene-related peptide,70,101,"The aim of the present study was to investigate changes in the plasma calcitonin gene-related peptide (CGRP) concentration and platelet serotonin (5-hydroxytriptamine, 5-HT) content during the immediate headache and the delayed genuine migraine attack provoked by nitroglycerin.",14659530_1,0
766,CGRP,103,107,"The aim of the present study was to investigate changes in the plasma calcitonin gene-related peptide (CGRP) concentration and platelet serotonin (5-hydroxytriptamine, 5-HT) content during the immediate headache and the delayed genuine migraine attack provoked by nitroglycerin.",14659530_1,0
3842,migraine headache,100,117,"In conclusion, the fact that plasma CGRP concentration correlates with the timing and severity of a migraine headache suggests a direct relationship between CGRP and migraine.",14659530_11,1
770,CGRP,36,40,"In conclusion, the fact that plasma CGRP concentration correlates with the timing and severity of a migraine headache suggests a direct relationship between CGRP and migraine.",14659530_11,0
771,CGRP,157,161,"In conclusion, the fact that plasma CGRP concentration correlates with the timing and severity of a migraine headache suggests a direct relationship between CGRP and migraine.",14659530_11,0
772,CGRP,129,133,"In contrast, serotonin release from platelets does not provoke migraine, it may even counteract the headache and the concomitant CGRP release in this model.",14659530_12,0
767,CGRP,7,11,Plasma CGRP concentration increased significantly (P<0.01) during the migraine attack and returned to baseline after the cessation of the migraine.,14659530_6,0
3841,migraine headache,81,98,"In addition, both change and peak, showed significant positive correlations with migraine headache intensity (P<0.001).",14659530_7,1
768,CGRP,16,20,"However, plasma CGRP concentrations failed to change during immediate headache and in the subjects with no migraine attack.",14659530_8,0
769,CGRP,6,10,Basal CGRP concentration was significantly higher and platelet 5-HT content tended to be lower in subjects who experienced a migraine attack.,14659530_9,0
3843,granulomatosis,99,113,We report a case of intractable hemorrhagic cystitis due to cyclophosphamide therapy for Wegener's granulomatosis.,1468485_1,1
773,prostaglandin F2 alpha,99,121,"Conservative treatment, including bladder irrigation with physiological saline and instillation of prostaglandin F2 alpha, failed to totally control hemorrhage.",1468485_2,0
3844,side effect,3,14,No side effect was noted during the course of therapy.,1468485_5,1
3845,nonepileptic,53,65,Acute psychosis due to treatment with phenytoin in a nonepileptic patient.,14698717_0,1
774,antiepileptic drug,40,58,The development of psychosis related to antiepileptic drug treatment is usually attributed to the interaction between the epileptic brain substratum and the antiepileptic drugs.,14698717_1,0
775,antiepileptic drugs,157,176,The development of psychosis related to antiepileptic drug treatment is usually attributed to the interaction between the epileptic brain substratum and the antiepileptic drugs.,14698717_1,0
3846,nonepileptic,14,26,The case of a nonepileptic patient who developed psychosis following phenytoin treatment for trigeminal neuralgia is described.,14698717_2,1
3847,trigeminal neuralgia,93,113,The case of a nonepileptic patient who developed psychosis following phenytoin treatment for trigeminal neuralgia is described.,14698717_2,1
776,convulsants,15,26,Effect of some convulsants on the protective activity of loreclezole and its combinations with valproate or clonazepam in amygdala-kindled rats.,14704468_0,0
777,clonazepam,108,118,Effect of some convulsants on the protective activity of loreclezole and its combinations with valproate or clonazepam in amygdala-kindled rats.,14704468_0,0
778,clonazepam,60,70,"The combinations of loreclezole (2.5 mg/kg) with valproate, clonazepam, or carbamazepine (applied at their subprotective doses) also exhibited antiseizure effect in this test.",14704468_2,0
779,L-type calcium channels,100,123,"Among several chemoconvulsants, bicuculline, N-methyl-D-aspartic acid and BAY k-8644 (the opener of L-type calcium channels) reversed the protective activity of loreclezole alone and its combination with valproate.",14704468_4,0
781,clonazepam,126,136,"On the other hand, bicuculline, aminophylline and BAY k-8644 inhibited the anticonvulsive action of loreclezole combined with clonazepam.",14704468_5,0
780,anticonvulsive,75,89,"On the other hand, bicuculline, aminophylline and BAY k-8644 inhibited the anticonvulsive action of loreclezole combined with clonazepam.",14704468_5,0
784,calcium channels,208,224,The results support the hypothesis that the protective activity of loreclezole and its combinations with other antiepileptics may involve potentiation of GABAergic neurotransmission and blockade of L-type of calcium channels.,14704468_6,0
783,L-type,198,204,The results support the hypothesis that the protective activity of loreclezole and its combinations with other antiepileptics may involve potentiation of GABAergic neurotransmission and blockade of L-type of calcium channels.,14704468_6,0
782,GABAergic,154,163,The results support the hypothesis that the protective activity of loreclezole and its combinations with other antiepileptics may involve potentiation of GABAergic neurotransmission and blockade of L-type of calcium channels.,14704468_6,0
3848,respiratory chain,26,43,Mitochondrial DNA and its respiratory chain products are defective in doxorubicin nephrosis.,14736955_0,1
3850,respiratory chain,108,125,"Among all animals, glomerular and tubular injury were inversely correlated with mtDNA levels, mtDNA-encoded respiratory chain activities and with the expression of the mtDNA-encoded respiratory chain subunit COX-I. Injury was positively correlated with superoxide production and the activities of nucleus-encoded mitochondrial or cytoplasmic enzymes.",14736955_11,1
3851,respiratory chain,182,199,"Among all animals, glomerular and tubular injury were inversely correlated with mtDNA levels, mtDNA-encoded respiratory chain activities and with the expression of the mtDNA-encoded respiratory chain subunit COX-I. Injury was positively correlated with superoxide production and the activities of nucleus-encoded mitochondrial or cytoplasmic enzymes.",14736955_11,1
3852,respiratory chain,143,160,CONCLUSIONS: These results suggest an important role for quantitative and qualitative mtDNA alterations through the reduction of mtDNA-encoded respiratory chain function and induction of superoxide in doxorubicin-induced renal lesions.,14736955_13,1
785,(1,56,58,METHODS: Rats were treated with intravenous doxorubicin (1 mg kg(-1) week(-1)) for 7 weeks and were sacrificed either 1 week ('short-term') or 30 weeks ('long-term') following the last dose.,14736955_3,0
3849,respiratory chain,92,109,Glomerular and tubular injury was monitored and correlated to the activity or expression of respiratory chain components.,14736955_6,1
786,cytochrome-c oxidase,140,160,"RESULTS: The 'long-term' group had significant glomerular and tubular lesions, depressed activities of mtDNA-encoded NADH dehydrogenase and cytochrome-c oxidase (COX) and increased citrate synthase activity.",14736955_8,0
787,synthase,189,197,"RESULTS: The 'long-term' group had significant glomerular and tubular lesions, depressed activities of mtDNA-encoded NADH dehydrogenase and cytochrome-c oxidase (COX) and increased citrate synthase activity.",14736955_8,0
3853,breast cancer,42,55,Does hormone therapy for the treatment of breast cancer have a detrimental effect on memory and cognition?,14745746_0,1
3854,breast cancer,54,67,This pilot study examines whether hormone therapy for breast cancer affects cognition.,14745746_2,1
3855,breast cancer,132,145,"Patients participating in a randomised trial of anastrozole, tamoxifen alone or combined (ATAC) (n=94) and a group of women without breast cancer (n=35) completed a battery of neuropsychological measures.",14745746_3,1
788,anastrozole,48,59,"Patients participating in a randomised trial of anastrozole, tamoxifen alone or combined (ATAC) (n=94) and a group of women without breast cancer (n=35) completed a battery of neuropsychological measures.",14745746_3,0
3856,breast cancer,135,148,The results showed specific impairments in processing speed and verbal memory in women receiving hormonal therapy for the treatment of breast cancer.,14745746_6,1
3857,nocturnal leg cramps,75,95,"Although the United States Food and Drug Administration banned its use for nocturnal leg cramps due to lack of safety and efficacy, quinine is widely available in beverages including tonic water and bitter lemon.",14765563_1,1
789,transcriptional,37,52,"Doxorubicin depletes cardiac p300, a transcriptional coactivator that is required for the maintenance of the differentiated phenotype of cardiac myocytes.",14975762_2,0
3858,left ventricular,103,119,"Compared with wild-type mice, transgenic mice exhibited higher survival rate as well as more preserved left ventricular function and cardiac expression of alpha-sarcomeric actin.",14975762_5,1
791,bcl-2,111,116,"Expression of p300 increased the cardiac level of bcl-2 and mdm-2, but not that of p53 or other members of the bcl-2 family.",14975762_7,0
790,bcl-2,50,55,"Expression of p300 increased the cardiac level of bcl-2 and mdm-2, but not that of p53 or other members of the bcl-2 family.",14975762_7,0
792,propafenone,57,68,Transient platypnea-orthodeoxia-like syndrome induced by propafenone overdose in a young woman with Ebstein's anomaly.,14976857_0,0
3859,Ebstein's anomaly,100,117,Transient platypnea-orthodeoxia-like syndrome induced by propafenone overdose in a young woman with Ebstein's anomaly.,14976857_0,1
3861,platypnea-orthodeoxia,126,147,"In this report we describe the case of a 37-year-old white woman with Ebstein's anomaly, who developed a rare syndrome called platypnea-orthodeoxia, characterized by massive right-to-left interatrial shunting with transient profound hypoxia and cyanosis.",14976857_1,1
3860,Ebstein's anomaly,70,87,"In this report we describe the case of a 37-year-old white woman with Ebstein's anomaly, who developed a rare syndrome called platypnea-orthodeoxia, characterized by massive right-to-left interatrial shunting with transient profound hypoxia and cyanosis.",14976857_1,1
3862,interatrial,188,199,"In this report we describe the case of a 37-year-old white woman with Ebstein's anomaly, who developed a rare syndrome called platypnea-orthodeoxia, characterized by massive right-to-left interatrial shunting with transient profound hypoxia and cyanosis.",14976857_1,1
793,propafenone,146,157,"This shunt of blood via a patent foramen ovale occurred in the presence of a normal pulmonary artery pressure, and was probably precipitated by a propafenone overdose.",14976857_2,0
3863,right atrial,46,58,These effects gave rise to an increase in the right atrial pressure and a decrease in the left one with a consequent stretching of the foramen ovale and the creation of massive right-to-left shunting.,14976857_4,1
3864,interatrial,17,28,In our case this interatrial shunt was very accurately detected at bubble contrast echocardiography.,14976857_5,1
795,antithyroid agent,58,75,Methimazole is a widely used and generally well-tolerated antithyroid agent.,14982270_1,0
794,Methimazole,0,11,Methimazole is a widely used and generally well-tolerated antithyroid agent.,14982270_1,0
797,propranolol,104,115,A 43-year-old woman had severe jaundice and itching 1 month after receiving methimazole (10 mg tid) and propranolol (20 mg tid) for treatment of hyperthyroidism.,14982270_2,0
796,methimazole,76,87,A 43-year-old woman had severe jaundice and itching 1 month after receiving methimazole (10 mg tid) and propranolol (20 mg tid) for treatment of hyperthyroidism.,14982270_2,0
798,propranolol,51,62,"Methimazole-induced cholestasis was diagnosed, and propranolol therapy was resumed.",14982270_5,0
799,methimazole,112,123,"Over the following 9 days, the symptoms improved and plasma bilirubin levels were normal after 12 weeks without methimazole.",14982270_6,0
800,methimazole,110,121,"Physicians and patients should be aware of this adverse effect so that, upon occurrence, they can discontinue methimazole therapy and avoid unnecessary invasive procedures.",14982270_8,0
3865,cluster headache,179,195,Noxious chemical stimulation of rat facial mucosa increases intracranial blood flow through a trigemino-parasympathetic reflex--an experimental model for vascular dysfunctions in cluster headache.,15009014_0,1
3868,intracranial vascular,89,110,Cluster headache is characterized by typical autonomic dysfunctions including facial and intracranial vascular disturbances.,15009014_1,1
3867,autonomic dysfunctions,45,67,Cluster headache is characterized by typical autonomic dysfunctions including facial and intracranial vascular disturbances.,15009014_1,1
3866,Cluster headache,0,16,Cluster headache is characterized by typical autonomic dysfunctions including facial and intracranial vascular disturbances.,15009014_1,1
3869,cluster headache,58,74,Similar mechanisms may be involved in the pathogenesis of cluster headache.,15009014_10,1
801,hexamethonium chloride,63,85,These responses were blocked by systemic pre-administration of hexamethonium chloride (20 mg/kg).,15009014_6,0
803,vasoactive,159,169,"The evoked increases in dural blood flow were also abolished by topical pre-administration of atropine (1 mm) and [Lys1, Pro2,5, Arg3,4, Tyr6]-VIP (0.1 mm), a vasoactive intestinal polypeptide (VIP) antagonist, onto the exposed dura mater.",15009014_7,0
802,(1,103,105,"The evoked increases in dural blood flow were also abolished by topical pre-administration of atropine (1 mm) and [Lys1, Pro2,5, Arg3,4, Tyr6]-VIP (0.1 mm), a vasoactive intestinal polypeptide (VIP) antagonist, onto the exposed dura mater.",15009014_7,0
804,organophosphorus,5,21,"Such organophosphorus (OP) compounds as diisopropylfluorophosphate (DFP), sarin and soman are potent inhibitors of acetylcholinesterases (AChEs) and butyrylcholinesterases (BChEs).",15036754_1,0
805,diisopropylfluorophosphate,40,66,"Such organophosphorus (OP) compounds as diisopropylfluorophosphate (DFP), sarin and soman are potent inhibitors of acetylcholinesterases (AChEs) and butyrylcholinesterases (BChEs).",15036754_1,0
806,DFP,68,71,"Such organophosphorus (OP) compounds as diisopropylfluorophosphate (DFP), sarin and soman are potent inhibitors of acetylcholinesterases (AChEs) and butyrylcholinesterases (BChEs).",15036754_1,0
817,DFP,155,158,"In conclusion, CPA, diazepam and 2PAM in combination with atropine prevented the occurrence of serious signs of poisoning and thus reduced the toxicity of DFP in rat.",15036754_10,0
3870,central nervous system,88,110,"The acute toxicity of OPs is the result of their irreversible binding with AChEs in the central nervous system (CNS), which elevates acetylcholine (ACh) levels.",15036754_2,1
807,DFP,93,96,The protective action of subcutaneously (SC) administered antidotes or their combinations in DFP (2.0 mg/kg BW) intoxication was studied in 9-10-weeks-old Han-Wistar male rats.,15036754_3,0
808,receptor agonist,137,153,"The rats received AChE reactivator pralidoxime-2-chloride (2PAM) (30.0 mg/kg BW), anticonvulsant diazepam (2.0 mg/kg BW), A(1)-adenosine receptor agonist N(6)-cyclopentyl adenosine (CPA) (2.0 mg/kg BW), NMDA-receptor antagonist dizocilpine maleate (+-MK801 hydrogen maleate) (2.0 mg/kg BW) or their combinations with cholinolytic drug atropine sulfate (50.0 mg/kg BW) immediately or 30 min after the single SC injection of DFP.",15036754_4,0
810,cholinolytic,317,329,"The rats received AChE reactivator pralidoxime-2-chloride (2PAM) (30.0 mg/kg BW), anticonvulsant diazepam (2.0 mg/kg BW), A(1)-adenosine receptor agonist N(6)-cyclopentyl adenosine (CPA) (2.0 mg/kg BW), NMDA-receptor antagonist dizocilpine maleate (+-MK801 hydrogen maleate) (2.0 mg/kg BW) or their combinations with cholinolytic drug atropine sulfate (50.0 mg/kg BW) immediately or 30 min after the single SC injection of DFP.",15036754_4,0
811,atropine sulfate,335,351,"The rats received AChE reactivator pralidoxime-2-chloride (2PAM) (30.0 mg/kg BW), anticonvulsant diazepam (2.0 mg/kg BW), A(1)-adenosine receptor agonist N(6)-cyclopentyl adenosine (CPA) (2.0 mg/kg BW), NMDA-receptor antagonist dizocilpine maleate (+-MK801 hydrogen maleate) (2.0 mg/kg BW) or their combinations with cholinolytic drug atropine sulfate (50.0 mg/kg BW) immediately or 30 min after the single SC injection of DFP.",15036754_4,0
812,DFP,423,426,"The rats received AChE reactivator pralidoxime-2-chloride (2PAM) (30.0 mg/kg BW), anticonvulsant diazepam (2.0 mg/kg BW), A(1)-adenosine receptor agonist N(6)-cyclopentyl adenosine (CPA) (2.0 mg/kg BW), NMDA-receptor antagonist dizocilpine maleate (+-MK801 hydrogen maleate) (2.0 mg/kg BW) or their combinations with cholinolytic drug atropine sulfate (50.0 mg/kg BW) immediately or 30 min after the single SC injection of DFP.",15036754_4,0
809,hydrogen maleate,257,273,"The rats received AChE reactivator pralidoxime-2-chloride (2PAM) (30.0 mg/kg BW), anticonvulsant diazepam (2.0 mg/kg BW), A(1)-adenosine receptor agonist N(6)-cyclopentyl adenosine (CPA) (2.0 mg/kg BW), NMDA-receptor antagonist dizocilpine maleate (+-MK801 hydrogen maleate) (2.0 mg/kg BW) or their combinations with cholinolytic drug atropine sulfate (50.0 mg/kg BW) immediately or 30 min after the single SC injection of DFP.",15036754_4,0
814,DFP,105,108,"The control rats received atropine sulfate, but also saline and olive oil instead of other antidotes and DFP, respectively.",15036754_5,0
813,atropine sulfate,26,42,"The control rats received atropine sulfate, but also saline and olive oil instead of other antidotes and DFP, respectively.",15036754_5,0
815,DFP,58,61,All rats were terminated either 24 h or 3 weeks after the DFP injection.,15036754_6,0
816,DFP,63,66,Atropine-MK801 did not offer any additional protection against DFP toxicity.,15036754_9,0
3871,Atrial fibrillation,0,19,"Atrial fibrillation following chemotherapy for stage IIIE diffuse large B-cell gastric lymphoma in a patient with myotonic dystrophy (Steinert's disease).The authors describe the unusual association between diffuse B-cell gastric lymphoma and myotonic dystrophy, the most common form of adult muscular dystrophy, and sudden atrial fibrillation following one cycle of doxorubicin-based chemotherapy in the same patient.",15042318_0,1
3872,myotonic dystrophy,114,132,"Atrial fibrillation following chemotherapy for stage IIIE diffuse large B-cell gastric lymphoma in a patient with myotonic dystrophy (Steinert's disease).The authors describe the unusual association between diffuse B-cell gastric lymphoma and myotonic dystrophy, the most common form of adult muscular dystrophy, and sudden atrial fibrillation following one cycle of doxorubicin-based chemotherapy in the same patient.",15042318_0,1
3874,myotonic dystrophy,243,261,"Atrial fibrillation following chemotherapy for stage IIIE diffuse large B-cell gastric lymphoma in a patient with myotonic dystrophy (Steinert's disease).The authors describe the unusual association between diffuse B-cell gastric lymphoma and myotonic dystrophy, the most common form of adult muscular dystrophy, and sudden atrial fibrillation following one cycle of doxorubicin-based chemotherapy in the same patient.",15042318_0,1
