,text,pmid,entities,start_chars,end_chars,label
2720,"However, MVA/5.2 kb infection did not alter APC maturation or IL-6 and IL-8 production in vitro.",29341877_9,IL-8,71,75,0
2721,"However, NK lymphocytes from EOC-associated ascites showed higher (p < 0.05) pS6 phosphorylation compared with NK from blood.",34359872_5,"NK,NK","9,111","11,113","1,1"
2722,"However, RA did not alleviate α-GalCer-induced liver injury, even though it reduced IFN-γ and IL-4 but not TNF-α levels in serum.",22585464_5,"IL-4,IFN-γ,TNF-α","94,84,107","98,89,112","0,0,0"
2723,"However, ROG-deficient Th cells are capable of differentiating into Th1 and Th2 cells, and ROG-deficient mice have no defect in mounting appropriate Th immune responses in vivo.",15632058_5,"Th1,Th2 cells","68,76","71,85","2,2"
2724,"However, SMAD2 phosphorylation was observed after activation in the Treg but not in the Th clones, indicating that only activated Treg clones produced the bioactive form of TGF-beta.",19224638_6,"SMAD2,Treg,TGF-beta","9,68,173","14,72,181","1,2,0"
2725,"However, STAT1 signaling was functional and required for IFN-gamma induction of A3G in these cells.",16982890_8,"STAT1,IFN-gamma","9,57","14,66","1,0"
2726,"However, STAT3-deficient TFH cells have much the same phenotypic and functional characteristics as TFH cells from healthy control subjects.",23403044_6,"TFH cells,TFH cells","99,25","108,34","2,2"
2727,"However, T cells obtained from HPV-positive OPSCC produced significantly more IL-17 than those from HPV-negative tumors (p = 0.006).",26899388_9,"IL-17,T cells","78,9","83,16","0,2"
2728,"However, TGF-beta cooperates with IL-6 in the generation of Th17 cells, a novel class of effector cells involved in numerous inflammatory diseases, including colitis.",17918200_2,"Th17 cells,TGF-beta","60,9","70,17","2,0"
2729,"However, TGF-β also has tumor-suppressive activity; thus, dissecting cell type-specific molecular effects may inform therapeutic strategies targeting this cytokine.",31530731_2,"TGF-β,cytokine","9,155","14,163","0,0"
2730,"However, TWEAK enhanced CCL20 expression from IL-1β-stimulated HGFs in a dose-dependent manner.",22425737_4,CCL20,24,29,0
2731,"However, Tbx21(-/-) mice produced greater numbers of Foxp3(+) CD25(+) regulatory CD4(+) T cells, which may contribute to the early contraction of T cells.",25047384_5,T cells,146,153,2
2732,"However, Th17 cells with specificity for self-antigens are highly pathogenic and lead to the development of inflammation and severe autoimmunity.",17766098_2,"Th17 cells,specificity","9,25","19,36","2,1"
2733,"However, Treg cell development and action are poorly understood in transplantation.",18503884_1,Treg cell,9,18,2
2734,"However, Treg cells both from WASp-deficient mice and from four out of five WAS patients studied showed impaired in vitro suppressor function.",17512803_4,Treg cells,9,19,2
2735,"However, Treg cells require TGF-β signals to appropriately dampen Th17 cells and regulate responses in the gastrointestinal tract.",28423340_3,"Treg cells,TGF-β,Th17 cells","9,28,66","19,33,76","2,0,2"
2736,"However, Treg may, indirectly, support cancer progression and bacterial infections.",27512981_1,Treg,9,13,2
2737,"However, Tregs-mediated effects were largely reversed by disrupting cell-cell contact or using neutralizing antibodies against interleukin-10 and transforming growth factor-β.",25024283_7,interleukin-10,127,141,0
2738,"However, a number of T cell effector genes such as IL-2 and IL-9 were up-regulated upon stimulation.",15376191_4,"IL-2,IL-9","51,60","55,64","0,0"
2739,"However, a number of recent studies provided strong evidence that T helper cells that produce IL-17 play a dominant role in the pathogenesis of EAE.",19539560_1,IL-17,94,99,0
2740,"However, a robust Th17 response developed concomitant with Th1 responses.",19414771_3,"Th17,Th1","18,59","22,62","2,2"
2741,"However, accumulated evidence highlights the functional plasticity of DC, which are shown to also be able to display a tolerogenic function eliciting the differentiation of T suppressor (Ts) and regulatory (Treg) cells.",19275918_2,T suppressor,173,185,0
2742,"However, accumulating evidence in mice and humans suggests that, like the B and T cells of the adaptive immune system, NK cells are educated during development, possess antigen-specific receptors, undergo clonal expansion during infection and generate long-lived memory cells.",21869816_2,T cells,80,87,2
2743,"However, accumulating evidence shows that T1 and T2 responses during such infections are not mutually exclusive.",15231067_2,"T1,T2","42,49","44,51","1,1"
2744,"However, activating transcription factor-2 (ATF2) expression was significantly lower in CD8(+) compared with CD4(+) cells (P = .009).",17525285_6,ATF2,44,48,1
2745,"However, activation of STAT6, CD23 expression, and IgE synthesis induced by IL-4 were not affected in p47phox-deficient patients, which raises the possibility that p47phox may be important in other signaling activities as well in B cells.",10369419_7,"STAT6,IL-4","23,76","28,80","1,0"
2746,"However, addition of Stat4 deficiency abolished colitis induced by Stat6/T-bet double-knockout cells, despite Th1 and Th17 responses.",21525389_5,"Th17,Th1","118,110","122,113","2,2"
2747,"However, after antigen-specific stimulation in vitro, these cells showed strong proliferation and expansion and gained potent suppressive properties.",22272233_7,suppressive,126,137,0
2748,"However, alpha7(-/-)-derived T cells were unaffected by nicotine.",19846875_8,T cells,29,36,2
2749,"However, an altered cytokine secretion profile, characterized by lower IL10 and higher IL12 and TNFα levels, was observed in silenced DC with respect to control cells upon TLR triggering.",24674241_3,"IL10,IL12,TNFα","71,87,96","75,91,100","0,0,0"
2750,"However, an altered peptide ligand (APL) of human CII (256-276) with two substitutions (F263N, E266D), also called A12, elicited only Th2 cytokine responses from Sykfl/fl T cells but not Sykfl/fl-CD4cre T cells.",29673901_2,"T cells,Th2","203,134","210,137","2,2"
2751,"However, anti- IL-9 treatment also down regulated frequency of Th17 cells, and its transcription factors pSTAT3, RORγT along with depleted Il-1β and Il-6 expression. In sum, understanding how IL-9 producing CD4+ T-cells can alter Th17/Treg ratio and by that modulate host's immune response, could pave the way for developing immunomodulatory interventions against cerebral malaria.",36395532_6,"IL-9,Th17 cells,transcription factors,IL-9","15,63,83,192","19,73,104,196","0,2,1,0"
2752,"However, anti-IL-12/23 p40 antibody, which blocks Th1 and Th17 cell induction and maintenance, has shown efficacy in treating UC, suggesting that UC might not be a prototypical Th2 and Th17 cell-mediated autoimmune disease.",33040251_1,"Th17,Th2,Th17,Th1","185,177,58,50","189,180,62,53","2,2,2,2"
2753,"However, as a positive control, the treatment of allergic rhinitis with dexamethasone was not related to the expression of Notch1/Jagged1 or the differentiation of Treg cells.",31030096_6,Treg cells,164,174,2
2754,"However, at the chronic phase of the disease, an enhancement of cellular and humoral responses occurs in JES6-1-treated mice, with increased production of TNF-α and parasite-specific IgG2a antibodies.",22272258_6,TNF-α,155,160,0
2755,"However, because IL-23R-expressing mature Th17 cells are rare and poorly defined in mice at steady-state, little is known about IL-23 signaling.",24489094_1,"Th17 cells,IL-23","42,128","52,133","2,0"
2756,"However, c-Myb roles for Th2 cytokine expression were not demonstrated.",22039304_2,"c-Myb,Th2","9,25","14,28","1,2"
2757,"However, cell survival involving Bcl-X(L) induction was found to be regulated essentially by ERK with no significant role of NF-kappaB. Porin-induced proliferation was supported by induction of IL-2 and CD25 that are known to play a pivotal role in T cell expansion.",19576636_4,"T cell,IL-2","249,194","255,198","2,0"
2758,"However, controversy about the immunoregulatory role of Treg cells exists in malaria studies.",21916916_1,Treg cells,56,66,2
2759,"However, deficiency of IFN-γ, a signature Th1 cytokine, aggravated EAN, with features of elevated production of IL-17A, despite an alleviated systemic Th1 immune response.",24910360_1,"IFN-γ,Th1,cytokine,IL-17A,Th1","23,42,46,112,151","28,45,54,118,154","0,2,0,0,2"
2760,"However, downstream effector mechanisms of these transcription factors are not fully understood yet.",26507712_1,transcription factors,49,70,1
2761,"However, evidence also suggests that Th type 2 cells (Th2) and cytokines play roles in the development of CHS in humans.",22112437_1,Th2,54,57,2
2762,"However, examination of cells following infection demonstrated that these cells acquired cytotoxic potential in vivo, even in the absence of IFN-gamma.",20624947_6,"cytotoxic,IFN-gamma","89,141","98,150","2,0"
2763,"However, gamma(c) cytokines can replace requirements for IL-2 in regulatory T cells, although not with the same efficacy.",18442895_6,"IL-2,regulatory T cells","57,65","61,83","0,2"
2764,"However, here we demonstrate that, contrary to expectations, Bcl10 is differentially required for T cell activation, including for both proliferation and cytokine production.",18583339_1,"cytokine,T cell","154,98","162,104","0,2"
2765,"However, how Rorg is switched on during Th17 differentiation is unknown.",22006976_1,Th17,40,44,2
2766,"However, how anti-inflammatory cytokines mediate their suppressive activities is not well understood.",22761423_1,suppressive,55,66,0
2767,"However, how different effector T-cell subets contribute to the severe autoimmunity observed in the absence of Treg cells remains controversial.",22740092_1,Treg cells,111,121,2
2768,"However, how myeloid cell-intrinsic IRF5 regulates the multiple distinct checkpoints mediating T cell outcomes in vivo and IRF5-dependent mechanisms contributing to these distinct checkpoints are not well defined.",32690658_1,T cell,95,101,2
2769,"However, if the transferred T cells lack intact Stat6 then helminth exposure failed to attenuate colitis or suppress MLN T cell IFN-γ or IL17 production.",33067820_5,"Stat6,T cell,IFN-γ","48,121,128","53,127,133","1,2,0"
2770,"However, immunization with soluble egg Ag in CFA markedly exacerbates the lesions by inducing a potent proinflammatory environment with high levels of IFN-gamma and IL-17, which are signature cytokines of distinct Th1- versus Th17-cell lineages.",19714576_1,"soluble,IFN-gamma,IL-17","27,151,165","34,160,170","0,0,0"
2771,"However, in a given restimulation, not all Th cells with a memory for IL-4 expression express IL-4.",25037220_1,"IL-4,IL-4","70,94","74,98","0,0"
2772,"However, in contrast to Th17, ILC3 activation requires mROS production; rather than inducing an alternative regulatory fate as it does in CD4 T cells, mROS stabilizes HIF1α and RORγt in ILC3s and thereby promotes their activation.",31296736_5,Th17,24,28,2
2773,"However, in contrast with SeV and poly I:C, rintatolimod did not activate the MAVS/helicase pathway, thus avoiding NFκB- and TNFα-dependent induction of COX2, COX2/PGE2-dependent induction of IDO, IL10, CCL22, and CXCL12, and eliminating Treg attraction.",29853604_3,"CXCL12,CCL22,IL10","214,203,197","220,208,201","0,0,0"
2774,"However, in many chronically inflamed tissues, the T cells that interact with B cells show substantial differences from Tfh cells in their surface phenotypes, migratory capacity, and transcriptional regulation.",30190721_3,"T cells,Tfh cells","51,120","58,129","2,2"
2775,"However, in the absence of perforin, the Fas/FasL pathway provides an alternative mechanism dependent on islet cell Fas upregulation by cytokines IFNgamma and TNFalpha.",16574667_10,TNFalpha,159,167,0
2776,"However, in the case of STAT1 KO mice, LCMV infection was lethal and accompanied by severe multiorgan immune pathology, elevated expression of various cytokine genes in tissues, and cytokines in the serum.",22496215_4,STAT1,24,29,1
2777,"However, in the presence of adaptive immunity, the disease progressed into a second phase with continued cytokine and chemokine production, persistent leukocyte extravasation into infected tissues and ultimately, host death.",32310998_7,cytokine,105,113,0
2778,"However, induction of Foxp3 expression by TGF-beta in naive T cells was significantly reduced in the absence of this molecule.",19887374_5,TGF-beta,42,50,0
2779,"However, inhibiting p38 MAPK or NF-κB suppressed the secretion of IL-12, IFN-γ, IL-6 and TNF-α by DCs.",25492061_9,"IL-12,IFN-γ,TNF-α","66,73,89","71,78,94","0,0,0"
2780,"However, inhibition of STAT phosphorylation was ablated following stimulation with JAK1-dependent cytokines IL-2, IFN-α, and IL-21.",31748225_9,"STAT,IFN-α","23,114","27,119","1,0"
2781,"However, intracellular signaling by suppressor of cytokine signaling (SOCS) 1 and SOCS3 and the proteins signal transducer and activator of transcription (STAT) 3 and STAT5 that orchestrate these imbalances are currently poorly understood.",32943702_1,"signal transducer,STAT5","105,167","122,172","1,1"
2782,"However, it appeared that the hepatocyte-derived IRF-1 was mainly responsible for alpha-GalCer-induced liver injury, based on the observation that inhibition of IRF-1 by RNA interference did not affect alpha-GalCer-induced NKT cell activation.",20624945_11,"IRF-1,IRF-1,NKT","49,161,223","54,166,226","1,1,2"
2783,"However, it has been shown that ICOS is required for the differentiation of Th17 cells.",19291374_1,Th17 cells,76,86,2
2784,"However, it has not yet been elucidated which transcription factor is involved in TGF-β1 transcription.",23904169_1,transcription factor,46,66,1
2785,"However, it is complicated, and fine-tuning of IFN-gamma and IL-10 secretion by these cells is needed for disease management, as inhibition of these cells will also lead to overimmune responses.",19741156_6,"IFN-gamma,IL-10","47,61","56,66","0,0"
2786,"However, it is not clear when TCF-1 is required in vivo to restrain the magnitude of peripheral Th17 responses and what the molecular mechanisms responsible for TCF-1-regulated IL-17 gene expression are.",29632143_1,"TCF-1,Th17,IL-17","30,96,177","35,100,182","1,2,0"
2787,"However, it is not clear whether T cells with suppressive properties reside within the HIV-1-specific T-cell population.",19384871_1,"T cells,suppressive","33,46","40,57","2,0"
2788,"However, it is not known how Treg cells and IL-10 expressions are regulated during EAE.",17339439_2,"Treg cells,IL-10","29,44","39,49","2,0"
2789,"However, it is not required for the development of conventional T-cells.",15607792_1,T-cells,64,71,2
2790,"However, it is unclear whether CFA/I fimbriae alone are protective and whether other regulatory cytokines are involved, especially in the context for the EBI3-sharing cytokines, Treg-derived IL-35 and APC-derived IL-27, both capable of suppressing Th17 cells and regulating autoimmune diseases.",24337375_1,"IL-27,Th17 cells","213,248","218,258","0,2"
2791,"However, it is unclear whether inducible Treg (iTreg) cells can hamper immune responses via the same mechanism.",24338929_1,Treg,41,45,2
2792,"However, it is unknown how Gata3 simultaneously activates Th2-specific genes while repressing those of other Th lineages.",23471993_1,Gata3,27,32,1
2793,"However, it is unknown whether aging inhibits normal c-rel activation, thereby decreasing production of IL-2.",24853588_3,IL-2,104,108,0
2794,"However, it remains unclear how β-catenin signaling regulates the tumor immune microenvironment in the stomach.",32156780_2,β-catenin,32,41,1
2795,"However, its function in T-cells is poorly understood.",19744714_1,T-cells,25,32,2
2796,"However, knowledge on the plasticity of Th2 cell lineage commitment is limited.",20079668_1,Th2,40,43,2
2797,"However, less information is available regarding these cells in human autoimmune thyroid diseases (AITD).OBJECTIVE: The objective of the study was to analyze different regulatory T cell subsets in patients with AITD.DESIGN: We studied by flow cytometry and immunohistochemistry different T regulatory cell subsets in peripheral blood mononuclear cells (PBMCs) and thyroid cell infiltrates from 20 patients with AITD.",16804051_1,regulatory T cell,168,185,2
2798,"However, little information is available on the molecular mechanisms of IL-10 gene regulation at the transcriptional level.",21440248_4,"IL-10,transcriptional","72,101","77,116","0,1"
2799,"However, marker expression was almost comparable between UCI and CDI, with the largest difference in UCI-predominant interleukin (IL) 21 and IL-13 with area under the receiver operating characteristic curve (AUC) values of 0.704 and 0.664, respectively.",24739631_4,IL-13,141,146,0
2800,"However, mechanisms of hMSC and Th17 cell interactions are incompletely resolved.",26321145_2,Th17,32,36,2
2801,"However, molecular mechanisms that control IFN-γ production in iNKT cells are not fully understood.",27226296_2,"IFN-γ,iNKT cells","43,63","48,73","0,2"
2802,"However, most studies attributed this T cell phenotype in Irf5 knockout mice to dysregulation of antigen presenting cell function rather than an intrinsic role for IRF5 in T cells.",32582209_8,"T cell,T cells","38,172","44,179","2,2"
2803,"However, neither eosinophilia, AHR nor mucus hypersecretion was induced in Th2 cell-transferred STAT6-/- mice.",15351784_1,"AHR,Th2","31,75","34,78","1,2"
2804,"However, neither pharmacologic nor genetic perturbation of Wnt production affected the IL-4 response, suggesting that IL-4 production by NKT cells in response to α-GalCer is not driven by released Wnt ligands.",29616022_10,"NKT cells,IL-4,IL-4","137,118,87","146,122,91","2,0,0"
2805,"However, newer studies with cardiomyocyte-specific deletion of STAT3 indicate that STAT3 does not cause cardiac hypertrophy with increased blood pressure.",30619368_3,"STAT3,STAT3","83,63","88,68","1,1"
2806,"However, not all Th17 cells are pathogenic and increasing data suggest that Th17 cells may come in different flavors.",21899997_1,"Th17 cells,Th17 cells","17,76","27,86","2,2"
2807,"However, once latency was established, IFNα but no other IFNs were able to efficiently reverse latency in both an in vitro model of latency and CD4+ T cells collected from PLWH on suppressive ART.",32109259_6,"IFNα,IFNs,suppressive","39,57,180","43,61,191","0,0,0"
2808,"However, other studies have shown that IFN-β inhibits the differentiation and function of TH17 cells.",34440908_3,"IFN-β,TH17 cells","39,90","44,100","0,2"
2809,"However, phenotype and restricted gene expression are determined not only by the action of transcription factors; chromatin accessibility is required for these factors to exert their effect.",21977994_3,transcription factors,91,112,1
2810,"However, protein analyses for the master transcription factor Foxp3 and other regulatory T cells revealed that granulocyte colony stimulating factor did not directly induce a regulatory T cell phenotype.",23432597_7,"regulatory T cell,regulatory T cells","175,78","192,96","2,2"
2811,"However, proteins such as nuclear factor kappa B and transforming growth factor beta are increasingly recognised to have important roles in sinonasal inflammation and tissue remodelling.",26073199_3,"nuclear factor kappa B,transforming growth factor beta","26,53","48,84","1,0"
2812,"However, recent evidence indicates that the AhR also plays an important role in immunity.",26555456_1,AhR,44,47,1
2813,"However, recent observations reveal the susceptibility of differentiated Th17 cells to Th1 polarization and the enhancement of Th17 memory cells by the Th1 factors interferon-gamma and T-bet.",19922424_4,"Th1,Th17,interferon-gamma,Th17 cells,Th1","152,127,164,73,87","155,131,180,83,90","2,2,0,2,2"
2814,"However, recent studies assessing the expression of gene modules in single CD4 T cells, rather than expression of one or a few signature genes, have provided a more complex picture in which the canonical model does not fit as cleanly as proposed.",30904130_2,T cells,79,86,2
2815,"However, recent studies demonstrate that distinct subsets of tissue DCs actively polarize Th2 cells after stimulation with type-2 inducing stimuli.",25290173_2,Th2 cells,90,99,2
2816,"However, recent studies with human cells have shown the presence of different subpopulations of T cells within the CD4(+)CD25(+)Foxp3(+) T cell phenotype, some of which do not have regulatory functions.",21402773_2,T cells,96,103,2
2817,"However, refractory cell-co-cultured T cells fail to up-regulate cyclins and c-myc and incompletely down-regulate p27kip1 in response to IL-2, and the downstream consequences of this signaling are therefore dissociated.",16702166_8,"IL-2,c-myc,cyclins,T cells","137,77,65,37","141,82,72,44","0,1,1,2"
2818,"However, regulatory T cells also help limit collateral tissue damage caused by vigorous antimicrobial immune responses against pathogenic microbes as well as commensals.",19302048_3,regulatory T cells,9,27,2
2819,"However, repeated injections of α-GalCer result in long-term unresponsiveness or anergy of iNKT cells, severely limiting its efficacy in tumor eradication.",24532578_2,iNKT cells,91,101,2
2820,"However, retroviral transduction of GATA-3 into developing T cells induced IL-5 to full Th2 levels, but only partially restored IL-4 production.",9780146_6,"GATA-3,T cells,IL-5,Th2,IL-4","36,59,75,88,128","42,66,79,91,132","1,2,0,2,0"
2821,"However, several studies indicate that the immunosuppressive properties of FTY720 may alternatively be due to tolerogenic activities via modulation of dendritic cell differentiation or based on direct effects on CD4(+)CD25(+) regulatory T cells (Treg).",17277153_1,"regulatory T cells,Treg","226,246","244,250","2,2"
2822,"However, stimulated CD25- Tfh cells could not upregulate Foxp3, indicating that the distinction between Foxp3-low CD25-CXCR5+CD4+ T cells and Foxp3-high CD25+CXCR5+CD4+ T cells was not due to differences in stimulation status.",32534760_6,Tfh cells,26,35,2
2823,"However, strict control of inflammation is mandatory, as IL-10-deficient mice succumb from an unrestrained cytokine storm within 10 days of a Trypanosome brucei infection.",32655552_4,cytokine,107,115,0
2824,"However, such data in patients with oral cancer is scarce and hence the current study was designed to elaborate the immunological balance between these two T cell subsets in oral cancer.",22956260_1,T cell,156,162,2
2825,"However, suppressive and effector functions are not entirely exclusive.",26190495_2,suppressive,9,20,0
2826,"However, sustained expression of Foxp3 is required for Treg function and what maintains Foxp3 expression in peripheral Treg remains obscure.",19291701_1,Treg,119,123,2
2827,"However, the 4-1BB-expanded Treg produce increased levels of interferon-gamma, whose significance is unknown.",17850588_4,"Treg,interferon-gamma","28,61","32,77","2,0"
2828,"However, the Card11-Bcl10-Malt1 (CBM) complex that is essential for TCR activation of NF-κB in peripheral T cells is not required for thymocyte development.",27432943_1,thymocyte,134,143,2
2829,"However, the GPI-induced MHC class I up-regulation was abrogated by SN50, a specific NF-KB inhibitor.",19201822_6,"MHC,NF-KB","25,85","28,90","1,1"
2830,"However, the antigen specificity and functional properties of these cells is poorly defined.",27298446_1,specificity,21,32,1
2831,"However, the characteristics of Treg s and the mechanisms of their regulatory functions in islet xenotransplantation have not been clearly defined.",31111577_2,Treg,32,36,2
2832,"However, the characterization of CD4+CD8+ T cells, their relationship with T memory (T(M)), T effector (T(E)), Th1/Th2, Treg and Th-17, remain unclear.",19616200_1,"Treg,Th-17","120,129","124,134","2,2"
2833,"However, the contribution of the FOXP3+ Treg subpopulations to the development of autoimmunity has not been delineated in detail.",30830965_3,Treg,40,44,2
2834,"However, the contributions of ILC2s in the occurrence and development of lung cancer, and the association between ILC2s and Th2 or MDSCs in lung cancer remain to be elucidated.",28487978_2,Th2,124,127,2
2835,"However, the current JAK inhibitors are not optimized to STAT3 compared with other STATs.",26562526_2,STAT3,57,62,1
2836,"However, the currently available data suggest that allergic asthma is a multifaceted disease that is actively controlled by T lymphocytes.",18802339_7,T lymphocytes,124,137,2
2837,"However, the dynamic changes and relative roles of these CD4(+) effector T-cell subsets, especially Th17 cells, have not been systemically examined in patients with acute rejection after cardiac transplantation.",21114533_1,Th17 cells,100,110,2
2838,"However, the ectopic expression of mouse SUMO-2 inhibited IL-12 secretion by blocking the translocation of the p65 subunit of NFκB into the nucleus, which led to the polarization of naïve CD4(+) T cells to T helper 2 (Th2) shift in vitro.",21632113_5,"p65 subunit,Th2,IL-12,translocation","111,218,58,90","122,221,63,103","1,2,0,1"
2839,"However, the effect of tumor necrosis factor-like weak inducer of apoptosis (TWEAK) on CCL20 production is unknown.",22425737_1,CCL20,87,92,0
2840,"However, the effectiveness of this therapy depends on the number of cells capable of responding to IL-2.",19203731_3,IL-2,99,103,0
2841,"However, the effects of IFNs on the establishment and reversal of HIV latency is not understood.",32109259_4,IFNs,24,28,0
2842,"However, the engagement of CD40 by its ligand, mainly expressed on a specific germinal center CD4(+) T cell subpopulation, counteracts TRAIL-induced apoptosis in FL B cells.",18606651_3,"CD40,ligand","27,39","31,45","0,0"
2843,"However, the exact mechanisms of how IL-27 enhances antitumor CD8(+) T-cell responses remain unclear.",23225163_2,IL-27,37,42,0
2844,"However, the expressions of IFN-γ and T-bet had no difference between the nicotine and the CIA group.",24755145_11,IFN-γ,28,33,0
2845,"However, the fundamental mechanism regulating Th17 cell differentiation is not fully understood.",25891969_1,"Th17,cell differentiation","46,51","50,71","2,0"
2846,"However, the impact of BPA on pSS has not yet been reported.",31876196_2,BPA,23,26,1
2847,"However, the impact of Gfi1-deficiency on the iNKT cell differentiation remains unclear.",27284976_1,"cell differentiation,iNKT","51,46","71,50","0,2"
2848,"However, the increase in CD4(+)Foxp3(+) T cells within the IL-4Ralpha(-/-) dermis implies a possible IL-10-independent role for Treg cells within the infection site, and may indicate a novel immune escape mechanism used by L. major parasites in the absence of IL-4/IL-13 signaling.",17675505_8,Treg cells,128,138,2
2849,"However, the interaction between IL-33 and Tregs in the HNSCC tumor microenvironment remains uncertain.",30357458_2,IL-33,33,38,0
2850,"However, the interplay between this pathogen and the adaptive immune system, including T-cells, is sparsely investigated.",22984628_1,T-cells,87,94,2
2851,"However, the key regulators and underlying mechanisms for IL-21-induced Th17 differentiation is still elusive.",31398665_3,Th17,72,76,2
2852,"However, the level of TGF-β was higher than that in control group in the chronic stage of EAE (P<0.05).",25270199_4,TGF-β,22,27,0
2853,"However, the level of secreted IL-10 had no change, and the level of IL-4 even experienced a significant increase.",15483743_6,"IL-10,IL-4","31,69","36,73","0,0"
2854,"However, the magnitude of Treg induction was diminished in subsequent treatment cycles.",28721449_6,Treg,26,30,2
2855,"However, the mechanism by which ATF3 induces IL-17A production remains unknown.",30214444_2,"ATF3,IL-17A","32,45","36,51","1,0"
2856,"However, the mechanism by which TH17 cells are regulated remains elusive.",26479789_1,TH17 cells,32,42,2
2857,"However, the mechanism by which interleukin-27 (IL-27) inhibits central nervous system (CNS) inflammation is not clear.",21294722_2,"interleukin-27,IL-27","32,48","46,53","0,0"
2858,"However, the mechanism by which self-reactive thymocytes are diverted into the Treg cell subset is unclear.",18199417_1,"thymocytes,Treg cell","46,79","56,88","2,2"
2859,"However, the mechanism driving IL-17 production is unclear.",29907868_2,IL-17,31,36,0
2860,"However, the molecular determinants that regulate the transcription of IL-10 and control the Breg developmental program remain unknown.",31722204_2,IL-10,71,76,0
2861,"However, the molecular mechanism underlying this differential T cell fate decision remains unclear.",19887374_2,T cell,62,68,2
2862,"However, the molecular mechanisms involved in the regulation of GATA-3 in human T lymphocytes are not yet understood.",17277157_1,"T lymphocytes,GATA-3","80,64","93,70","2,1"
2863,"However, the molecular mechanisms underlying Bcl6-directed regulation of TH2 cytokine genes remain unclear.",28096407_1,TH2,73,76,2
2864,"However, the murine/human STAT2 protein was insufficient to restore full IFN-alpha-driven Th1 development as defined by IFN-gamma expression.",15611252_7,"Th1,IFN-gamma","90,120","93,129","2,0"
2865,"However, the potential relationship and underlying mechanism of MUC16 and Treg in pancreatic cancer tissues remain unclear.",29337110_5,Treg,74,78,2
2866,"However, the precise composition of the immune cell microenvironment of MCL, its possible relationship to SOX11 expression, and how it may contribute to tumor behavior is not well known.",34189576_2,SOX11,106,111,1
2867,"However, the presence of Treg cells in the CNS under steady state has not been studied.",25329858_1,Treg cells,25,35,2
2868,"However, the previous studies of cytokine and immune regulation in APDs are quite inconsistent.",22268679_1,cytokine,33,41,0
2869,"However, the proinflammatory effects of IL-27 on human monocytes were rapidly abrogated by LPS via a p38-mediated mechanism that inhibited IL-27 signaling.",18424756_7,"IL-27,IL-27","40,139","45,144","0,0"
2870,"However, the recent identification of a third distinct subset of helper T cells - the Th17 lineage - collapses the established Th1/Th2 dichotomy and raises intriguing questions about T-cell fate.",19922424_1,"Th17,helper T cells,T-cell","86,65,183","90,79,189","2,2,2"
2871,"However, the receptors on immature T cells by which each of these PI3Ks are activated have not been identified, nor has the mechanism behind their functional redundancy in the thymus.",20038597_1,T cells,35,42,2
2872,"However, the regulation of AhR expression in activated T cells remains poorly characterized.",24549985_2,"AhR,T cells","27,55","30,62","1,2"
2873,"However, the regulatory mechanism of expansion of Foxp3(+) Treg cells by DCs has not been clarified.",17675476_2,Treg cells,59,69,2
2874,"However, the relationship between Th17 and Treg cells and their dynamic variations in psoriasis remain unclear.",20006553_1,"Th17,Treg cells","34,43","38,53","2,2"
2875,"However, the resulting Foxp3(-) cells are not polarized and do not express IL-17 or other Th17-associated genes.",20926793_3,IL-17,75,80,0
2876,"However, the role and mechanisms by which cytokines like IL-12 condition CD8 T cells for long-term responses remain relatively uncharacterized.",17114431_3,IL-12,57,62,0
2877,"However, the role of CD4+ CD25+ FoxP3+ T regulatory cells (Treg) in this process is unknown, as is whether such modulation extends to ocular allergy.",24086630_1,Treg,59,63,2
2878,"However, the role of IFNs in regulating A3G during innate immunity has not been established.",16982890_1,IFNs,21,25,0
2879,"However, the role of IL-10 in CIDP is unclear.",29367208_2,IL-10,21,26,0
2880,"However, the role of IL-35, a novel member of the IL-12 cytokine family, in this kind of disease has not yet been elucidated.",26225474_1,IL-12,50,55,0
2881,"However, the role of NF-κB signaling in the activation of human peripheral blood (PB) Treg has not been fully elucidated so far.",32386462_2,Treg,86,90,2
2882,"However, the role of STAT1 in regulating AAI or exacerbation by nanoparticles has not been explored.",25807359_3,STAT1,21,26,1
2883,"However, the role of STAT3 in humans has been controversial.",23923047_2,STAT3,21,26,1
2884,"However, the role of STAT3 in the memory CD8 T cell response during RSV infection remains to be elucidated.",31780735_3,STAT3,21,26,1
2885,"However, the role of TNF-α, the prototype of the TNF superfamily cytokines, in Th9 cell differentiation and their antitumor efficacy is not defined.",30717817_2,"TNF-α,cell differentiation","21,83","26,103","0,0"
2886,"However, the role of c-Rel in the differentiation of T(H)17 and regulatory CD4(+)Foxp3(+) T cells (Treg) remains obscure.",20049877_1,"c-Rel,Treg","21,99","26,103","1,2"
2887,"However, the role of regulatory T cells (Tregs) in CHS immunosuppression remains largely undefined.",24151582_1,regulatory T cells,21,39,2
2888,"However, the role of this cytokine in T cells in the pathogenesis of collagen-induced arthritis is unclear.",22192790_1,"T cells,cytokine","38,26","45,34","2,0"
2889,"However, the role of transcription factors regulating Th cell differentiation contributing to PE remain unclear.",28849203_1,transcription factors,21,42,1
2890,"However, the roles of Arid5a in Th17 cells and its association with autoimmunity remain unknown.",29244194_1,Th17 cells,32,42,2
