,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_cytokine_distsv,lf_transcription_factor_distsv,lf_t_lymphocyte_distsv,label
16431,active,5,6,28,34,"Stat3 was altered toward an active, phosphorylated state in the HLA-DR(-) population of CD14(+) cells and was more reactive to activating stimuli in patients.",20484028_6,-1,1,-1,1
16435,cells,17,18,96,101,"Stat3 was altered toward an active, phosphorylated state in the HLA-DR(-) population of CD14(+) cells and was more reactive to activating stimuli in patients.",20484028_6,-1,-1,2,2
16436,activating,23,24,127,137,"Stat3 was altered toward an active, phosphorylated state in the HLA-DR(-) population of CD14(+) cells and was more reactive to activating stimuli in patients.",20484028_6,-1,1,-1,1
16437,inhibition,2,3,13,23,"Importantly, inhibition of Stat3 abolished their suppressive activity almost completely.",20484028_7,-1,1,-1,1
16438,Stat3,4,5,27,32,"Importantly, inhibition of Stat3 abolished their suppressive activity almost completely.",20484028_7,-1,1,-1,1
16445,cells,20,21,118,123,The described MM-MDSC use arginase in conjunction with other yet undefined mechanisms to suppress CD4(+) and CD8(+) T cells.,20484028_8,-1,-1,2,2
16474,regulatory T cell,30,33,212,229,"Tumour immune tolerance involves the production of immunosuppressive molecules, such as interleukin (IL)-10, transforming growth factor (TGF)-beta and indoleamine-2,3-dioxygenase (IDO) by tumours, which induce a regulatory T cell (T(reg)) response.",20491794_3,-1,-1,2,2
16479,IL-10,14,15,78,83,"In this study, we investigated the effect of simvastatin on the production of IL-10, TGF-beta and IDO production and the proliferation of T(regs) using several cancer cell lines, and Lewis lung cancer (3LL) cells-inoculated mouse tumour model.",20491794_4,0,-1,-1,0
16484,lung,34,35,189,193,"In this study, we investigated the effect of simvastatin on the production of IL-10, TGF-beta and IDO production and the proliferation of T(regs) using several cancer cell lines, and Lewis lung cancer (3LL) cells-inoculated mouse tumour model.",20491794_4,-1,1,-1,1
16486,decrease,5,6,36,44,"Simvastatin treatment resulted in a decrease in the number of cancer cells (3LL, A549 and NCI-H292).",20491794_5,-1,1,-1,1
16488,cells,11,12,69,74,"Simvastatin treatment resulted in a decrease in the number of cancer cells (3LL, A549 and NCI-H292).",20491794_5,-1,-1,2,2
16491,IL-10,7,8,48,53,"The production of the immune regulatory markers IL-10, TGF-beta in 3LL and NCI-H292 cells increased after treatment with simvastatin.",20491794_6,0,-1,-1,0
16495,forkhead,5,6,26,34,The expression of IDO and forkhead box P3 (FoxP3) transcription factor was also increased in the presence of simvastatin.,20491794_7,-1,1,-1,1
16496,FoxP3,9,10,43,48,The expression of IDO and forkhead box P3 (FoxP3) transcription factor was also increased in the presence of simvastatin.,20491794_7,-1,1,-1,1
16497,transcription factor,11,13,50,70,The expression of IDO and forkhead box P3 (FoxP3) transcription factor was also increased in the presence of simvastatin.,20491794_7,-1,1,-1,1
16498,increased,15,16,80,89,The expression of IDO and forkhead box P3 (FoxP3) transcription factor was also increased in the presence of simvastatin.,20491794_7,0,-1,-1,0
16518,cells,22,23,132,137,We recently reported that human T-lymphotropic virus type 1 (HTLV-1) infection is accompanied by a high frequency of CD4(+)FoxP3(+) cells in the circulation.,20525891_0,-1,-1,2,2
16524,cell-mediated,26,27,182,195,"In asymptomatic carriers of HTLV-1 and in patients with HTLV-1-associated inflammatory and malignant diseases, a high FoxP3(+) cell frequency correlated with inefficient cytotoxic T cell-mediated killing of HTLV-1-infected cells.",20525891_1,-1,-1,2,2
16525,cells,30,31,223,228,"In asymptomatic carriers of HTLV-1 and in patients with HTLV-1-associated inflammatory and malignant diseases, a high FoxP3(+) cell frequency correlated with inefficient cytotoxic T cell-mediated killing of HTLV-1-infected cells.",20525891_1,-1,-1,2,2
16542,cells,33,34,206,211,"In this study, we report that the plasma concentration of the chemokine CCL22 is abnormally high in HTLV-1-infected subjects and that the concentration is strongly correlated with the frequency of FoxP3(+) cells, which express the CCL22 receptor CCR4.",20525891_4,-1,-1,2,2
16551,cells,31,32,178,183,"Further, we show that CCL22 is produced by cells that express the HTLV-1 transactivator protein Tax, and that the increased CCL22 enhances the migration and survival of FoxP3(+) cells in vitro.",20525891_5,-1,-1,2,2
16553,cells,7,8,31,36,"Finally, we show that FoxP3(+) cells inhibit the proliferation of ex vivo, autologous leukemic clones from patients with ATLL.",20525891_6,-1,-1,2,2
16560,cells,12,13,76,81,"We conclude that HTLV-1-induced CCL22 causes the high frequency of FoxP3(+) cells observed in HTLV-1 infection; these FoxP3(+) cells may both retard the progression of ATLL and HTLV-1-associated inflammatory diseases and contribute to the immune suppression seen in HTLV-1 infection, especially in ATLL.",20525891_7,-1,-1,2,2
16562,cells,21,22,127,132,"We conclude that HTLV-1-induced CCL22 causes the high frequency of FoxP3(+) cells observed in HTLV-1 infection; these FoxP3(+) cells may both retard the progression of ATLL and HTLV-1-associated inflammatory diseases and contribute to the immune suppression seen in HTLV-1 infection, especially in ATLL.",20525891_7,-1,-1,2,2
16571,early,18,19,121,126,We previously demonstrated that gammadelta T cells played an important role in tumor immune surveillance by providing an early source of IFN-gamma.,20525896_0,-1,1,-1,1
16572,IFN-gamma,21,22,137,146,We previously demonstrated that gammadelta T cells played an important role in tumor immune surveillance by providing an early source of IFN-gamma.,20525896_0,0,-1,-1,0
16575,cells,9,10,54,59,"The precise role of different subsets of gammadelta T cells in the antitumor immune response, however, is unknown.",20525896_1,-1,-1,2,2
16579,cells,15,16,101,106,Vgamma1 and Vgamma4 gammadelta T cells are the principal subsets of peripheral lymphoid gammadelta T cells and they might play distinct roles in tumor immunity.,20525896_2,-1,-1,2,2
16586,cells,22,23,118,123,"In support of this, we observed that reconstitution of TCRdelta(-/-) mice with Vgamma4, but not Vgamma1, gammadelta T cells restored the antitumor response.",20525896_3,-1,-1,2,2
16591,cells,20,21,108,113,We also found that these effects were exerted by the activated (CD44(high)) portion of Vgamma4 gammadelta T cells.,20525896_4,-1,-1,2,2
16599,IFN-gamma,11,12,74,83,"Indeed, CD44(high) Vgamma4 gammadelta T cells produced significantly more IFN-gamma and perforin on activation, and showed greater cytolytic activity than did CD44(high) Vgamma1 gammadelta T cells, apparently due to the high level of eomesodermin (Eomes) in these activated Vgamma4 gammadelta T cells.",20525896_6,0,-1,-1,0
16600,activation,15,16,100,110,"Indeed, CD44(high) Vgamma4 gammadelta T cells produced significantly more IFN-gamma and perforin on activation, and showed greater cytolytic activity than did CD44(high) Vgamma1 gammadelta T cells, apparently due to the high level of eomesodermin (Eomes) in these activated Vgamma4 gammadelta T cells.",20525896_6,-1,-1,2,2
16603,cells,29,30,191,196,"Indeed, CD44(high) Vgamma4 gammadelta T cells produced significantly more IFN-gamma and perforin on activation, and showed greater cytolytic activity than did CD44(high) Vgamma1 gammadelta T cells, apparently due to the high level of eomesodermin (Eomes) in these activated Vgamma4 gammadelta T cells.",20525896_6,-1,-1,2,2
16606,eomesodermin,38,39,234,246,"Indeed, CD44(high) Vgamma4 gammadelta T cells produced significantly more IFN-gamma and perforin on activation, and showed greater cytolytic activity than did CD44(high) Vgamma1 gammadelta T cells, apparently due to the high level of eomesodermin (Eomes) in these activated Vgamma4 gammadelta T cells.",20525896_6,-1,1,-1,1
16608,cells,48,49,295,300,"Indeed, CD44(high) Vgamma4 gammadelta T cells produced significantly more IFN-gamma and perforin on activation, and showed greater cytolytic activity than did CD44(high) Vgamma1 gammadelta T cells, apparently due to the high level of eomesodermin (Eomes) in these activated Vgamma4 gammadelta T cells.",20525896_6,-1,-1,2,2
16611,cells,10,11,78,83,"Consistently, transfection of dominant-negative Eomes in Vgamma4 gammadelta T cells diminished the level of IFN-gamma secretion, indicating a critical role of Eomes in the effector function of these gammadelta T cells.",20525896_7,-1,-1,2,2
16613,IFN-gamma,15,16,108,117,"Consistently, transfection of dominant-negative Eomes in Vgamma4 gammadelta T cells diminished the level of IFN-gamma secretion, indicating a critical role of Eomes in the effector function of these gammadelta T cells.",20525896_7,0,-1,-1,0
16616,cells,32,33,212,217,"Consistently, transfection of dominant-negative Eomes in Vgamma4 gammadelta T cells diminished the level of IFN-gamma secretion, indicating a critical role of Eomes in the effector function of these gammadelta T cells.",20525896_7,-1,-1,2,2
16618,functions,5,6,33,42,"Our results thus reveal distinct functions of Vgamma4 and Vgamma1 gammadelta T cells in antitumor immune response, and identify a protective role of activated Vgamma4 gammadelta T cells, with possible implications for tumor immune therapy.",20525896_8,0,-1,-1,0
16619,cells,12,13,79,84,"Our results thus reveal distinct functions of Vgamma4 and Vgamma1 gammadelta T cells in antitumor immune response, and identify a protective role of activated Vgamma4 gammadelta T cells, with possible implications for tumor immune therapy.",20525896_8,-1,-1,2,2
16623,cells,28,29,180,185,"Our results thus reveal distinct functions of Vgamma4 and Vgamma1 gammadelta T cells in antitumor immune response, and identify a protective role of activated Vgamma4 gammadelta T cells, with possible implications for tumor immune therapy.",20525896_8,-1,-1,2,2
16624,possible,31,32,192,200,"Our results thus reveal distinct functions of Vgamma4 and Vgamma1 gammadelta T cells in antitumor immune response, and identify a protective role of activated Vgamma4 gammadelta T cells, with possible implications for tumor immune therapy.",20525896_8,-1,1,-1,1
16627,immunological,5,6,41,54,"Heat-shock proteins have biochemical and immunological roles in chaperoning/signaling and activation of innate and adaptive immune responses, respectively.",20544406_0,0,-1,-1,0
16628,activation,10,11,90,100,"Heat-shock proteins have biochemical and immunological roles in chaperoning/signaling and activation of innate and adaptive immune responses, respectively.",20544406_0,-1,-1,2,2
16629,innate,12,13,104,110,"Heat-shock proteins have biochemical and immunological roles in chaperoning/signaling and activation of innate and adaptive immune responses, respectively.",20544406_0,0,-1,-1,0
16640,antigens,9,10,60,68,GP96 exerts adjuvant activity with some viral and bacterial antigens when applied in the form of a DNA vaccine.,20544406_2,0,-1,-1,0
16643,DNA,17,18,99,102,GP96 exerts adjuvant activity with some viral and bacterial antigens when applied in the form of a DNA vaccine.,20544406_2,-1,1,-1,1
16646,DNA,16,17,106,109,"In this study, animals with Her2-expressing tumors were vaccinated by co-administration of GP96+ Her2/neu DNA vaccines.",20544406_3,-1,1,-1,1
16650,Foxp3,19,20,99,104,"Analyses of the immune response, 2 weeks after the last immunization revealed decreased CD4+ CD25+ Foxp3+ naturally occurring regulatory T cells (Tregs) at the tumor site and increased IFN-γ/IL-4 level.",20544406_4,-1,1,-1,1
16652,regulatory T cells,23,26,126,144,"Analyses of the immune response, 2 weeks after the last immunization revealed decreased CD4+ CD25+ Foxp3+ naturally occurring regulatory T cells (Tregs) at the tumor site and increased IFN-γ/IL-4 level.",20544406_4,-1,-1,2,2
16655,increased,34,35,175,184,"Analyses of the immune response, 2 weeks after the last immunization revealed decreased CD4+ CD25+ Foxp3+ naturally occurring regulatory T cells (Tregs) at the tumor site and increased IFN-γ/IL-4 level.",20544406_4,0,-1,-1,0
16658,control,14,15,88,95,"Nevertheless, the graph of tumor size demonstrated a bi-phasic pattern in which partial control of tumor progression initially occurred, but finally its effectiveness was inversely affected by tumor size.",20544406_5,-1,1,-1,1
16673,macrophage,9,10,23,33,CD68 (+) and CD163 (+) macrophage infiltration was analyzed in paraffin-embedded tissue samples from 39 patients.,20545696_2,0,-1,-1,0
16677,forkhead,4,5,39,47,Neovascularization and infiltration of forkhead box P3 (FOXP3) (+) regulatory T cells were also evaluated.,20545696_4,-1,1,-1,1
16678,FOXP3,8,9,56,61,Neovascularization and infiltration of forkhead box P3 (FOXP3) (+) regulatory T cells were also evaluated.,20545696_4,-1,1,-1,1
16679,regulatory T cells,13,16,67,85,Neovascularization and infiltration of forkhead box P3 (FOXP3) (+) regulatory T cells were also evaluated.,20545696_4,-1,-1,2,2
16686,regulatory T cells,22,25,107,125,The number of CD68 (+) and CD163 (+) macrophages was positively correlated with the numbers of vessels and regulatory T cells.,20545696_5,-1,-1,2,2
16689,cells,7,8,24,29,The number of CD163 (+) cells was more closely associated with them.,20545696_6,-1,-1,2,2
16699,activation,32,33,144,154,"In an in vitro study using ICC cell lines (HuCCT1, RBE, and MEC) and human macrophages, tumor cell supernatant (TCS) from cell lines induced an activation of signal transducers and activators of transcription-3 (Stat3) and macrophage polarization toward the M2 phenotype.",20545696_9,-1,-1,2,2
16701,activators,37,38,181,191,"In an in vitro study using ICC cell lines (HuCCT1, RBE, and MEC) and human macrophages, tumor cell supernatant (TCS) from cell lines induced an activation of signal transducers and activators of transcription-3 (Stat3) and macrophage polarization toward the M2 phenotype.",20545696_9,-1,1,-1,1
16703,Stat3,41,42,212,217,"In an in vitro study using ICC cell lines (HuCCT1, RBE, and MEC) and human macrophages, tumor cell supernatant (TCS) from cell lines induced an activation of signal transducers and activators of transcription-3 (Stat3) and macrophage polarization toward the M2 phenotype.",20545696_9,-1,1,-1,1
16704,macrophage,44,45,223,233,"In an in vitro study using ICC cell lines (HuCCT1, RBE, and MEC) and human macrophages, tumor cell supernatant (TCS) from cell lines induced an activation of signal transducers and activators of transcription-3 (Stat3) and macrophage polarization toward the M2 phenotype.",20545696_9,0,-1,-1,0
16710,cytokines,16,17,98,107,"Tumor cell supernatant (TCS) from HuCCT1 most strongly induced Stat3 activation and production of cytokines and other bioactive molecules such as interleukin (IL)-10, vascular endothelial growth factor (VEGF)-A, transforming growth factor (TGF)-beta, and matrix metalloproteinase (MMP)-2.",20545696_10,0,-1,-1,0
16715,Stat3,2,3,19,24,"Down-regulation of Stat3 by siRNA significantly suppressed the production of IL-10 and VEGF-A. These results provide suggestive evidence that TAMs contribute to cancer progression via Stat3 activation, and CD163 is useful for evaluating M2 TAMs and predicting the clinical prognosis of ICC patients.",20545696_11,-1,1,-1,1
16717,IL-10,10,11,77,82,"Down-regulation of Stat3 by siRNA significantly suppressed the production of IL-10 and VEGF-A. These results provide suggestive evidence that TAMs contribute to cancer progression via Stat3 activation, and CD163 is useful for evaluating M2 TAMs and predicting the clinical prognosis of ICC patients.",20545696_11,0,-1,-1,0
16725,One,0,1,0,3,One half of a group of 20 patients with human papillomavirus type 16 (HPV16)-induced vulvar intraepithelial neoplasia grade 3 displayed a complete regression (CR) after therapeutic vaccination with HPV16 E6/E7 synthetic long peptides.,20547850_0,-1,1,-1,1
16726,group,4,5,14,19,One half of a group of 20 patients with human papillomavirus type 16 (HPV16)-induced vulvar intraepithelial neoplasia grade 3 displayed a complete regression (CR) after therapeutic vaccination with HPV16 E6/E7 synthetic long peptides.,20547850_0,-1,1,-1,1
16728,grade,17,18,118,123,One half of a group of 20 patients with human papillomavirus type 16 (HPV16)-induced vulvar intraepithelial neoplasia grade 3 displayed a complete regression (CR) after therapeutic vaccination with HPV16 E6/E7 synthetic long peptides.,20547850_0,-1,-1,2,2
16731,synthetic,32,33,210,219,One half of a group of 20 patients with human papillomavirus type 16 (HPV16)-induced vulvar intraepithelial neoplasia grade 3 displayed a complete regression (CR) after therapeutic vaccination with HPV16 E6/E7 synthetic long peptides.,20547850_0,-1,1,-1,1
16741,immunological,31,32,208,221,"To investigate immune correlates of treatment failure, patients were grouped according to median lesion size at study entry, and HPV16-specific immunity was analyzed at different time points by complementary immunological assays.",20547850_2,0,-1,-1,0
16751,cytokine,11,12,72,80,"Characteristically, this response was accompanied by a distinct peak in cytokine levels after the first vaccination.",20547850_4,0,-1,-1,0
16754,group,5,6,25,30,"In contrast, the patient group with larger lesions mounted higher frequencies of HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells (P = 0.005) and displayed a lower HPV16-specific IFNgamma/IL-10 ratio after vaccination (P < 0.01).",20547850_5,-1,1,-1,1
16757,cells,17,18,120,125,"In contrast, the patient group with larger lesions mounted higher frequencies of HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells (P = 0.005) and displayed a lower HPV16-specific IFNgamma/IL-10 ratio after vaccination (P < 0.01).",20547850_5,-1,-1,2,2
16764,set,8,9,51,54,We observed a strong correlation between a defined set of vaccine-prompted specific immune responses and the clinical efficacy of therapeutic vaccination.,20547850_7,-1,1,-1,1
16765,immune responses,12,14,84,100,We observed a strong correlation between a defined set of vaccine-prompted specific immune responses and the clinical efficacy of therapeutic vaccination.,20547850_7,0,-1,-1,0
16768,ratio,4,5,16,21,"Notably, a high ratio of HPV16-specific vaccine-prompted effector T cells to HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells was predictive of clinical success.",20547850_8,-1,-1,2,2
16769,effector,8,9,57,65,"Notably, a high ratio of HPV16-specific vaccine-prompted effector T cells to HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells was predictive of clinical success.",20547850_8,-1,1,-1,1
16770,cells,10,11,68,73,"Notably, a high ratio of HPV16-specific vaccine-prompted effector T cells to HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells was predictive of clinical success.",20547850_8,-1,-1,2,2
16772,cells,16,17,116,121,"Notably, a high ratio of HPV16-specific vaccine-prompted effector T cells to HPV16-specific CD4(+)CD25(+)Foxp3(+) T cells was predictive of clinical success.",20547850_8,-1,-1,2,2
16776,cells,3,4,11,16,Foxp3(+) T cells have been associated previously with impaired immunity in malignancies.,20547850_9,-1,-1,2,2
16782,early,13,14,90,95,Here we demonstrate that the vaccine-prompted level of this population is associated with early treatment failure.,20547850_10,-1,1,-1,1
16793,regulatory T cells,15,18,84,102,"In the present study, we investigated the distribution of Th17 cells in relation to regulatory T cells (Treg) in the tumor-infiltrating lymphocytes (TILs), regional lymph node lymphocytes, and peripheral blood lymphocytes of gastric cancer patients.",20550524_1,-1,-1,2,2
16794,Treg,19,20,104,108,"In the present study, we investigated the distribution of Th17 cells in relation to regulatory T cells (Treg) in the tumor-infiltrating lymphocytes (TILs), regional lymph node lymphocytes, and peripheral blood lymphocytes of gastric cancer patients.",20550524_1,-1,-1,2,2
16796,lymph,30,31,165,170,"In the present study, we investigated the distribution of Th17 cells in relation to regulatory T cells (Treg) in the tumor-infiltrating lymphocytes (TILs), regional lymph node lymphocytes, and peripheral blood lymphocytes of gastric cancer patients.",20550524_1,-1,-1,2,2
16797,lymphocytes,32,33,176,187,"In the present study, we investigated the distribution of Th17 cells in relation to regulatory T cells (Treg) in the tumor-infiltrating lymphocytes (TILs), regional lymph node lymphocytes, and peripheral blood lymphocytes of gastric cancer patients.",20550524_1,-1,-1,2,2
16801,cells,4,5,37,42,"Interleukin (IL)-17-producing CD4(+) cells as Th17 cells and CD4(+)CD25(+)FoxP3(+) cells as Treg were evaluated by flow cytometry and expressed as a percentage of the total CD4(+) cells, in addition to performing a Th1/Th2 balance assay.",20550524_2,-1,-1,2,2
16804,cells,11,12,83,88,"Interleukin (IL)-17-producing CD4(+) cells as Th17 cells and CD4(+)CD25(+)FoxP3(+) cells as Treg were evaluated by flow cytometry and expressed as a percentage of the total CD4(+) cells, in addition to performing a Th1/Th2 balance assay.",20550524_2,-1,-1,2,2
16805,Treg,13,14,92,96,"Interleukin (IL)-17-producing CD4(+) cells as Th17 cells and CD4(+)CD25(+)FoxP3(+) cells as Treg were evaluated by flow cytometry and expressed as a percentage of the total CD4(+) cells, in addition to performing a Th1/Th2 balance assay.",20550524_2,-1,-1,2,2
16810,cells,29,30,180,185,"Interleukin (IL)-17-producing CD4(+) cells as Th17 cells and CD4(+)CD25(+)FoxP3(+) cells as Treg were evaluated by flow cytometry and expressed as a percentage of the total CD4(+) cells, in addition to performing a Th1/Th2 balance assay.",20550524_2,-1,-1,2,2
16812,FoxP3,7,8,53,58,"Moreover, immunohistochemical staining for IL-17 and FoxP3 were performed.",20550524_3,-1,1,-1,1
16813,early,5,6,27,32,"In TILs from patients with early disease (n = 27), the frequency of Th17 cells was significantly higher than that in the normal gastric mucosa (23.7 ± 8.9 vs 4.5 ± 3.1%).",20550524_4,-1,1,-1,1
16820,early,27,28,135,140,"In TILs from patients with advanced disease (n = 28), the frequency of Th17 cells was also significantly higher, but lower compared to early disease, than that in the normal gastric mucosa (15.1 ± 6.2 vs 4.0 ± 2.0%).",20550524_5,-1,1,-1,1
16826,increased,17,18,92,101,"When the ratio of Th17/Treg in TILs was evaluated in individual cases, it was more markedly increased in early than in advanced disease.",20550524_7,0,-1,-1,0
16830,Treg,11,12,57,61,"In conclusion, the accumulation of Th17 cells as well as Treg in the tumor microenvironment of gastric cancer occurred in early disease and then the infiltration of Th17 cells gradually decreased according to the disease progression, in contrast to increased Treg.",20550524_8,-1,-1,2,2
16832,early,21,22,122,127,"In conclusion, the accumulation of Th17 cells as well as Treg in the tumor microenvironment of gastric cancer occurred in early disease and then the infiltration of Th17 cells gradually decreased according to the disease progression, in contrast to increased Treg.",20550524_8,-1,1,-1,1
16835,decreased,31,32,186,195,"In conclusion, the accumulation of Th17 cells as well as Treg in the tumor microenvironment of gastric cancer occurred in early disease and then the infiltration of Th17 cells gradually decreased according to the disease progression, in contrast to increased Treg.",20550524_8,-1,1,-1,1
16839,Activation,0,1,0,10,"Activation of naive CD8 T cells in vitro in the presence of IL-4 induces type 2 cytokine expression, loss of CD8 expression, and reduced cytolytic potential.",20562261_0,-1,-1,2,2
16841,cells,5,6,26,31,"Activation of naive CD8 T cells in vitro in the presence of IL-4 induces type 2 cytokine expression, loss of CD8 expression, and reduced cytolytic potential.",20562261_0,-1,-1,2,2
16843,IL-4,12,13,60,64,"Activation of naive CD8 T cells in vitro in the presence of IL-4 induces type 2 cytokine expression, loss of CD8 expression, and reduced cytolytic potential.",20562261_0,-1,1,-1,1
16844,type,14,15,73,77,"Activation of naive CD8 T cells in vitro in the presence of IL-4 induces type 2 cytokine expression, loss of CD8 expression, and reduced cytolytic potential.",20562261_0,-1,-1,2,2
16853,cells,13,14,77,82,This represents a major shift from the canonical phenotype of effector CD8 T cells.,20562261_1,-1,-1,2,2
16854,IL-4,9,10,46,50,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,1,-1,1
16855,type,13,14,76,80,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,-1,2,2
16858,cells,20,21,112,117,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,-1,2,2
16860,IL-4,29,30,154,158,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,1,-1,1
16861,type,31,32,162,166,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,-1,2,2
16864,cells,38,39,198,203,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,-1,-1,2,2
16865,IFN-gamma,43,44,224,233,"It has not been established, however, whether IL-4 can induce comprehensive type 2 cytokine expression by CD8 T cells in vivo, nor whether the effects of IL-4 on type 2 cytokine production by CD8 T cells can be inhibited by IFN-gamma.",20562261_2,0,-1,-1,0
16867,type,12,13,86,90,"Furthermore, disparate results have been reported regarding the anti-tumor ability of type 2 polarized effector CD8 T cells, and the effects of IFN-gamma in this respect remain unknown.",20562261_3,-1,-1,2,2
16869,cells,18,19,118,123,"Furthermore, disparate results have been reported regarding the anti-tumor ability of type 2 polarized effector CD8 T cells, and the effects of IFN-gamma in this respect remain unknown.",20562261_3,-1,-1,2,2
16871,IFN-gamma,24,25,144,153,"Furthermore, disparate results have been reported regarding the anti-tumor ability of type 2 polarized effector CD8 T cells, and the effects of IFN-gamma in this respect remain unknown.",20562261_3,0,-1,-1,0
16876,cells,12,13,83,88,"To address these questions, wild-type or IFN-gamma-deficient OVA-specific CD8(+) T cells were activated in RAG-2(-/-) gamma c(-/-) recipients with control or IL-4-expressing OVA(+) tumor cells, and then transferred to secondary recipients for tumor challenge.",20562261_4,-1,-1,2,2
16878,control,23,24,147,154,"To address these questions, wild-type or IFN-gamma-deficient OVA-specific CD8(+) T cells were activated in RAG-2(-/-) gamma c(-/-) recipients with control or IL-4-expressing OVA(+) tumor cells, and then transferred to secondary recipients for tumor challenge.",20562261_4,-1,1,-1,1
16882,secondary,35,36,218,227,"To address these questions, wild-type or IFN-gamma-deficient OVA-specific CD8(+) T cells were activated in RAG-2(-/-) gamma c(-/-) recipients with control or IL-4-expressing OVA(+) tumor cells, and then transferred to secondary recipients for tumor challenge.",20562261_4,-1,1,-1,1
16886,type,6,7,45,49,Tumor-derived IL-4 induced the expression of type 2 cytokines and the transcription factor GATA-3 by responding CD8 T cells while reducing their CD8 coreceptor expression and ability to eliminate a secondary tumor challenge.,20562261_5,-1,-1,2,2
16887,cytokines,8,9,52,61,Tumor-derived IL-4 induced the expression of type 2 cytokines and the transcription factor GATA-3 by responding CD8 T cells while reducing their CD8 coreceptor expression and ability to eliminate a secondary tumor challenge.,20562261_5,0,-1,-1,0
16890,cells,18,19,118,123,Tumor-derived IL-4 induced the expression of type 2 cytokines and the transcription factor GATA-3 by responding CD8 T cells while reducing their CD8 coreceptor expression and ability to eliminate a secondary tumor challenge.,20562261_5,-1,-1,2,2
16894,IL-4,5,6,25,29,"Each of these effects of IL-4 was exaggerated in IFN-gamma-deficient, compared with wild-type, CD8 T cells.",20562261_6,-1,1,-1,1
16897,cells,17,18,101,106,"Each of these effects of IL-4 was exaggerated in IFN-gamma-deficient, compared with wild-type, CD8 T cells.",20562261_6,-1,-1,2,2
16901,type,10,11,79,83,The results demonstrate that endogenous IFN-gamma counteracts the induction of type 2 cytokines and the downregulation of both CD8 coreceptor levels and the anti-tumor response in CD8 T cells exposed to IL-4 during activation in vivo.,20562261_7,-1,-1,2,2
16902,cytokines,12,13,86,95,The results demonstrate that endogenous IFN-gamma counteracts the induction of type 2 cytokines and the downregulation of both CD8 coreceptor levels and the anti-tumor response in CD8 T cells exposed to IL-4 during activation in vivo.,20562261_7,0,-1,-1,0
16907,cells,28,29,186,191,The results demonstrate that endogenous IFN-gamma counteracts the induction of type 2 cytokines and the downregulation of both CD8 coreceptor levels and the anti-tumor response in CD8 T cells exposed to IL-4 during activation in vivo.,20562261_7,-1,-1,2,2
16908,IL-4,31,32,203,207,The results demonstrate that endogenous IFN-gamma counteracts the induction of type 2 cytokines and the downregulation of both CD8 coreceptor levels and the anti-tumor response in CD8 T cells exposed to IL-4 during activation in vivo.,20562261_7,-1,1,-1,1
16909,activation,33,34,215,225,The results demonstrate that endogenous IFN-gamma counteracts the induction of type 2 cytokines and the downregulation of both CD8 coreceptor levels and the anti-tumor response in CD8 T cells exposed to IL-4 during activation in vivo.,20562261_7,-1,-1,2,2
16914,type,12,13,81,85,These findings may explain the anomalies in the reported functional phenotype of type 2 polarized CD8 T cells.,20562261_8,-1,-1,2,2
16916,cells,17,18,104,109,These findings may explain the anomalies in the reported functional phenotype of type 2 polarized CD8 T cells.,20562261_8,-1,-1,2,2
16918,T-cell activation,7,9,52,69,OBJECTIVES: Costimulatory signals are essential for T-cell activation and hence play a very important role in antitumor immunity.,20563597_0,-1,-1,2,2
16923,interaction,17,18,88,99,B7 and 4-1BBL which belongs to tumor necrosis factor (TNF) family provide costimulatory interaction for T-cell activation and function.,20563597_1,-1,1,-1,1
16924,T-cell activation,19,21,104,121,B7 and 4-1BBL which belongs to tumor necrosis factor (TNF) family provide costimulatory interaction for T-cell activation and function.,20563597_1,-1,-1,2,2
