Mature Lymphocyte	UMLS:C1513026
cytotoxic t cells	UMLS:C0039195
Natural Killer T Cells	UMLS:C2350466
nk-cell	UMLS:C0022688
Autologous AXL-targeted CAR T-cells CCT301-38	UMLS:C4727549
Autologous HER2-CAR-modified Adenovirus-specific Cytotoxic T-lymphocytes	UMLS:C5203928
FRa-specific 4th Generation CART Cells	UMLS:C4725932
Cells, Reed-Sternberg	UMLS:C0085133
Autologous CD4-Targeted Chimeric Antigen Receptor T-Cells LB1901	UMLS:C5557204
RNA CART19	UMLS:C3897804
Autologous Anti-BCMA/TACI Trimeric APRIL-based CAR-T Cells	UMLS:C5668451
Leukocytes &#x7C; Urine &#x7C; Urinalysis	UMLS:C5170943
T-Immunoblast	UMLS:C1515137
tumor cell line	UMLS:C0085983
iC9-GD2.CD28.OX40.zeta natural killer T cells	UMLS:C4724838
Killer cells	UMLS:C0022686
NY-ESO-1-redirected Autologous T-cells with CRISPR-edited Endogenous TCR and PD-1	UMLS:C4727561
zynteglo	UMLS:C5417758
BCMA Car-T (CT053)	UMLS:C5700419
Autologous Anti-HPV-16 E6 TCR Gene-engineered PBLs	UMLS:C3900005
Photoreceptor, Retinal Cone	UMLS:C0206428
autologous dendritic cells	UMLS:C0879593
Cells, Oxyphil	UMLS:C0949666
Autologous Alpha-PNE CAR T-cells CLBR001	UMLS:C5446633
Effector Memory T-Cell	UMLS:C4289596
Anti-p53 TCR-Transduced PBL	UMLS:C5552636
Lymphocytes, Pre-B	UMLS:C0312738
Autologous Anti-GFRa4 CAR-TCR-zeta-4-1BB-expressing T-cells	UMLS:C5556555
Autologous Anti-FSHR CER-4-1BB/CD3zeta-expressing T-lymphocytes	UMLS:C5670737
KB cell	UMLS:C0022539
LISOCABTAGENE MARALEUCEL	UMLS:C4086001
ET140202 Autologous T-cells	UMLS:C5206468
Anti-CEA IgCD28TCR-Transduced Autologous T Cells	UMLS:C2698130
cell muscle	UMLS:C0596981
sezary cells	UMLS:C0333851
Autologous Bi-epitope CAR T-cells JNJ-68284528	UMLS:C5575123
Variant lymphocytes &#x7C; Peritoneal fluid &#x7C; Hematology and Cell counts	UMLS:C5184822
PMA+ionomycin stimulated gamma interferon producing CD8 Cells	UMLS:C5382576
NUCLEATED RED BLOOD CELLS	UMLS:C0014762
OC-CTLs	UMLS:C4733630
cells cultured	UMLS:C0007635
Monocytes	UMLS:C0026473
Th1 Cells	UMLS:C0242632
autologous anti-BCMA-CAR-4-1BB-CD3zeta-expressing CD4+/CD8+ T lymphocytes JCARH125	UMLS:C5700405
keratinocytes	UMLS:C0022567
Cell, Tr1	UMLS:C1563925
anti-CD33 TCR zeta:CD137 CAR T cells	UMLS:C3831168
Autologous Anti-BCMA CAR T-cells MCARH125	UMLS:C5706462
CD19-specific T Cell Receptor Fusion Construct T cell TC-110	UMLS:C5417911
apc	UMLS:C0003315
MDA Autologous Tumor Infiltrating Lymphocytes	UMLS:C4727163
CNCT-19	UMLS:C5446546
Mouse Natural Killer Cell	UMLS:C1524008
Decidual Cell	UMLS:C1511740
Retinal Cone Cell	UMLS:C0206428
PMA+ionomycin stimulated CD107a+b expressing CD8 cells	UMLS:C5382575
HCT-116 Cell	UMLS:C1258005
CS1-CAR T-cells	UMLS:C5205487
Hepatic Parenchymal Cell	UMLS:C0227525
autologous NY-ESO-1-redirected CRISPR-edited T cells	UMLS:C4727561
Spheroids, Multicellular	UMLS:C0282501
Autologous FSHCER T Cells	UMLS:C5670737
Leukocytes &#x7C; Dialysis fluid &#x7C; Hematology and Cell counts	UMLS:C5170926
Blasts.cytoplasmic CD117	UMLS:C3176884
Autologous NKG2D-based CAR T-cells CYAD-02	UMLS:C5418020
autologous TTRNA mRNA-loaded lymphocyte transfer cells	UMLS:C4733660
NCI-60	UMLS:C4528422
Cells, Hematopoietic Progenitor	UMLS:C0018956
Patient-derived Multi-antigen Associated Cytotoxic T-lymphocytes	UMLS:C5206702
AIC100	UMLS:C5417969
Muscle Cells, Heart	UMLS:C0225828
T-Cells, Regulatory	UMLS:C0039198
Chimeric Switch Receptor PD1CD28 Modified T Cells	UMLS:C4329372
Spores	UMLS:C0038027
Autologous CCT301-59 CAR T Cells	UMLS:C4727550
erythroid cells	UMLS:C1257751
Autologous PZ01 CAR-T Cells	UMLS:C4727036
Cell, Th3	UMLS:C1563926
Autologous Mesothelin-specific CAR-T-Cells Expressing Anti-PD-1/CTLA-4 Antibodies	UMLS:C4724730
T-Lymphocytes, Inducer	UMLS:C0018894
Null Lymphocyte	UMLS:C0024265
Autologous Anti-BCMA-CAR-4-1BB-CD3zeta-expressing Memory T-Cells bb21217	UMLS:C4682857
gp100-Pulsed PBL	UMLS:C1515628
Glia Cells	UMLS:C0027836
Outer supporting cell	UMLS:C0022891
Autologous Cervical Cancer-specific Engineered Immune Effector Cells	UMLS:C4733629
Autologous TILs GT202	UMLS:C5667111
b-cell	UMLS:C0004561
Autologous ATL-iC9-CAR-CD19	UMLS:C4553719
ATLs Co-expressing CD30-CARCD28zeta and CCR4	UMLS:C4733634
CD4+/CD45RO+ T Cell	UMLS:C3273371
basophilic leukocyte	UMLS:C0004827
UCB-derived Expanded Allogeneic NK Cells	UMLS:C4725769
Sternberg Reed Cells	UMLS:C0085133
CD13+ T lymphocyte	UMLS:C4322821
Autologous Mesothelin-specific TCR-expressing T-cells FH-TCR TMSLN	UMLS:C5446661
mucous cell	UMLS:C0506994
Autologous Anti-CD20 CAR T-cells C-CAR066	UMLS:C5447428
Anucleate erythrocyte	UMLS:C0014792
Intraepithelial T-Lymphocyte of the Intestine	UMLS:C1512945
CD7+ T lymphocyte	UMLS:C0882920
killer T cell	UMLS:C0039195
CD16-41BB-CD3zeta ACTR autologous T cells	UMLS:C4329309
L-Cell Lines	UMLS:C0022827
Tumor Cell Lines	UMLS:C0085983
Cell, Jurkat	UMLS:C0376448
P-PSMA-101	UMLS:C5448026
Autologous Genetically Modified AFPC332 T-cells	UMLS:C4527154
Cytotoxic T Lymphocyte	UMLS:C0039195
Blood Segmented Neutrophil	UMLS:C0027950
Cells, Immunoglobulin-Producing	UMLS:C0003273
Autologous Genetically-modified MAGE-A4 C1032 T Lymphocytes	UMLS:C4528709
Autologous PDCD1 KO TILs IOV-4001	UMLS:C5706421
Circulating Neoplastic Cells	UMLS:C0027625
MB106	UMLS:C5706491
Plasma cell	UMLS:C0032112
Non-neuronal cell	UMLS:C0027836
Leukocytes &#x7C; Body fluid &#x7C; Hematology and Cell counts	UMLS:C5170920
TCRζ/4-1BB CART22 cells	UMLS:C4085963
Autologous Anti-CD19 CAR-T Cells TBI-1501	UMLS:C4725690
Epstein-Barr virus-specific cytotoxic T lymphocytes	UMLS:C0393073
Therapeutic Lymphokine-Activated Killer Cells	UMLS:C0022687
Cord Blood-derived Expanded Allogeneic Natural Killer Cells	UMLS:C4725769
Anti-CD70/Anti-GD2 4SCAR-expressing Bispecific T-cells	UMLS:C5708043
Autologous BCMA-specific CAR-TCRz/4-1BB-expressing T-Lymphocytes CART-BCMA	UMLS:C4744703
Autologous Anti-ALPP CART-cells	UMLS:C5555589
autologous CD62L+-derived T lymphocytes transduced with NY-ESO-1-specific TCR	UMLS:C3831512
anti-VEGFR2-CAR retroviral vector-transduced autologous T lymphocytes	UMLS:C3831510
Autologous Universal CAR-expressing T-lymphocytes UniCAR02-T	UMLS:C5446544
Hematopoietic stem cells	UMLS:C0018956
Autologous WT1-TCRc4 Gene-transduced CD8-positive Tcm/Tn Lymphocytes	UMLS:C4055421
autologous BCMA-specific CAR4-1BB-CD3zeta-expressing CD4+/CD8+ T lymphocytes JCARH 125	UMLS:C5700405
ATLCAR.CD30 Cells	UMLS:C4733635
autologous CTLA-4 and PD-1 antibodies expressing mesothelin-CAR-T cells	UMLS:C4724730
NY-ESO-1 TCR-PD-1-CRISPR-gene-edited Autologous T-lymphocytes	UMLS:C4727561
autologous NY-ESO-1 transgenic TCR-expressing endogenous TCR-PD-1 gene-edited T cells	UMLS:C4727561
FT 819	UMLS:C5447470
Antigen-Presenting Cells	UMLS:C0003315
TC 210	UMLS:C5700416
T4 Lymphocyte	UMLS:C0039215
Anti-CD19-CAR-CD28/CD20-CAR-4-1BB-expressing Autologous T-lymphocytes Hu1928-Hu20BB	UMLS:C5237449
Autologous CD38-A2 CAR2-expressing T-lymphocytes	UMLS:C4744619
AUTO1 CAR-T Cells	UMLS:C5700423
Autologous Anti-CD19 CAR T Cells ARI-0001	UMLS:C5555879
Epithelial cell of renal tubule	UMLS:C0553257
EGFRt/BCMA-41BBz CAR T cell	UMLS:C4724868
Cells, Treg	UMLS:C0039198
Adventitial Cell	UMLS:C0598800
CE7R CAR T cells	UMLS:C3900004
Stem cells	UMLS:C0038250
Basal Cells	UMLS:C0596155
B-Cell, Immature	UMLS:C1512631
Hematopoietic stem cell	UMLS:C0018956
anti-PD-1/PD-L1-antibodies-expressing	UMLS:C4725796
Autologous Anti-CD19 CAR-CD3zeta-4-1BB-expressing T-cells	UMLS:C4725911
Obe-cel	UMLS:C5417935
autologous SLC45A2-specific CTLs	UMLS:C4727012
Mast cells	UMLS:C0024880
Lymphocytes, Intraepithelial	UMLS:C1512944
anti-CD19/CD20 CAR autologous T lymphocytes	UMLS:C4684970
Autologous Deep IL-15 Primed T-cells TRQ15-01	UMLS:C4764041
Bone Marrow-Homing Plasma Cell	UMLS:C1511241
Large granular lymphocyte	UMLS:C0427526
chimeric antigen receptor T cells 4SCAR-PSMA	UMLS:C4725933
Immature cells	UMLS:C2708700
ADC	UMLS:C0879593
BAFF-R Cells	UMLS:C4740198
Rouget Cells	UMLS:C0598800
CD5+CD25+ B lymphocyte	UMLS:C4322730
Anti-GPC3-scFvGC33-CAR Autologous T Lymphocytes	UMLS:C4329326
Lymphocyte positive for CD5 antigen	UMLS:C1267845
anti-CD22-CD28-CD137-CD27-CD3z-iCasp9 CAR T cells 4SCAR22	UMLS:C4725100
Exhausted T Cell	UMLS:C3899239
t-cell helper	UMLS:C0018894
Tumor-Infiltrating Tfh Cell	UMLS:C5447417
autologous CCR4-CAR-CD19-CD28-zeta-transduced T lymphocytes	UMLS:C4733634
CD2+ Lymphoblast	UMLS:C1267812
GPA-TriMAR-T-cells	UMLS:C5206704
Yescarta	UMLS:C4530304
CD4+ Naive T Cell	UMLS:C3273372
Stem Cell, Teratocarcinoma	UMLS:C0013485
Effector Memory T Cells	UMLS:C4289596
MAGEA3/A6-targeted TCR-transduced T-Cells KITE-718	UMLS:C4525866
Leukocyte - Lymphocyte - Immature T-Lymphocyte (MMHCC)	UMLS:C1517817
MAGE-A4-specific TCR gene-transduced T lymphocytes TBI-1201	UMLS:C3896758
CD8 Positive Lymphocytes	UMLS:C0242629
IMA 203	UMLS:C5206130
Neutrophils	UMLS:C0027950
Autologous DRI Modified Gamma Delta T Cells	UMLS:C5447544
Anti-CS1 CAR-expressing T-cells	UMLS:C5205962
Autologous Anti-SLAMF7 CAR T-cells	UMLS:C5205962
Autologous PBLs Expressing Mutated Neoantigen-specific T-Cell Receptors	UMLS:C4687585
Amine precursor uptake and decarboxylation cell group	UMLS:C0003649
Gamma Delta T-Lymphocyte	UMLS:C1515186
Interstitial Cell of Testis	UMLS:C0023602
T Suppressor Cell	UMLS:C2355611
Lymphoid Progenitor Cell	UMLS:C1955939
Mature sperm cell	UMLS:C0037868
NY-ESOc259T	UMLS:C4086009
CT 053	UMLS:C5700419
Lambda lymphocytes	UMLS:C1115673
cMet CAR-mRNA electroporated autologous T lymphocytes	UMLS:C3831071
Autologous AFP-specific TCR-transduced T-cells C-TCR055	UMLS:C5417979
leukocytes	UMLS:C0023516
CCT 303-406	UMLS:C5554965
Cell, Plasma	UMLS:C0032112
Autologous Cytotoxic T-cells Induced by Autologous Dendritic Cells Loaded with 6B11 Anti-idiotype Minibody	UMLS:C4764287
MART 1-reactive PBL	UMLS:C3829190
CAR T Cell	UMLS:C4527316
CCT-303-406	UMLS:C5554965
betibeglogene autotemcel	UMLS:C4086010
Autologous DC1-CTL	UMLS:C4288083
Neuroglias	UMLS:C0027836
Muscle Cell, Mature	UMLS:C0596981
Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell	UMLS:C1519006
autologous NKR-2 CAR-T cells	UMLS:C4055424
NK T-Cell	UMLS:C2350466
Lymphocytes clefted &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5171673
cells cone	UMLS:C0206428
Autologous Mesothelin-specific CAR-T Cells	UMLS:C4724860
JCAR 15	UMLS:C5700397
Anti-MUC1 CAR-transduced Autologous T-lymphocytes	UMLS:C4085976
autologous CD19/CD22 CAR T cells	UMLS:C4684850
HBV antigen peptides/HepG2 cell protein lysate-activated dendritic cells	UMLS:C4725078
Personalized Adoptive Cellular Therapy Targeting MDS Stem Cell Neoantigens Agent	UMLS:C4725001
Helper T-Cell	UMLS:C0018894
Autologous Lymphocytes Cotransduced with Genes Encoding IL-12 and Anti-NY-ESO-1 TCR	UMLS:C3827113
leydig cells	UMLS:C0023602
Antibody Producing Cells	UMLS:C0003273
CD1+ T lymphocyte	UMLS:C4322737
Anti-CD30-CAR/CD28z Retroviral Vector-transduced Autologous T-Cells	UMLS:C4733635
Neutrophil	UMLS:C0027950
Suppressor T Lymphocyte	UMLS:C0038856
normoblast	UMLS:C0014762
cells goblet	UMLS:C0506994
Gamma Delta T Lymphocyte	UMLS:C1512944
JCARH 125	UMLS:C5700405
memory b cell	UMLS:C0682638
bb 1111	UMLS:C5447474
Natural Killer T-Cells	UMLS:C2350466
Teb-cel	UMLS:C5700404
CYAD02	UMLS:C5418020
Nucleated Red Blood Cell	UMLS:C0014762
CD133 Peptides-pulsed Autologous DC Vaccine	UMLS:C4086505
clone cell	UMLS:C0009013
Autologous T-lymphocytes-expressing CD22 CARs-expressing Tandem TCR-zeta/4-1BB	UMLS:C4085963
t4 lymphocyte	UMLS:C0039215
ACTR-087	UMLS:C4329309
reed-sternberg cell	UMLS:C0085133
BAFF-R cells	UMLS:C4740198
ex vivo anti-CD3/CD28 Costimulated, Rapamycin-Polarized Th1/Tc1 Autologous T Lymphocytes	UMLS:C2986886
Cell, Lymphokine-Activated Killer	UMLS:C0022687
IMA203	UMLS:C5206130
Autologous CAR-CLD18 T Cells	UMLS:C4727694
IL-12/Anti-NY-ESO-1 TCR-expressing autologous peripheral blood lymphocytes	UMLS:C3827113
Cells, Neoplasm Circulating	UMLS:C0027625
Cell, Treg	UMLS:C0039198
Cells &#x7C; Right anterior chamber &#x7C; NEI eyeGENE slit lamp biomicroscopy	UMLS:C5157925
Autologous MUC1-activated T-lymphocytes	UMLS:C5670750
Cell, Hepatic Stellate	UMLS:C2340138
LMP2A-Specific Cytotoxic T-Lymphocytes	UMLS:C1328049
SENL101	UMLS:C5706465
Cells, Pancreatic Stellate	UMLS:C2936598
TGFbDNRII-transduced Autologous Tumor Infiltrating Lymphocytes	UMLS:C3827836
LCAR B4822M	UMLS:C5206608
Autologous Anti-CD19 TAC-T cells TAC01-CD19	UMLS:C5417884
Leukocytes &#x7C; Nose &#x7C; Hematology and Cell counts	UMLS:C5170932
Cells, Bone Marrow	UMLS:C0005955
Cells, Caco-2	UMLS:C0282560
Mastocyte	UMLS:C0024880
Basal Cell	UMLS:C0596155
Allogeneic Lymphocytes	UMLS:C0879438
Autologous Quikin-CD19-CART	UMLS:C5446533
Muscle Cells, Mature	UMLS:C0596981
ATA 129	UMLS:C5700403
Neutrophilic Granulocyte	UMLS:C0027950
autologous CD3zeta-4-1BB-expressing CART-19 cells	UMLS:C4725911
Pre-Thymocyte	UMLS:C1514295
Inducible IL-12/Anti-NY-ESO-1 TCR-Expressing Autologous Peripheral Blood Lymphocytes	UMLS:C3827113
autologous cytotoxic T lymphocytes induced with MUC1 peptide-transfected dendritic cells	UMLS:C4086006
CAR.CD30-expressing autologous T lymphocytes	UMLS:C3899815
Monocyte	UMLS:C0026473
RPM CD19 mbIL15 CAR-T Cells	UMLS:C5556546
bbT369	UMLS:C5667051
blood corpuscles	UMLS:C0005773
Cell, HeLa	UMLS:C0018873
Anti-CD123 CAR mRNA-electroporated Autologous T-lymphocytes	UMLS:C4085999
cells pmn	UMLS:C0027950
Autologous Gamma Delta T-cell Receptor-expressing T-cells TEG002	UMLS:C5554901
Autologous Anti-CTLA-4/PD-1-expressing EGFR-CAR-T	UMLS:C4725929
Cells, Granulosa	UMLS:C0018207
Hybridoma	UMLS:C0020204
Therapeutic iNK T-cells	UMLS:C4723769
Welgenaleucel	UMLS:C5446871
Anti-CS1 Hinge-optimized CAR-4-1BB-EGFRt-expressing Memory-enriched Autologous T-cells	UMLS:C5205487
Autologous NKCs SNK01	UMLS:C5554955
Tumor-Infiltrating Tfh	UMLS:C5447417
Cell, Leydig	UMLS:C0023602
Autologous Anti-HER2 CAR-T Cells	UMLS:C5556490
autologous CD8+ melanoma-specific T cells	UMLS:C3900002
T-Lymphoblast	UMLS:C1515138
Autologous Anti-CD19 CAR-expressing T-lymphocytes CLIC-1901	UMLS:C4764289
Genetically-altered Immune Cell	UMLS:C4727509
C-CAR066	UMLS:C5447428
T1E28z CAR-expressing autologous CD4-positive T lymphocytes	UMLS:C3827871
bb-1111	UMLS:C5447474
Bone Marrow Cell	UMLS:C0005955
Abnormal lymphocytes &#x7C; Body fluid &#x7C; Hematology and Cell counts	UMLS:C5151349
Autologous HBV-specific TCR-T Cells SCG101	UMLS:C5706400
autologous mesothelin-specific CAR-T cells	UMLS:C4724860
THP-1 Cell	UMLS:C4505192
T-Cell Large Granular Lymphocyte	UMLS:C1515127
eye cones	UMLS:C0206428
granulosa cells	UMLS:C0018207
blood eosinophils	UMLS:C0014467
Tumor Cells, Circulating	UMLS:C0027625
Anti-KRAS G12V mTCR-transduced Autologous Peripheral Blood Lymphocytes	UMLS:C4684891
ameloblast	UMLS:C0002449
IMA201	UMLS:C4687450
Helper T Cell	UMLS:C0018894
Melanoma Tumor-Reactive Autologous Tumor Infiltrating Lymphocytes (TIL)	UMLS:C1708978
Cells.cytoplasmic immunoglobulin mu	UMLS:C1440382
THP-1 Cell Line	UMLS:C4505192
Baltaleucel T	UMLS:C4289937
PaSCs	UMLS:C2936598
autologous anti-CEA CAR-T cells	UMLS:C4055460
Histiocyte	UMLS:C0019612
cells cloning	UMLS:C0009013
blood cells	UMLS:C0005773
CAR T Cells	UMLS:C4527316
T Cells, Helper Inducer	UMLS:C0018894
4S-CD123-CAR-T Cell	UMLS:C4725102
T Helper2 Cell	UMLS:C0242633
Medium sized lymphocyte	UMLS:C0229617
Autologous Alpha-PNE CAR T-lymphocytes CLBR001	UMLS:C5446633
Genetically-modified Immune Cell	UMLS:C4727509
T Follicular Helper Cells	UMLS:C5392114
Keratinized cell of epidermis	UMLS:C0022567
gp100-Reactive Autologous Peripheral Blood Lymphocyte	UMLS:C1515626
Autologous Anti-NY-ESO-1 mTCR Retroviral Vector Transduced PBLs	UMLS:C4763599
Anti-mesothelin CIR mRNA-electroporated Autologous T Cells	UMLS:C3273206
autologous E6 T cell receptor genetically-modified T cells	UMLS:C4726563
CD55+ lymphocyte	UMLS:C1267947
Cells, Epidermal	UMLS:C3496194
Heart cells	UMLS:C0920751
CD16-41BB-CD3zeta ACTR Autologous T-cells	UMLS:C4329309
CD49D+ lymphocyte	UMLS:C1267939
anti-hCD70 CAR autologous PBLs	UMLS:C4329343
cell leukocyte	UMLS:C0023516
CD62E+ lymphocyte	UMLS:C1267953
EGFRvIII-specific CAR-transduced Autologous T Lymphocytes	UMLS:C3899314
Zeushield Cytotoxic T Lymphocytes	UMLS:C4724905
ACTengine IMA203	UMLS:C5206130
Cells, K562	UMLS:C0600432
Naive T-Lymphocyte	UMLS:C3641721
Cell, TH-1	UMLS:C0242632
Cells, T Helper2	UMLS:C0242633
anti-CD123 CAR-T cells 4SCAR123	UMLS:C4725102
Cells.ZAP70	UMLS:C1718726
Cytoplasmic CD117 blasts	UMLS:C3176884
TAEST 16001	UMLS:C4687729
Autologous CD19 CAR-transduced CD4/CD8 Enriched T-cells MB-CART19.1	UMLS:C5417890
blood monocytes	UMLS:C0026473
4SCAR19 Cells	UMLS:C4724856
Fluorescein-specific (FITC-E2)-CAR T Cells	UMLS:C4764048
Allocell	UMLS:C3485979
4H11-28z/fIL-12/EFGRt+ genetically-modified T cells	UMLS:C4084782
MAGE-A3 T cell receptor-transduced autologous T cells	UMLS:C3273204
autologous dendritic cells pulsed with MART-1 (26-35) peptide	UMLS:C4684836
Epidermic Cells	UMLS:C3496194
LN-144	UMLS:C5700380
Cell of Rouget	UMLS:C0598800
Leukocytes &#x7C; Fetus &#x7C; Hematology and Cell counts	UMLS:C5186735
Type-1 T Regulatory Cell	UMLS:C4284002
Antigen-Presenting Cell	UMLS:C0003315
lymphoma cells	UMLS:C0883208
CM-CS1	UMLS:C4055424
Blood Corpuscles, White	UMLS:C0023516
Anti-CD19-CAR Retroviral Vector-Transduced Autologous T Cells	UMLS:C2981629
T Lymphocytes, Mucosal	UMLS:C1512944
erythrocytes	UMLS:C0014792
Fixed Macrophage	UMLS:C0019612
Autologous CMV-specific CTLs	UMLS:C3900001
anti-NY-ESO1 TCR-transduced autologous CD62L+-derived T lymphocytes	UMLS:C3831512
autologous tumor infiltrating lymphocytes LN-144	UMLS:C5700380
rapamycin-polarized Th1/Tc1 autologous T lymphocytes	UMLS:C2986886
NY-ESO-1/MAGE-A4/PRAME/Survivin/SSX2-specific Autologous CTLs	UMLS:C4724803
autologous Epstein-Barr virus-specific cytotoxic T lymphocytes (cell)	UMLS:C0393073
ACTR707	UMLS:C4682464
autologous RNA CART123 cells	UMLS:C4085999
MSGV1-EGFRvIII-specific CAR-transduced autologous T lymphocytes	UMLS:C4684956
autologous TNS9.3.55-transduced CD34+ cells	UMLS:C3899992
GSK-4427296	UMLS:C5706543
anti-K-RAS G12V mTCR-transduced autologous peripheral blood lymphocytes	UMLS:C4684891
Set of APUD cells	UMLS:C0003649
Autologous BCMA-targeted CAR T Cell MCARH125	UMLS:C5706462
clones	UMLS:C0009013
Autologous TnMUC1-targeted Genetically-Modified CAR T Cells	UMLS:C5237176
CD20-scFv/CD28/CD137/CD27/CD3z-iCasp9 T cells	UMLS:C4725101
CD7 cells &#x7C; Blood &#x7C; Cell markers	UMLS:C5157650
fiber cell	UMLS:C0596568
leukocytic	UMLS:C0023516
Tumor Neo-antigen-specific nCTLs	UMLS:C4723770
virally-delivered antibody-coupled TCR ACTR087	UMLS:C4329309
cells nervous system	UMLS:C0027882
Structure of interstitial cell of Leydig	UMLS:C0023602
kidney cell	UMLS:C0553257
Cytoplasmic CD179a blasts	UMLS:C3176795
Aminergic cells	UMLS:C1183167
CART22-65s	UMLS:C4744687
Stem Cells, Lymphoid	UMLS:C1955939
autologous PBL cotransduced with retroviral vectors encoding inducible IL-12 and anti-NY-ESO-1 TCR	UMLS:C3827113
ganglion cell	UMLS:C0228071
ACTengine IMA202	UMLS:C4727097
Autologous Genetically-modified Melanoma Antigen A4 CD8alpha T Cells	UMLS:C5206827
Autologous BCMA-specific CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T Lymphocytes	UMLS:C4724877
APUD Cell	UMLS:C0003649
Adoptive immunotherapy agent CTL019	UMLS:C4760444
interstitial cell	UMLS:C0023602
Autologous CD19-targeted CAR T-cells AUTO1	UMLS:C5700423
TH-17 Cell	UMLS:C2936411
Regulatory T-Cell	UMLS:C0039198
CD49E+ lymphocyte	UMLS:C1267940
Caco 2 Cells	UMLS:C0282560
Cells, Regulatory T	UMLS:C0039198
Autologous EBV-specific TCR T-cells YT-E001	UMLS:C5206705
CART33 TCR zeta:CD137 cells	UMLS:C3831168
IOV-4001	UMLS:C5706421
cultured cells	UMLS:C0007635
Parenchymal cell	UMLS:C0682552
Immature B-Cell	UMLS:C1512631
Immature B-Lymphocyte	UMLS:C1512631
Regulatory T Cell	UMLS:C0039198
CB-derived expanded allogeneic NK cells	UMLS:C4725769
Granulocytic	UMLS:C0018183
autologous PD-1 antibody-expressing mesothelin-specific CAR-T cells	UMLS:C4724836
caco 2 cells	UMLS:C0282560
cMet CAR-mRNA Electroporated Autologous T Lymphocytes	UMLS:C3831071
19(T2)28z1xx	UMLS:C5420310
Muscle Cell, Heart	UMLS:C0225828
autologous CART-19 TCR:4-1BB cells	UMLS:C3640939
Alpha/Beta T-Lymphocyte	UMLS:C4744787
CD4 Positive Naive T-Lymphocyte	UMLS:C3273372
LCAR-B4822M CAR-T-lymphocytes	UMLS:C5206608
Anti-NY-ESO-1 mTCR Retroviral Vector Transduced Autologous Peripheral Blood Lymphocytes	UMLS:C4763599
autologous CC-EIEs	UMLS:C4733629
Histiocytes	UMLS:C0019612
acanthocyte	UMLS:C0000886
Autologous CAR T-cells LB1901	UMLS:C5557204
GCsamAPB (Anti-gp100 TCR) Retroviral Vector-Transduced Autologous PBL	UMLS:C1515996
Bone Marrow-Derived Cell	UMLS:C3896693
Cell, Hematopoietic Progenitor	UMLS:C0018956
Cell, Multinucleated Giant	UMLS:C0017526
autologous MAGE-A10-specific HLA-A2-restricted TCR c796 gene-engineered T lymphocytes	UMLS:C4287655
anti-mesothelin iCasp9M28z CAR-transduced autologous T lymphocytes	UMLS:C4055455
Memory T Cell	UMLS:C0682639
Ad5F35-LMP1/LMP2-Transduced Autologous Dendritic Cells	UMLS:C2347347
alpha-PD1-MSLN-CAR T Cells	UMLS:C5554942
Cardiac muscle fiber	UMLS:C0225828
Anti-CD3 x Anti-EGFR BATs	UMLS:C4085965
autologous BCMA-4-1BBz-targeted CAR T cells	UMLS:C4725083
Granular juxtaglomerular cell	UMLS:C0227650
Plasmacytes	UMLS:C0032112
Autologous BAFF-expressing CAR T Cells LMY-920	UMLS:C5706399
Autologous IL-15-expanded HER2-specific CD4+ T-lymphocytes	UMLS:C5707291
CD19-CAR-specific/truncated EGFR lentiviral vector-transduced autologous T cells	UMLS:C3642265
Abnormal Lymphocyte	UMLS:C4551752
Giant cell	UMLS:C0017526
Helper-Inducer T-Cells	UMLS:C0018894
B-cell Maturation Antigen-Targeted EGFRt/BCMA-41BBz CAR-modified T Cells	UMLS:C4724868
plasmocyte	UMLS:C0032112
CD3+CD69+ lymphocyte	UMLS:C1267832
Cell, Lymphocyte-Activated Killer	UMLS:C2350468
Subsets, T-Cell	UMLS:C0080202
Central Memory T-Lymphocyte	UMLS:C4289823
Autologous NKG2D CAR-CD3zeta-DAP10-expressing T-Lymphocytes CYAD-01	UMLS:C4055424
CD19-CAR-specific/truncated EGFR Lentiviral Vector-transduced T Cells	UMLS:C4524369
Autologous Anti-CD19-CAR-T Cells GC007F	UMLS:C5417841
autologous anti-CD19 chimeric antigen receptor T cells TBI-1501	UMLS:C4725690
T Cell Subset	UMLS:C0080202
Cell, Phagocytic	UMLS:C0031307
Goblet cell	UMLS:C0506994
autologous IL-21-modulated CD8+ MART1-specific T cells	UMLS:C2984029
Cells, Progenitor	UMLS:C0038250
TTRNA-xALT Cells	UMLS:C4733660
cell line	UMLS:C0007600
autologous CD123CAR-CD28-CD3zeta-EGFRt-expressing T lymphocytes	UMLS:C3896982
Anti-CD123-CD28-CD137-CD27-CD3z-iCasp9 CAR T-cells 4SCAR123	UMLS:C4725102
Strain L Cells	UMLS:C0022827
Brexucabtagene autoleucel	UMLS:C5398046
Killer Monocytes, Activated	UMLS:C0079852
Neural crest cell	UMLS:C0815004
HeLa/SF	UMLS:C1512337
blood white cell	UMLS:C0023516
CD59+ lymphocyte	UMLS:C1267951
Lymphocytes, CD8-Positive	UMLS:C0242629
CD19CAR T-cells AUTO1	UMLS:C5700423
Smudge cells	UMLS:C0333823
Sex Cell	UMLS:C0017471
autologous BCMA 41BBz CAR-T cells JCARH-125	UMLS:C5700405
