Disease, Biliary Tract	UMLS:C0005424
gum boil	UMLS:C0149892
LYMPHOCYTIC LEUKEMIA	UMLS:C0023448
disorders testicle	UMLS:C0039584
CSP	UMLS:C1140093
EAR DISORDER NOS	UMLS:C0013447
diseases endocrine system	UMLS:C0014130
pleural disease	UMLS:C0032226
disorders musculoskeletal system	UMLS:C0026857
Disease, Eyelid	UMLS:C0015423
Lymphoblastic Lymphoma	UMLS:C0079748
tuberculous arthritis	UMLS:C0022415
Neoplasm, Squamous Cell	UMLS:C0206720
diseases endocrine	UMLS:C0014130
NERVOUS SYSTEM DISORDER	UMLS:C0027765
Arthropathies, Crystalline	UMLS:C0152087
immune disorder	UMLS:C0021053
pancreas disease	UMLS:C0030286
heart diseases	UMLS:C0018799
lymphogranulomatosis (benign)	UMLS:C0036202
problem/condition, cancer-related	UMLS:C0280950
Coagulation Disorders	UMLS:C0005779
Kidney Disorders	UMLS:C0022658
Leukemia	UMLS:C0023418
HL	UMLS:C0019829
breast diseases	UMLS:C0006145
DISORDER EAR	UMLS:C0013447
Respiratory Tract Disease	UMLS:C0035242
coagulation disorders	UMLS:C0005779
disorders genetic syndrome	UMLS:C0019247
Immunity disorders	UMLS:C0021053
Muscle Neoplasm	UMLS:C0282606
Disease, Ear	UMLS:C0013447
adrenal disease gland	UMLS:C0001621
LYMPHOGRANULOMATOSIS, BENIGN	UMLS:C0036202
Rare Disease	UMLS:C0678236
Lacrimal Apparatus Disorder	UMLS:C0022904
Oncology	UMLS:C0027651
respiratory tract disease	UMLS:C0035242
Hematological Disease	UMLS:C0018939
Morbidities	UMLS:C0026538
Neoplasm, Basal Cell	UMLS:C0206710
Disorder, TMJ	UMLS:C0039494
nervous system diseases	UMLS:C0027765
Pituitary Disorders	UMLS:C0032002
Cerebrovascular Disorder	UMLS:C0007820
acute back pain	UMLS:C0699896
blood tumor vessel	UMLS:C4722524
disorders vein	UMLS:C0235522
disorders testes	UMLS:C0039584
viral infection	UMLS:C0042769
Lipomatous neoplasm	UMLS:C0206631
Cancer, unspecified site	UMLS:C0006826
Musculoskeletal Disease	UMLS:C0026857
Neonatal Disease	UMLS:C0021290
Sleep Disorders	UMLS:C0851578
hepatic coma	UMLS:C0019147
haematological disorders	UMLS:C0018939
lymphatic leukemia	UMLS:C0023448
disorders lip	UMLS:C0023760
splenic disorder	UMLS:C0037997
digestive system disorders	UMLS:C0012242
CVD	UMLS:C0007222
disease pancreas	UMLS:C0030286
Arthropathies	UMLS:C0022408
Role, Sick	UMLS:C0037051
hepatocellular damage	UMLS:C0151763
Renal Disease	UMLS:C0022658
hepatocerebral syndrome	UMLS:C0019151
Clinical Trials Reporting Program Terminology	UMLS:C3899741
leukaemia	UMLS:C0023418
Beryllioses	UMLS:C0005138
Neurologic Disease, Degenerative	UMLS:C0524851
COMA, HEPATIC	UMLS:C0019147
Malignant Lymphoma	UMLS:C0024299
Skin Appendage Neoplasm	UMLS:C0345988
Dumping Syndrome	UMLS:C0013288
physical illness	UMLS:C0683323
circulation disorder	UMLS:C0728936
DISORDER BIRTH	UMLS:C0242354
lip disease	UMLS:C0023760
communicable infectious disease	UMLS:C0009450
arterial diseases	UMLS:C0852949
brain meningioma tumors	UMLS:C0025286
Genetic diseases	UMLS:C0019247
Disorder, Respiration	UMLS:C0035204
encephalomyeloneuropathy	UMLS:C0007682
Diffuse lymphoblastic malignant lymphoma	UMLS:C0079748
Joint Disorder, Temporomandibular	UMLS:C0039494
Diseases of Endocrine System	UMLS:C0014130
Apparatus Disease, Lacrimal	UMLS:C0022904
HODGKINS DISEASE	UMLS:C0019829
arthropathic	UMLS:C0022408
cancer-related problem/condition	UMLS:C0280950
behavioral disorder	UMLS:C0004930
HEMATOLOGIC DISORDERS	UMLS:C0018939
Leukemia, Lymphocytic	UMLS:C0023448
Digestive system disease	UMLS:C0012242
ENDOTHELIOMA, DURAL	UMLS:C0025286
DISORDER UROGENITAL	UMLS:C0080276
Lymphoblastic lymphoma	UMLS:C0079748
n a	UMLS:C1272460
eyelid disease	UMLS:C0015423
syndrome dumping	UMLS:C0013288
Valvular Heart Diseases	UMLS:C0018824
MALIGNANCY	UMLS:C0006826
Hodgkin's paragranuloma	UMLS:C0019829
granulocytic leukaemia	UMLS:C0023470
Communication disorder NOS	UMLS:C0009460
System Disease, Endocrine	UMLS:C0014130
Radiation-induced disorder	UMLS:C1527225
genetics syndrome	UMLS:C0019247
CHL	UMLS:C0019829
blood cell disorders red	UMLS:C0221016
CANCER (NOS)	UMLS:C0006826
disorders scrotum	UMLS:C0268919
Urogenital Diseases	UMLS:C0080276
disease urologic	UMLS:C0042075
potassium disorders	UMLS:C0268014
giant cell tumors	UMLS:C0017525
Glomerulonephropathy	UMLS:C0268731
Musculoskeletal Disorder	UMLS:C0026857
Neoplasm, Adipose Tissue	UMLS:C0206631
Chronic Myeloproliferative Disorder	UMLS:C1292778
Periodontal Diseases	UMLS:C0031090
caused by	UMLS:C0015127
disorder health mental	UMLS:C0004936
bronchus disorder	UMLS:C0006261
Breast Diseases	UMLS:C0006145
Neoplasm of the Adipose Tissue	UMLS:C0206631
carbohydrate disorders metabolism	UMLS:C0149670
disorder psychological	UMLS:C0004936
Trophoblast Tumor	UMLS:C0041182
Wolffian Duct Neoplasm	UMLS:C1520159
Trophoblastic Tumor	UMLS:C0041182
Testis--Diseases	UMLS:C0039584
Blood Disorder	UMLS:C0018939
Retention Disorders, Cognitive	UMLS:C0025261
parathyroid disorder	UMLS:C0030517
Anorectal diseases	UMLS:C0687707
NEOPLASM MALIGNANT	UMLS:C0006826
Arthritis, Crystal	UMLS:C0152087
glomerulonephropathy	UMLS:C0268731
Lifestyle-Related Problem	UMLS:C0004930
disease motor neurones	UMLS:C0085084
adrenal disorder	UMLS:C0001621
DYSFUNCTION PARATHYROID	UMLS:C0030517
Pharynx Disease	UMLS:C0031345
Polyp	UMLS:C0032584
behaviour illness	UMLS:C0037051
disorder mental health	UMLS:C0004936
THROMBOCYTOPATHY	UMLS:C0005818
Odontogenic neoplasm	UMLS:C0028880
Neonatal disorder	UMLS:C0021290
thrombocyte disorders	UMLS:C0005818
Non-obstructive reflux-associated chronic pyelonephritis (disorder)	UMLS:C0451718
diseases perinatal	UMLS:C0270075
coagulopathy	UMLS:C0005779
of skin disease	UMLS:C0037274
Plant diseases	UMLS:C0032080
Nutritional problems	UMLS:C3714509
Hypophyseal Disorders	UMLS:C0032002
Economic	UMLS:C0013557
sick role	UMLS:C0037051
blood vessel disorder	UMLS:C0042373
contagious disease	UMLS:C0009450
diseases venous	UMLS:C0235522
Diabetes insipidus	UMLS:C0011848
Chronic diseases	UMLS:C0008679
artery disease	UMLS:C0852949
KIDNEY DISEASE	UMLS:C0022658
Kidney Disease	UMLS:C0022658
NEOPLASM (NOS)	UMLS:C0027651
Sarcoidoses	UMLS:C0036202
Neoplasms, Fibroepithelial	UMLS:C0206649
Types of diseases	UMLS:C0457464
Blood (Leukemia)	UMLS:C0023418
dysfunctions psychological	UMLS:C0004936
NICHD Terminology	UMLS:C5239397
Joint Disorders, Temporomandibular	UMLS:C0039494
LEUKEMIA MYELOGENOUS	UMLS:C0023470
Eyelids--Diseases	UMLS:C0015423
Coma, Hepatic	UMLS:C0019147
Constitutional aplastic anemia	UMLS:C0702159
Zinc Disorders	UMLS:C0268085
disorders nail	UMLS:C0027339
Voice disorders	UMLS:C0042940
bleeding disorders	UMLS:C0005779
myocardial disease	UMLS:C0878544
neurological disorder	UMLS:C0027765
disorder of pituitary gland	UMLS:C0032002
Diseases, Communicable	UMLS:C0009450
IMMUNE SYSTEM DISORDER (NOS)	UMLS:C0021053
Bronchial Disease	UMLS:C0006261
Connective Tissue Disorder	UMLS:C0009782
Urea Cycle Disorders	UMLS:C0154246
spine disorder	UMLS:C0037933
Recurrence	UMLS:C0034897
Unspecified disorder of parathyroid gland	UMLS:C0030517
Metabolism Disorder, Phosphorus	UMLS:C0031707
Unspecified disorder of joint	UMLS:C0022408
psychiatric disorder	UMLS:C0004936
TEMPOROMANDIBULAR JOINT DISORDER	UMLS:C0039494
Urethra--Diseases	UMLS:C0041969
Skin appendage neoplasm	UMLS:C0345988
diseases of the nervous system	UMLS:C0027765
Ear Disease	UMLS:C0013447
BLOOD COAGULATION DISORDER	UMLS:C0005779
Paranasal Sinus Diseases	UMLS:C0030469
SYMPTOMS	UMLS:C1457887
amino acid disorder	UMLS:C0002514
Splenic diseases	UMLS:C0037997
Historical aspects qualifier	UMLS:C0019665
mental disease	UMLS:C0004936
Boeck's Disease	UMLS:C0036202
of nail diseases	UMLS:C0027339
injury	UMLS:C3263723
types diseases	UMLS:C0457464
Infectious disease	UMLS:C0009450
history	UMLS:C0019665
Chronic alcohol abuse	UMLS:C0001973
Genetic.Disorders	UMLS:C0019247
disorder of the urea cycle metabolism	UMLS:C0154246
germ cell tumor	UMLS:C0205851
Amino Acidopathy, Inborn	UMLS:C0002514
Blood-vessels--Diseases	UMLS:C0042373
Unspecified perinatal disorder of digestive system	UMLS:C0159000
Trophoblastic Neoplasms	UMLS:C0041182
Disorders, Genetic	UMLS:C0019247
Diathesis	UMLS:C0012655
pancreatic islet disorders	UMLS:C0271633
Myelodysplastic Syndrome/Neoplasm	UMLS:C3463824
disorder of carbohydrate metabolism	UMLS:C0149670
Neurological Disorder	UMLS:C0027765
Syndrome	UMLS:C0039082
Intoxication, Chronic Alcoholic	UMLS:C0001973
DISORDER CEREBROVASCULAR	UMLS:C0007820
crystalline arthritis	UMLS:C0152087
Parathyroid glands--Diseases	UMLS:C0030517
DISORDER LACRIMATION	UMLS:C0022904
Tumour	UMLS:C0027651
Disorders of amino-acid transport and metabolism	UMLS:C0002514
disorder type	UMLS:C0457464
disorders reproductive systems	UMLS:C0178829
Respiratory Diseases	UMLS:C0035204
Pharyngeal disorders	UMLS:C0031345
Metabolism Disorders, Phosphorus	UMLS:C0031707
degenerative neurologic disorder	UMLS:C0524851
Nervous System Disorder	UMLS:C0027765
Skin diseases	UMLS:C0037274
PANHEMATOPENIA, SPLENIC PRIMARY	UMLS:C0037997
disease types	UMLS:C0457464
Unspecified disorder of joint, site unspecified	UMLS:C0022408
Neuroepithelial Tissue Neoplasm	UMLS:C0206715
pediatric disorder	UMLS:C0679381
Neoplasms, Malignant	UMLS:C0006826
Sarcoma, Germinoblastic	UMLS:C0024299
congenital disorders	UMLS:C0242354
HEPATIC ENCEPHALOPATHY	UMLS:C0019151
disorder veins	UMLS:C0235522
Arthropathy, unspecified	UMLS:C0022408
muscle tumor	UMLS:C0282606
Disease, Urologic	UMLS:C0042075
Disorder, Parathyroid	UMLS:C0030517
Diseases of female genital organs	UMLS:C0017411
Splenic Diseaess	UMLS:C0037997
neonatal disorders	UMLS:C0021290
Diseases of the heart	UMLS:C0018799
fluid electrolyte disorders	UMLS:C0267994
Odontogenic tumor	UMLS:C0028880
Malignant Neoplasms	UMLS:C0006826
venopathy	UMLS:C0235522
heart valve disease	UMLS:C0018824
adrenal disorders gland	UMLS:C0001621
PERIODONTAL DISEASE	UMLS:C0031090
central disorders nervous system	UMLS:C0007682
Spine--Diseases	UMLS:C0037933
HERNIA	UMLS:C0019270
diagnose	UMLS:C0011900
Sinus disease	UMLS:C0030469
ear disease	UMLS:C0013447
Disorder, Pituitary	UMLS:C0032002
BREAST DISORDER	UMLS:C0006145
DISORDER JOINT	UMLS:C0022408
neoplastic disease	UMLS:C0027651
Besnier Boeck disease	UMLS:C0036202
dump syndrome	UMLS:C0013288
joint disease	UMLS:C0022408
blood dyscrasias	UMLS:C0018939
arthropathy	UMLS:C0022408
DISORDER COAGULATION	UMLS:C0005779
Malignant Neoplasm	UMLS:C0006826
Rotor Syndrome	UMLS:C0220991
Integrated Canine Data Commons	UMLS:C5237192
Disease, Hodgkin	UMLS:C0019829
glial tumor	UMLS:C0017638
diseases ears	UMLS:C0013447
Digestive System Disease	UMLS:C0012242
endocrine disorder	UMLS:C0014130
respiratory system disorders	UMLS:C0035242
seminal vesicle disease	UMLS:C0268896
tmj disease	UMLS:C0039494
Neoplasm of the Bone	UMLS:C0005967
lymphocytic leukemia	UMLS:C0023448
disorder intestinal	UMLS:C0021831
disorders endocrine	UMLS:C0014130
Genetic knowledge reference:Type:To identify measures at a point in time:Whole blood/Tissue, unspecified:Nominal:Molecular Genetics	UMLS:C3263357
Disease, Cerebrovascular	UMLS:C0007820
ENZYME DEFICIENCY	UMLS:C0149676
Comas, Hepatic	UMLS:C0019147
Renal glomerular disease	UMLS:C0268731
Besnier-Boeck-Schaumann Syndrome	UMLS:C0036202
TOOTH DISORDER	UMLS:C0040435
Hematologic Diseases	UMLS:C0018939
AIRWAYS DISEASE	UMLS:C0699949
disorder mental	UMLS:C0004936
syndrome genetic	UMLS:C0019247
Syndrome, Myelodysplastic	UMLS:C3463824
SKIN DISORDER (NOS)	UMLS:C0037274
Diseases, Lymphatic	UMLS:C0024228
Central Nervous System Disorder	UMLS:C0007682
disorders physical	UMLS:C0683323
bowels disorders	UMLS:C0021831
endocrine problem	UMLS:C0014130
due to	UMLS:C0678226
Rare diseases	UMLS:C0678236
diseases of joints	UMLS:C0022408
waxy kidney	UMLS:C0268382
diseases intestinal tract	UMLS:C0021831
calcium metabolism disorder	UMLS:C0006705
disorders rectal	UMLS:C0034882
Personal History of Other Leukemia	UMLS:C0260442
Diseases, Gynecologic	UMLS:C0017411
neoplasm	UMLS:C0027651
GDC Property Terminology	UMLS:C5447839
endocrine pancreas disorder	UMLS:C0271633
Tumor of the Bone	UMLS:C0005967
Disease or Disorder	UMLS:C0012634
radiation rays	UMLS:C0851346
Cancer-Related Condition	UMLS:C0280950
Liver damage	UMLS:C0151763
gum disease	UMLS:C0031090
Immune Disorder	UMLS:C0021053
Viral Diseases	UMLS:C0042769
preventive medicine (field)	UMLS:C0033110
pathological process	UMLS:C0030660
CENTRAL NERVOUS SYSTEM DISORDER	UMLS:C0007682
Eye disease	UMLS:C0015397
nutritional disease	UMLS:C3714509
myelogenous leukemia	UMLS:C0023470
portacaval encephalopathy	UMLS:C0019151
PATHOLOGICAL DISORDERS	UMLS:C0030660
disease urological	UMLS:C0042075
myeloid dysplasia	UMLS:C3463824
diseases endocrine glands	UMLS:C0014130
Neoplasm, Trophoblast	UMLS:C0041182
Epidermal Appendage Neoplasm	UMLS:C0345988
lymphoblastic lymphoma	UMLS:C0079748
spleen disease	UMLS:C0037997
Unspecified disease of nail	UMLS:C0027339
Pleural Diseases	UMLS:C0032226
Diseases of the jaws	UMLS:C0022362
urinary renal disorders	UMLS:C0042075
VASCULAR DISORDER	UMLS:C0042373
cardiac disease	UMLS:C0018799
Lacrimal Apparatus Disease	UMLS:C0022904
disease of digestive system	UMLS:C0012242
Connective tissue disease	UMLS:C0009782
HEMATOLOGIC PROBLEM	UMLS:C0018939
Lymphoma, Hodgkin	UMLS:C0019829
Neoplasm of Neuroglia	UMLS:C0017638
disease of teeth	UMLS:C0040435
mast cell tumor	UMLS:C0334664
Perinatal disorders of digestive system	UMLS:C0159000
Myocardial Disease	UMLS:C0878544
Ligamentous Disorders	UMLS:C0263976
hepatocellular injury	UMLS:C0151763
Mental disorders	UMLS:C0004936
problem/condition, cancer related	UMLS:C0280950
diseases heart valve	UMLS:C0018824
Genetic Condition	UMLS:C0019247
Hodgkin Lymphoma	UMLS:C0019829
RENAL DISORDERS: NONSPECIFIC	UMLS:C0022658
Pancreatic Disorder	UMLS:C0030286
adaptive behavior	UMLS:C0085880
myocardium disorder	UMLS:C0878544
Nervous System Degenerative Diseases	UMLS:C0524851
DISEASE OF EYELID	UMLS:C0015423
FIBROBLASTOMA, ARACHNOIDAL	UMLS:C0025286
Diffuse lymphoblastoma	UMLS:C0079748
Ear Disorders	UMLS:C0013447
infectious disease	UMLS:C0009450
periodontal disease	UMLS:C0031090
memory disorders	UMLS:C0025261
disease cause	UMLS:C1314792
aminoacidopathies	UMLS:C0002514
Syndrome, Dumping	UMLS:C0013288
beryllium disease	UMLS:C0005138
Unspecified Mental Disorder	UMLS:C0004936
Respiratory Diseases	UMLS:C0035242
illness behavior	UMLS:C0037051
Platelet Disorders, Blood	UMLS:C0005818
Biliary Tract Diseases	UMLS:C0005424
Dermatosis NOS	UMLS:C0037274
Diseases, Bone	UMLS:C0005940
hodgkins diseases	UMLS:C0019829
DIAGNOSIS	UMLS:C0011900
Unspecified disorder of lacrimal system	UMLS:C0022904
Unspecified disorder of female genital organs	UMLS:C0017411
Thymomas	UMLS:C0040100
bladder disease	UMLS:C0005686
Connective Tissue Diseases	UMLS:C0009782
Neoplasm, Bone	UMLS:C0005967
malignant tumoral disease	UMLS:C0006826
Diseases, Gingival	UMLS:C0017563
Cardiovascular system--Diseases	UMLS:C0007222
urogenital disorder	UMLS:C0080276
chronic myeloproliferative disorders	UMLS:C1292778
Mast Cell Proliferative Disease	UMLS:C0334664
Tract Diseases, Biliary	UMLS:C0005424
bone tumor	UMLS:C0005967
Behavioral Disorder	UMLS:C0004930
CDISC	UMLS:C1880104
disorders pancreas	UMLS:C0030286
Tumor, Lymphatic Vessel	UMLS:C0206619
disease endocrine system	UMLS:C0014130
Mental Disorder	UMLS:C0004936
disease motor neuron	UMLS:C0085084
Lymphoma, Malignant	UMLS:C0024299
Nephropathy NOS	UMLS:C0022658
Pharyngeal Diseases	UMLS:C0031345
ARTHROPATHY, NOS	UMLS:C0022408
lymphoplasmacyte-rich meningioma	UMLS:C0025286
Basal Cell Neoplasms	UMLS:C0206710
unspecified disorder of bilirubin metabolism	UMLS:C0268305
immunologic disorders	UMLS:C0021053
pleural diseases	UMLS:C0032226
Neuroepithelial Tumor	UMLS:C0206715
CARDIOMYOPATHY	UMLS:C0878544
Disease, Immunological	UMLS:C0021053
taxonomy	UMLS:C0008903
Periodontal Disease	UMLS:C0031090
Diseases, Spinal	UMLS:C0037933
Orthopedic Disorder	UMLS:C0026857
HEPATOCELLULAR DAMAGE	UMLS:C0151763
the diseases of bones	UMLS:C0005940
Disease by Site	UMLS:C1333305
heart valvular disease	UMLS:C0018824
DISORDER HEMATOLOGIC	UMLS:C0018939
cell giant tumor	UMLS:C0017525
disease/disorder etiology	UMLS:C1314792
Central nervous system disease	UMLS:C0007682
pancreatic disease	UMLS:C0030286
disease heart valve	UMLS:C0018824
Nutrition Disorders	UMLS:C3714509
dysfunctions mental	UMLS:C0004936
RETARDATION MENTAL	UMLS:C0025362
Thrombocytopathies	UMLS:C0005818
Amino Acid Metabolism Disorders	UMLS:C0002514
Neoplasms, Epithelial	UMLS:C1368683
LIVER CELL DAMAGE	UMLS:C0151763
Oncologic Complications	UMLS:C0280950
disorder eyelid	UMLS:C0015423
diagnosed	UMLS:C0011900
Disease, Communicable	UMLS:C0009450
Neoplasm	UMLS:C0027651
Urologic Disease	UMLS:C0042075
Fatty Acid Metabolism Disorder	UMLS:C0268634
gynecologic diseases	UMLS:C0017411
Hepatic cytolysis	UMLS:C0151763
Unspecified disorder of calcium metabolism	UMLS:C0006705
Epithelial Neoplasm	UMLS:C1368683
cns disease	UMLS:C0007682
Neuroglial Neoplasm	UMLS:C0017638
EAR DISORDER	UMLS:C0013447
deficiency enzyme	UMLS:C0149676
Temporomandibular joint disorder	UMLS:C0039494
A patient with severe systemic disease	UMLS:C0973444
Forecast of outcome	UMLS:C0033325
Behavioural disorders	UMLS:C0004930
diseases endocrine systems	UMLS:C0014130
Neoplasms, Muscle	UMLS:C0282606
Besnier-Boeck-Schaumann disease	UMLS:C0036202
Disease, Urological	UMLS:C0042075
Jaw Disease	UMLS:C0022362
diseases of the pharynx	UMLS:C0031345
Encephalopathies, Portosystemic	UMLS:C0019151
schaumann disease	UMLS:C0036202
Renal disease NOS	UMLS:C0022658
Skin adnexal tumor	UMLS:C0345988
Pancreas--Diseases	UMLS:C0030286
Disorder	UMLS:C0012634
ARTHROPATHY	UMLS:C0022408
appendix diseases	UMLS:C0267613
sarcoid	UMLS:C0036202
kidney disorder	UMLS:C0022658
Unspecified disorder of skin and subcutaneous tissue	UMLS:C0178298
mental retardation diagnosis	UMLS:C0025362
disorder respiratory	UMLS:C0035204
Disease, Heart Valvular	UMLS:C0018824
Trophoblastic tumor	UMLS:C0041182
Respiratory Tract Diseases	UMLS:C0035242
Plasmacytic Tumor	UMLS:C1959632
Comorbidity	UMLS:C0009488
myeloid leukemia	UMLS:C0023470
disorders gastro intestinal	UMLS:C0017178
viral diseases	UMLS:C0042769
diseases paranasal sinus	UMLS:C0030469
diseases insect	UMLS:C0598303
Neoplasm, Muscle	UMLS:C0282606
Diseases, Paranasal Sinus	UMLS:C0030469
tumours	UMLS:C0027651
Pituitary	UMLS:C0032002
Digestive System Disorder	UMLS:C0012242
parathyroid gland disorder	UMLS:C0030517
disorder urological	UMLS:C0042075
Psychiatric Disorders	UMLS:C0004936
rare diseases	UMLS:C0678236
Immune System Disorders	UMLS:C0021053
Neoplasm of the Neuroepithelium	UMLS:C0206715
vascular problem	UMLS:C0042373
nerve sheath neoplasms	UMLS:C0206727
Iminoacidopathy	UMLS:C0268527
Myeloproliferative Neoplasm	UMLS:C1292778
Joint Disease, Temporomandibular	UMLS:C0039494
Alcohol Addiction	UMLS:C0001973
Central nervous system--Diseases	UMLS:C0007682
diseases rectum	UMLS:C0034882
Neoplasm of Germ Cell	UMLS:C0205851
Laryngeal Disease	UMLS:C0023051
Diseases, Temporomandibular Joint	UMLS:C0039494
Precursor Cell Lymphoblastic Lymphoma	UMLS:C0079748
CDISC Terminology	UMLS:C1880104
Degenerative Diseases, Nervous System	UMLS:C0524851
Bones--Diseases	UMLS:C0005940
immunologic diseases	UMLS:C0021053
intestine disease	UMLS:C0021831
Diseases, Pleural	UMLS:C0032226
Sinus Disease, Paranasal	UMLS:C0030469
Plasmacytic Neoplasm	UMLS:C1959632
Disease, Pharyngeal	UMLS:C0031345
syndromes	UMLS:C0039082
PANCREATIC DISORDER	UMLS:C0030286
spondylopathies	UMLS:C0037933
Skin adnexal tumour	UMLS:C0345988
NEOPLASM BONE	UMLS:C0005967
Acinar cell tumor	UMLS:C0334390
Mature B-Cell Non-Hodgkin's Lymphoma	UMLS:C1334634
Neoplasm of the Skin Appendage	UMLS:C0345988
Hematologic Disorder	UMLS:C0018939
Bone neoplasm	UMLS:C0005967
spine disease	UMLS:C0037933
genetic disorders	UMLS:C0019247
Tumor of the Lymphatic Vessel	UMLS:C0206619
joints tuberculosis	UMLS:C0022415
Gum disease	UMLS:C0017563
pms premenstrual syndrome	UMLS:C0033046
phonation disorder	UMLS:C0042940
BILIARY TRACT DISEASE, NOS	UMLS:C0005424
liability to disease	UMLS:C0012655
Mediastinal Diseases	UMLS:C0025061
diseases respiratory upper	UMLS:C0264221
Spinal Diseases	UMLS:C0037933
Leukemia, Granulocytic	UMLS:C0023470
lymphomas	UMLS:C0024299
Tongue Disease	UMLS:C0040409
anorectal disorders	UMLS:C0687707
airway disease	UMLS:C0699949
Immune System and Disorders	UMLS:C0021053
TMJ Disease	UMLS:C0039494
Arterial Disease	UMLS:C0852949
ENCEPHALOPATHY, HEPATIC	UMLS:C0019151
neurologic disorder	UMLS:C0027765
git disease	UMLS:C0012242
pituitary gland diseases	UMLS:C0032002
Neoplasm, Malignant	UMLS:C0006826
Valvulopathy	UMLS:C0018824
circulatory disease system	UMLS:C0728936
chronic illness	UMLS:C0008679
Parathyroid Gland Diseases	UMLS:C0030517
eye disorders	UMLS:C0015397
HEART DISORDER	UMLS:C0018799
disorders endocrine system	UMLS:C0014130
Tumor, Odontogenic	UMLS:C0028880
Cell Neoplasm, Epithelial	UMLS:C1368683
Nerve Sheath Neoplasms	UMLS:C0206727
Disease, Spinal	UMLS:C0037933
Molecular Disease	UMLS:C0019247
disease causation	UMLS:C1314792
Wolffian adenoma	UMLS:C1520159
Not applicable	UMLS:C1272460
Meningiomas	UMLS:C0025286
heart muscle disease	UMLS:C0878544
Squamous Cell Neoplasm	UMLS:C0206720
Diseases	UMLS:C0012634
disease ear	UMLS:C0013447
diseases intestines	UMLS:C0021831
bowel disorders	UMLS:C0021831
alcoholism chronic disorders	UMLS:C0001973
disorder of fluid and/or electrolyte	UMLS:C0267994
Lymphoid leukaemia	UMLS:C0023448
congenital aplastic anemia	UMLS:C0702159
chronic diseases	UMLS:C0008679
Neoplasm, Epithelial Cell	UMLS:C1368683
Disease, Disorder or Finding	UMLS:C1511989
Dyssplenism	UMLS:C0037997
Sickness	UMLS:C0221423
LYMPHOMA MALIGNANT	UMLS:C0024299
Duodenal Diseases	UMLS:C0013289
Female Genital Diseases	UMLS:C0017411
Myelogenous Leukemias	UMLS:C0023470
disorders intestines	UMLS:C0021831
Benign Lymphogranulomatosis, Schaumann's	UMLS:C0036202
Gastrointestinal Disorders	UMLS:C0017178
Diseases of lips	UMLS:C0023760
circulation disorders	UMLS:C0728936
hematological disorders	UMLS:C0018939
Virus Disease	UMLS:C0042769
circulatory system disorder	UMLS:C0728936
central disease nervous systems	UMLS:C0007682
Plasma Cell Neoplasm	UMLS:C1959632
LEPTOMENINGIOMA	UMLS:C0025286
Nail Diseases	UMLS:C0027339
Infection	UMLS:C0009450
premenstrual syndrome (PMS)	UMLS:C0033046
Genitourinary Diseases	UMLS:C0080276
diseases of lips	UMLS:C0023760
Disorder, Nervous System	UMLS:C0027765
Chronicity of Disorders	UMLS:C0237507
Psychiatric disorder	UMLS:C0004936
blood disorders	UMLS:C0018939
SCHAUMANN SYNDROME	UMLS:C0036202
disorders testicular	UMLS:C0039584
Diseases, Myocardial	UMLS:C0878544
Neoplasm of Skin Appendage	UMLS:C0345988
Disease, Mediastinal	UMLS:C0025061
disorders intestinal	UMLS:C0021831
mastoid disorder	UMLS:C0271474
Unspecified crystal arthropathy	UMLS:C0152087
viral infectious disease	UMLS:C0042769
Heart disease NOS	UMLS:C0018799
blood vessel disease	UMLS:C0042373
Cerebrovascular disease or lesion NOS	UMLS:C0007820
Malignant Lymphogranulomas	UMLS:C0019829
Urinary Tract Disease	UMLS:C0042075
Parathyroid disease	UMLS:C0030517
Personal history of unspecified disease of respiratory system	UMLS:C0035204
disease testicular	UMLS:C0039584
tumor nerve sheath	UMLS:C0206727
Tumor, Nerve Sheath	UMLS:C0206727
CARDIOVASCULAR DISORDER	UMLS:C0007222
Bladder Diseases	UMLS:C0005686
Diseases of the circulatory system	UMLS:C0728936
neoplasia	UMLS:C0027651
Lymphoma	UMLS:C0024299
Non-Neoplastic Disorder	UMLS:C1709246
pituitary gland disease	UMLS:C0032002
NEONATAL DISORDER	UMLS:C0021290
mediastinum disease	UMLS:C0025061
DISORDERS OF BREAST	UMLS:C0006145
amino acidopathies	UMLS:C0002514
Disorders of adrenal glands	UMLS:C0001621
Disorders, Parathyroid	UMLS:C0030517
genitourinary disorders	UMLS:C0080276
Parodontoses	UMLS:C0031090
diseases of tongue	UMLS:C0040409
Behavior Disorders	UMLS:C0004930
TRAUMATIC INJURY	UMLS:C3263723
Diseases, Adrenal Gland	UMLS:C0001621
Neurological Disorders	UMLS:C0027765
illness physical	UMLS:C0683323
scrotum disease	UMLS:C0268919
Unspecified disorder of globe	UMLS:C0015397
bowels disease	UMLS:C0021831
Unspecified disease of hard tissues of teeth	UMLS:C0155926
disorder	UMLS:C0012634
Not Reported	UMLS:C1706613
Bronchial Disorders	UMLS:C0006261
Sleep Disorder	UMLS:C0851578
diseases veins	UMLS:C0235522
Disorder, Neurological	UMLS:C0027765
hematological diseases	UMLS:C0018939
breast disorder	UMLS:C0006145
genetic disorder	UMLS:C0019247
diseases ear	UMLS:C0013447
Defective coagulation NOS	UMLS:C0005779
damage hepatocellular	UMLS:C0151763
diseases of the intestinal tract	UMLS:C0021831
disease circulatory system	UMLS:C0728936
Parulis	UMLS:C0149892
