,text,pmid,entities,start_chars,end_chars,label
555,"Although expression of the OX40L by T cells has been reported, the requirements for induction of OX40L on T cells have not been studied in detail.",16423055_2,"OX40L,OX40L,T cells,T cells","27,97,36,106","32,102,43,113","0,0,2,2"
556,"Although extensively studied in epithelial transformation, the effect of APC on T lymphocyte activation remains poorly defined.",28978472_1,T lymphocyte,80,92,2
557,"Although functional experiments for these peptides are ongoing in our laboratory, data presented here suggests that HCV-specific natural Tregs are abundant in infected individuals, in contrast to the extremely low frequency of anti-HCV effector T cells, supporting the view that natural Treg may be implicated in host immune tolerance during HCV infection.",17199111_7,"Treg,Tregs","287,137","291,142","2,2"
558,"Although functional variants remain to be identified, we speculate that genetic variants at the IL4/IL13 locus contribute to the Th1 bias that is characteristic of psoriasis, that Th1-derived IFN-gamma supports expansion of IL-17+ T cells through APC-derived IL-23 and that negative regulation of inflammatory signaling through the NF-kappaB axis is impaired because of genetic variants of TNFAIP3 and TNIP1.",19262574_6,"TNFAIP3,IL-23,Th1,IFN-gamma","390,259,129,192","397,264,132,201","0,0,2,0"
559,"Although immature and LPS-induced (mature) Nrf2+/+ and Nrf2-/- DCs exhibited similar patterns of oxidative phosphorylation (OXPHOS) and glycolysis, only Nrf2+/+ DCs partially restored OXPHOS and reduced glycolysis during CDDO-DFPA-induced Nrf2 activation.",30025621_5,"Nrf2,oxidative phosphorylation","239,97","243,122","1,1"
560,"Although important rules for Treg selection have been established, there is controversy regarding the degree of self-reactivity displayed by T-cell receptors expressed by Treg cells.",26923114_1,Treg cells,171,181,2
561,"Although inhibition of T cell responses by myeloid-derived suppressor cells (MDSCs) has been observed in patients with chronic hepatitis B (CHB), the mechanism for expansion of MDSCs remains ambiguous.",26416274_1,myeloid-derived suppressor cells,43,75,0
562,"Although initially discovered as a key regulator of the type I interferon and pro-inflammatory cytokine arm of the innate immune response, IRF5 has now been found to also mediate pathways involved in cell growth and differentiation, apoptosis, metabolic homeostasis and tumor suppression.",32582209_1,"type I interferon,cell growth,IRF5","56,200,139","73,211,143","0,0,1"
563,"Although injection of IL-2 complex alone was not capable of decreasing the clinical score of EAU, injection of IL-2 complex/rapamycin significantly delayed the onset of EAU.",32459545_3,"IL-2,IL-2 complex","111,22","115,34","0,0"
564,"Although innate cells are generally a minor subset of thymocytes, in several strains of mice harboring mutations in T cell signaling proteins or transcriptional regulators, conventional CD8(+) T cells develop as innate cells with characteristics of memory T cells.",24943215_1,"memory T cells,thymocytes,transcriptional regulators","249,54,145","263,64,171","2,2,1"
565,"Although it is known that IL-4 is critical to the polarization of naïve CD4+ T cells to a TH2 phenotype, both in vitro and in many in vivo systems, other factors that regulate in vivo IL-4 production and TH2 commitment are poorly understood.",11248805_1,"TH2,TH2,IL-4,IL-4","90,204,184,26","93,207,188,30","2,2,0,0"
566,"Although it is most homologous to IL-15, it has a unique receptor chain, IL-21R, that pairs with the gamma-common cytokine receptor chain.",14610289_1,"IL-15,IL-21R","34,73","39,79","0,0"
567,"Although it is well known that IL-10 is an important mediator of Treg suppression, the action of IL-10 on Tregs themselves is less well characterized.",26363058_3,"IL-10,IL-10","97,31","102,36","0,0"
568,"Although mesenchymal stromal cells (MSCs) possess the capacity to modulate immune responses, little is known about the mechanisms that underpin these processes.",24307058_0,mesenchymal stromal cells,9,34,0
569,"Although mice or humans with impaired TCR signaling develop autoimmunity, the precise molecular mechanisms linking reduced TCR signaling to autoimmunity are not fully understood.",30910863_1,TCR,38,41,2
570,"Although modest suppressive effects of IL-27 on myeloid lineage cells have been observed, there is limited knowledge about the role of IL-27 in the regulation of innate immunity.",18424756_2,"suppressive,IL-27,IL-27","16,135,39","27,140,44","0,0,0"
571,"Although most Foxp3(+) cells in a resting animal are CD4(+)CD25(+) cells, Foxp3 expression and inhibitory function can be induced by antigens in the periphery by selective cytokine conditions, particularly TGF-beta.",18817830_2,TGF-beta,206,214,0
572,"Although much promising data that interleukin (IL)-12 could be a powerful therapeutic agent against cancer were reported in animal models, its excessive toxicity has become a problem for its clinical application.",14871851_0,interleukin (IL)-12,34,53,0
573,"Although multiple mechanisms for Treg cell suppression have been shown in vitro, it is unclear whether the same or different mechanisms are used by Treg cells in vivo.",19464986_3,"Treg cells,Treg cell","148,33","158,42","2,2"
574,"Although no general pattern of individual anti-apoptotic Bcl-2 family members emerged, increased expression of Bim was always accompanied by increased expression of at least 1 anti-apoptotic Bcl-2 family member.",25174872_5,"anti-apoptotic Bcl-2 family member,Bim","176,111","210,114","1,1"
575,"Although others have reported that IL-2 can directly enhance forkhead box protein P3 (Foxp3) transcription factor expression by natural CD4(+)CD25(+) regulatory T cells, in this study, we report that the role of IL-2 on the generation of peripheral regulatory CD4(+) cells is indirect.",17277105_1,"transcription factor,forkhead box protein P3,IL-2,IL-2","93,61,35,212","113,84,39,216","1,1,0,0"
576,"Although others have reported that the bone morphogenetic proteins (BMP) and TGF-beta have similar effects on the development of thymocytes and T cells, in this study, we report that members of the BMP family, BMP-2 and -4, are unable to induce non-regulatory T cells to become Foxp3+ Treg.",19943263_1,"TGF-beta,Treg,T cells,BMP,thymocytes,BMP,-4","77,285,144,68,129,198,220","85,289,151,71,139,201,222","0,2,2,1,2,1,0"
577,"Although pathophysiological functions of IL-31 have been suggested in diverse immune disorders, the molecular events underlying IL-31 gene regulation are still unclear.",25595785_1,"IL-31,IL-31","41,128","46,133","0,0"
578,"Although previous studies have shown that ST-4, a SEC2 mutant with enhanced recognition of Vβ regions of T-cell receptors (TCRVβ), can activate an increased number of T cells and produce more cytokines than SEC2.",28807764_1,T cells,167,174,2
579,"Although previously regarded as being required only during early T cell development, recent studies demonstrate an important role for TCF-1 in T helper 2 (Th2) cell polarization.",20980261_1,"T helper 2 (,T cell,TCF-1,cell polarization","143,65,134,160","155,71,139,177","2,2,1,0"
580,"Although promising, human Treg cell infusion therapy has heretofore been difficult to implement in the clinic, and relatively few clinical trials have been initiated.",19464988_4,Treg cell,26,35,2
581,"Although ps-Teff cells in both school-aged and infant children with PA produced primarily TH2 cytokines, a TH1-skewed antipeanut response was seen only in NA school-aged children.",29454004_8,TH2,90,93,2
582,"Although putative T(reg) cells, characterized as CD4(+)CD25(+)FOXP3(+)CD62L(+) T cells, are increased in Tgfb1(-/-) mice, they may be inadequate to control activated T cells since the ratio of activated T cells:putative T(reg) cells is several-fold higher in Tgfb1(-/-) mice than in control mice.",18308639_2,"T cells,T cells","166,203","173,210","2,2"
583,"Although qualitative and/or quantitative abnormalities of Treg cells have been shown, data are often conflicting.",19185065_2,Treg cells,58,68,2
584,"Although regarded primarily as an immunosuppressant signal, cAMP has been found to mediate pro-inflammatory effects of macrophage-derived prostaglandin E2 (PGE2) on Th17 cells.",26031354_2,"Th17 cells,macrophage-derived prostaglandin E2","165,119","175,154","2,0"
585,"Although resveratrol has previously been shown to attenuate allergic asthma, the role of miRNA in this process has not been studied.",30619345_1,resveratrol,9,20,0
586,"Although several TFs have been associated with enhanced inflammatory responses in the lung, ATF3 attenuates the inflammatory responses associated with allergic airway disease.",18794337_4,ATF3,92,96,1
587,"Although soluble ST2 is highly produced in sera of asthmatic patients and plays a critical role for production of Th2 cytokines, the function of soluble ST2 in relation to IL-33 signaling remains unclear.",17623648_2,"Th2,soluble,IL-33 signaling,soluble","114,145,172,9","117,152,187,16","2,0,0,0"
588,"Although somewhat incomplete, what has emerged is a richly detailed tapestry of signaling and transcription, controlling an important T cell developmental switch.",10837066_3,T cell,134,140,2
589,"Although sustained maternal regulatory CD4(+) T cell (Treg) expansion is essential for maintaining fetal tolerance during pregnancy, the necessity for Foxp3(+) cells with fetal specificity remains undefined.",24591368_1,"Treg,specificity","54,177","58,188","2,1"
590,"Although targeted disruption of Oct3 did not affect physiological parameters after MCA occlusion, this disruption significantly increased histamine content in the ischemic cortex and significantly reduced the infarct volume after cerebral ischemia.",22739622_4,"Oct3,histamine","32,138","36,147","1,0"
591,"Although the Forkhead transcription factor Foxp3 defines the Treg cell lineage and functions, the molecular mechanisms of Foxp3 induction and maintenance remain elusive.",21468021_1,"Forkhead transcription factor,Treg cell","13,61","42,70","1,2"
592,"Although the IL-4(+)CD4(+) T cells most likely originate from CD31(+)CD4(+) T recent thymic emigrants, CD31 was downregulated prior to secretion of IL-4.",24778440_7,IL-4,148,152,0
593,"Although the Th17 subset and its signature cytokine, interleukin (IL)-17A (IL-17), are implicated in certain autoimmune diseases, their role in cancer remains to be further explored.",19564351_0,"cytokine,IL-17,interleukin (IL)-17A,Th17","43,75,53,13","51,80,73,17","0,0,0,2"
594,"Although the Treg cell differentiation was observed, the lack of IL-10 expression and the decrease in the density of IL-10+ cells observed in the CS/LPS group suggest that a failure to release this cytokine plays a pivotal role in the exacerbated inflammatory response in this proposed model.",30760822_9,"Treg cell,cytokine,IL-10,IL-10+","13,198,65,117","22,206,70,123","2,0,0,0"
595,"Although the beta2-adrenergic receptor (beta2AR) is the most extensively characterized G-protein-coupled receptor (GPCR), the effects of beta-agonists on T-cell subtype function remain poorly understood.",16278302_0,beta-agonists,137,150,0
596,"Although the cause of rheumatoid arthritis is largely unknown, substantial evidence has supported the importance of immune cells and inflammatory cytokines in the initiation and progression of this disease.",27005941_1,rheumatoid arthritis,22,42,1
597,"Although the cell subsets constituting the mononuclear phagocyte network are thought to be similar in both small and large intestine, these organs have distinct anatomy, microbial composition, and immunological demands.",33995384_1,cell subsets,13,25,2
598,"Although the elevation of IL-17 and the consecutive induction of granulocyte colony-stimulating factor compensate for the loss of myeloid progenitor cells, the facilitated induction of Th17 cells renders Ikkβ-deficient animals more susceptible to the development of experimental autoimmune encephalitis.",21464320_3,"Th17 cells,granulocyte colony-stimulating factor compensate,IL-17","185,65,26","195,113,31","2,0,0"
599,"Although the etiology of preeclampsia is still unclear, it is believed to involve rejection of the fetus, possibly due to an imbalance between regulatory (Treg) and effector T cells.",19915051_1,Treg,155,159,2
600,"Although the expression of CD101 on T cells was sufficient for Treg-function and the inhibition of T-cell proliferation, sustained IL-10 production required additional CD101 expression by myeloid cells.",26813346_6,"T cells,IL-10","36,131","43,136","2,0"
601,"Although the function of LRG is ill-defined, LRG binds with transforming growth factor (TGF)-β and enhances Smad2 phosphorylation.",28615031_1,"transforming growth factor (TGF)-β,Smad2","60,108","94,113","0,1"
602,"Although the function of Treg cells has been demonstrated in many experimental settings, the precise mechanisms and antigen specificity often remain unclear.",22044159_2,"Treg cells,specificity","25,124","35,135","2,1"
603,"Although the importance of OCT-1 has been emphasized during development and differentiation, its detailed molecular underpinning and precise role are poorly understood.",27126747_4,OCT-1,27,32,1
604,"Although the in vitro activated T cells expressed FOXP3, these induced FOXP3(+) T cells expressed high levels of multiple effector cytokines and were not functionally suppressive.",19383912_5,"T cells,suppressive","32,167","39,178","2,0"
605,"Although the ligation of Fas results in caspase-8 cleavage and ERK1/2 phosphorylation, inhibitors for caspase-8 and MEK have no effect on the expressions of RORγt, IL-17A, and IL-17F.",23590971_6,"IL-17A,IL-17F,caspase-8,caspase-8,ligation","164,176,102,40,13","170,182,111,49,21","0,0,0,0,0"
606,"Although the lym1 mutation does not interfere with naive T cell activation, it renders the Th17 cells defective in the production of inflammatory effector molecules, particularly the cytokine GM-CSF.",24899500_3,"cytokine,GM-CSF,Th17 cells","183,192,91","191,198,101","0,0,2"
607,"Although the majority of Tregs are formed in the thymus, increasing evidence suggests that induced Tregs (iTregs) may be generated in the periphery from naive cells.",26363058_1,Tregs,25,30,2
608,"Although the mechanism behind this action is not known, it is speculated that upon changing the Th1/Th2 balance in favour of Th1, umbelliprenin induces its antitumor activity.",24325354_11,"Th1/Th2,Th1","96,125","103,128","2,2"
609,"Although the mechanism of suppression used by Treg cells remains controversial, it has been postulated that TGF-beta1 mediates their immunosuppressive activity.",18566377_1,"TGF-beta1,Treg cells","108,46","117,56","0,2"
610,"Although the methylation rate of CpGs located at -409 of perforin was higher (p = 0.0376) and that of IFN-gamma were relatively higher (p = 0.0582) in ITP, we did not find the negative correlation between the expression of those genes and the methylation of their promoters.",20100010_4,IFN-gamma,102,111,0
611,"Although the phenomenon of immunologic control by Foxp3(+) regulatory T cells is well recognized, the comparative effect over different arms of the immune system has not been thoroughly investigated.",21715314_2,regulatory T cells,59,77,2
612,"Although the presentation of the inflammatory disease of Socs1-deficient mice is complex, we have tested here the hypothesis that it originates from inappropriate T cell development and the appearance of autoreactive T cells.",15924143_1,"T cell,T cells","163,217","169,224","2,2"
613,"Although the relative difference between the Nr2f6+/+ and Nr2f6-/- OT-I memory compartment declines over time, Nr2f6-deficient OT-I memory T cells mount significantly enhanced IFN-γ responses upon reinfection with increased clonal expansion and improved host antigen-specific CD8+ T-cell responses.",33589606_3,IFN-γ,176,181,0
614,"Although the role of Notch in CD4(+) and CD8(+) αβ T cells is well documented, there are no reports on how Notch signaling regulates effector functions of γδ T cells.",24489102_1,Notch signaling,107,122,1
615,"Although the role of STAT3 in driving Th17 cell polarization has been well established, its role on Th2 responses to allergens remains incompletely understood.",25871878_1,"cell polarization,Th17,STAT3,Th2","43,38,21,100","60,42,26,103","0,2,1,2"
616,"Although the role of T cells in other lupus target organs such as the kidney is well defined, which T cells contribute to the pathogenesis of neuropsychiatric SLE is not known.",29593732_1,"T cells,T cells","100,21","107,28","2,2"
617,"Although the role of the cortex in this process is to enable recognition of CD1d molecules expressed by CD4(+)CD8(+) thymocyte precursors, the requirements for additional thymus microenvironments during iNKT cell development are unknown.",24510964_2,iNKT,203,207,2
618,"Although the suppressive effect of Treg cells on T cells is well documented, less is known about the types of innate immune cells influenced by Treg cells and whether the Treg cells suppress acute innate immune responses in vivo.",20722759_3,"Treg cells,suppressive,T cells,Treg cells,Treg cells","35,13,49,144,171","45,24,56,154,181","2,0,2,2,2"
619,"Although the transcription factors required for development of IL-23-stimulated cells are unknown, we show that T-bet is a critical negative regulator of the IL-23-primed T-cell phenotype, which we term Th1beta.",16670261_1,"transcription factors,Th1beta","13,203","34,210","1,2"
620,Although this might suggest the suitability of Helios as an nTreg-iTreg differentiation marker we also found that Helios(-) Tregs displayed a phenotype of naive CD4(+) T cells in vivo.,25511662_8,Tregs,124,129,2
621,"Although this suggests a primary role for defective Tregs in autoimmunity, a link between IL2RA gene polymorphisms and Treg function has not been examined.",22461703_3,Tregs,52,57,2
622,"Although tuberculous pleurisy (TP) presumably involves a hypersensitivity reaction, there is limited evidence indicating overreactive effector responses of γδ T cells and αβ T cells and their interrelation with Foxp3(+) Tregs in pleural and other compartments.",26156008_0,Tregs,220,225,2
623,"Altogether these results strengthen the role of STAT3 as a critical check point of the suppression of Th1 responses, unraveling its potential to dampen DC capability to both induce and recruit different IFNγ producing T lymphocyte subsets.",24674241_8,"STAT3,T lymphocyte,IFNγ","48,218,203","53,230,207","1,2,0"
624,Altogether these results support a model in which the addition of MPL to aluminum salt enhances the vaccine response by rapidly triggering a local cytokine response leading to an optimal activation of APCs.,19864596_10,"MPL,aluminum salt","66,73","69,86","0,0"
625,"Altogether, our data demonstrate the important role of TFH cells for control and induction of AIHA.",31875006_7,TFH cells,55,64,2
626,"Altogether, our data demonstrated that although AHR is highly expressed on in vitro-generated nonpathogenic TH17 cells, its ligation does not shift TH17 cells to an anti-inflammatory phenotype.",30425241_9,"AHR,TH17 cells","48,148","51,158","1,2"
627,"Altogether, our data strongly implicate IL-7 in the thymus-independent long-term survival of functional naïve-Tregs, and highlight the potential of targeting the IL-7 pathway to modulate Tregs in different clinical settings.",26910841_5,"IL-7 pathway,IL-7","162,40","174,44","0,0"
628,"Altogether, results suggest that M. leprae interferes with TCR/CD28-induced upstream as well as downstream signalling events resulting in reduced IL-2 production and thus inhibition in T-cell proliferation, which might be responsible for T-cell unresponsiveness leading to stage of immunosuppression and consequently, for the progression of disease.",20018378_4,"IL-2,T-cell","146,238","150,244","0,2"
629,"Altogether, these data indicate an important role of PKB signals on control of TGF-beta1-mediated T cell responses and, thereby, on tolerizing and inflammatory immune processes.",19841181_9,T cell,98,104,2
630,"Altogether, these findings reveal that Bcl6 and Maf collaborate to orchestrate a suite of genes that define core characteristics of human Tfh cell biology.",22427637_10,"Tfh cell,Bcl6,Maf","138,39,48","146,43,51","2,1,1"
631,"Altogether, these results indicate that IL-12 is a superior cytokine that has the ability to skew the already ongoing TGF-β-dependent iTreg or Th17 developmental program into Th1-like direction.",21903294_7,"IL-12,cytokine,Th17","40,60,143","45,68,147","0,0,2"
632,"Altogether, these results suggest that forced expression of SOCS3 in T cells is deleterious in APAP hepatotoxicity by increasing STAT1 activation while decreasing STAT3 activation in hepatocytes, possibly through elevated IFN-gamma and TNF-alpha.",17339476_10,"T cells,IFN-gamma,STAT1,TNF-alpha,STAT3","69,222,129,236,163","76,231,134,245,168","2,0,1,0,1"
633,"Altogether, these results suggest that iron is able to inhibit ECM pathology by attenuating the capacity of T cells to migrate to the brain.",25768944_6,T cells,108,115,2
634,"Altogether, we show that the CCL2 protein participates in thymic atrophy in AML mice, and this could have important implications for future immunotherapeutic strategies.",25382729_7,thymic atrophy,58,72,0
635,"Aluminum salt appeared not to synergize with or inhibit MPL, but rather it prolonged the cytokine responses to MPL at the injection site.",19864596_9,"MPL,MPL,Aluminum salt","111,56,0","114,59,13","0,0,0"
636,Amelioration of AD progression by cyclosporin A treatment was well correlated with downregulation of IL-31 expressions in CD4(+) T cells and total ear residual cells.,25595785_7,IL-31,101,106,0
637,Amelioration of colitis symptoms in MSC-/- mice by IL-22-blocking agent IL-22BP-Fc suggests a counterintuitive pathogenic role of IL-22 in the absence of MSC as a checkpoint.,34992594_7,"IL-22-blocking agent,IL-22","51,130","71,135","0,0"
638,"Among 16 synthetic derivatives of benzoxazole, the compounds 4, 6, 11, 15, 17, and 19 showed a strong suppressive activity against IL-6-induced phosphorylation of signal transducer and activator of transcription (STAT) 3 by 80-90%.",28442260_3,"signal transducer,STAT,suppressive activity,phosphorylation,activator","163,213,102,144,185","180,217,122,159,194","1,1,0,1,1"
639,"Among CD4+ T cells, differential expression of CD126 and CD130 was observed on the basis of CD25 expression.",16540526_5,CD130,57,62,0
640,"Among Th17 cell-related factors, DNCB treatment increased mRNA expression of IL-6, IL-17, IL-23, STAT3, and ROR-γt, but reduced TGF-β and SOCS 3; While artesunate reverse these changes.",32087254_8,"STAT3,TGF-β,IL-23,IL-17","97,128,90,83","102,133,95,88","1,0,0,0"
641,"Among asthma phenotypes, a promoter -1993T-->C SNP, which is in linkage disequilibrium with a synonymous coding 390A-->G SNP in exon 1, is significantly associated with a risk of aspirin-induced asthma (AIA; P = 0.004, P(c) = 0.016).",15806396_4,exon 1,128,134,1
642,"Among cytokines enriched in the BM of scurfy mice, IFN-γ affected only B lymphopoiesis, but GM-CSF, TNF, and IL-6 collectively promoted granulopoiesis at the expense of B lymphopoiesis.",25348202_4,"IFN-γ,GM-CSF,granulopoiesis","51,92,136","56,98,150","0,0,0"
643,"Among several proposed surface or intracellular Treg cell markers, CD25 at high level of expression and the transcription factor Foxp3 are the two most investigated in SLE.",19185065_4,"Treg cell,transcription factor","48,108","57,128","2,1"
644,"Among the different regulatory T lymphocyte (Treg) subpopulations, non-antigen-specific CD8+CD28- Treg (CD8+CD28- Treg) have been characterized for being involved in the pathogenesis of autoimmune diseases and cancer.",18832002_0,"Treg,Treg,regulatory T lymphocyte,Treg","45,98,20,114","49,102,43,118","2,2,2,2"
645,"Among the various cytokines, multivariate analysis showed that only IFNγ gene expression correlated independently with MART1 gene expression (P < 0.0001, r = 0.91).",21327637_12,IFNγ,68,72,0
646,"Among them, CCL5, IL6 and IL8, or MIP2 in mouse, were consistently reduced by Notch1 depletion in several human and mouse melanoma cell lines.",30036609_5,"IL8,CCL5,Notch1","26,12,78","29,16,84","0,0,1"
647,"Among them, IL-10 is a multi-functional cytokine that plays a crucial role in maintaining the balance between immunity and tolerance.",21440248_2,IL-10,12,17,0
648,"Among them, OCT3 was identified as an uptake-2 transporter, responsible for clearance of histamine.",22739622_1,"histamine,OCT3","89,12","98,16","0,1"
649,"Among them, genes encoding cytokines, chemokines, and Jak/STAT signaling molecules were substantially induced.",26350416_5,chemokines,38,48,0
650,"Among these genes, Prkcb, Mib2, Fos, Ndfip2, Cxxc5, B2m, Gata3 and Cd247 were upregulated whereas Itk, Socs3, Tigit, Ifng, Il2ra and FoxJ1 were downregulated.",31096062_7,"Gata3,Ifng,B2m","57,117,52","62,121,55","1,0,1"
651,"Among these pathways, the mechanisms by which T-box proteins and IL-10 interact to promote a memory T cell fate remain poorly understood.",30528350_1,"IL-10,memory T cell","65,93","70,106","0,2"
652,"Among these, Th17 cells play a prominent role in the development of a number of autoimmune diseases.",26031354_1,Th17 cells,13,23,2
653,"Among these, a 5-maker set (interferon-γ, IL-12 p35, T-bet, GATA3, and IL-21) demonstrated an AUC of 0.949 and a misclassification rate of 8.3%.",24739631_6,"interferon-γ,p35,GATA3,IL-21,IL-12","28,48,60,71,42","40,51,65,76,47","0,0,1,0,0"
654,"Among various immune cells in colon, dendritic cells (DCs) are unique not only in their accessibility to luminal contents but also in their ability to induce tolerogenic phenotype in T-cells.",25984582_3,T-cells,183,190,2
655,An 800-base pair proximal promoter conferred some Th2-selective expression in transgenic mice.,9780146_1,proximal,17,25,1
656,"An IL-2 mutein (N88D) with reduced binding to the intermediate affinity IL-2Rβγ receptor was engineered with a stoichiometry of two IL-2N88D molecules per IgG, i.e. IgG-(IL-2N88D)2.",30446251_2,IL-2Rβγ receptor,72,88,0
657,"An Rv2034-specific CD4+ T-cell clone expressed the Th1 markers T-bet, IFN-γ, TNF-α, IL-2 and the cytotoxicity related markers granzyme B and CD107a as measured by flow cytometry.",24905579_5,"IL-2,IFN-γ,TNF-α,Th1","84,70,77,51","88,75,82,54","0,0,0,2"
658,An additional peptide (E2(281-300)) contained an epitope presented by both alleles.,21531896_6,peptide,14,21,0
659,An adoptive transfer of in vitro-generated MDSCs before or after ocular HSV1 infection controlled herpetic stromal keratitis lesions.,31331972_5,"stromal,adoptive transfer,keratitis","107,3,115","114,20,124","0,0,0"
660,"An alternative approach to the analysis of Th1 and Th2 mechanisms in these diseases is to investigate strains carrying a null mutation for molecules involved in cytokine receptor signal transduction, signal transducer and activator of transcription (Stat4) and Stat6.",16027138_2,"Th1,Stat4,signal transducer,activator,Th2,Stat6","43,250,200,222,51,261","46,255,217,231,54,266","2,1,1,1,2,1"
661,"An analysis of chemokines in the preeclamptic serum samples showed high levels of CXCL10, CCL2, and CXCL9.",25574467_4,"CCL2,chemokines,CXCL10,CXCL9","90,15,82,100","94,25,88,105","0,0,0,0"
662,"An area of great interest in T-cell-mediated adaptive immunity is the ability of naive CD4(+) T cells generated in the thymus to differentiate into various subsets including T-helper 1 (Th1), Th2, Th17, Th9, follicular helper T (Tfh), Th22, and regulatory T (Treg) cells, upon encountering different pathogens and microenvironments.",23405894_2,"Tfh,T-helper 1,Th9,regulatory T,follicular helper T,Th17,Th2,Th1","229,174,203,245,208,197,192,186","232,184,206,257,227,201,195,189","2,2,2,2,2,2,2,2"
663,An effective immune response requires the expansion and survival of a large number of activated T cells.,17312138_0,T cells,96,103,2
664,An elevated level of IL-21 was found in SLE CD4+ T cells.,27818202_4,IL-21,21,26,0
665,"An examination of T cells from multiple sclerosis patients revealed a normal frequency of CD4(+)CD25(+)CD127(low)FoxP3(+), but interestingly a deficit in the relative frequency and the suppressive function of CD4(+)CD25(+)CD127(low)FoxP3(+)CD39(+) Treg cells.",19917691_3,"Treg cells,T cells,suppressive function","248,18,185","258,25,205","2,2,0"
666,An important but elusive aim for most immunization strategies is to produce memory T cells that provide durable immunity.,17114431_1,memory T cells,76,90,2
667,"An important feature of the adaptive immune response is its remarkable capacity to regulate the duration of inflammatory responses, and effector T cells have been shown to limit excessive immune responses by producing anti-inflammatory cytokines such as IL-10 and IL-27.",22761423_0,"IL-27,IL-10","264,254","269,259","0,0"
668,An important signaling pathway for the differentiation of T helper type 2 (TH2) cells from uncommitted CD4 T cell precursors is activation of the STAT6 transcription factor by interleukin 4 (IL-4).,9811885_0,"IL-4,interleukin 4,STAT6 transcription factor","191,176,146","195,189,172","0,0,1"
669,An increase in CD4(+) CD25(+) forkhead box protein 3 (FoxP3)(+) [regulatory T cell [(Treg)] numbers was also seen.,26077103_4,"regulatory T cell,Treg","65,85","82,89","2,2"
670,"An increase in IL-10-secreting T cells and Tregs, associated with increased expression of Gata-3 and FoxP3, generation of IL-10 in the supernatant, and proliferation of gastric epithelial cells (GECs) was observed.",23777268_9,"Tregs,proliferation,IL-10,Gata-3","43,152,122,90","48,165,127,96","2,1,0,1"
671,An increase in number of CD8+ T-cells and enhanced production of interferon gamma (IFNγ) was observed in tumor antigen stimulated splenocytes of vaccinated mice.,26079374_7,"IFNγ,interferon gamma","83,65","87,81","0,0"
672,An increase in our understanding of Treg cell suppressor mechanisms will offer an insight into how Treg cell function can be manipulated either positively or negatively in vivo.,19464986_4,"Treg cell,Treg cell","99,36","108,45","2,2"
673,An increase in the TGF-β-mediated Smad3 activity was also noted.,24811173_6,"TGF-β-mediated,Smad3","19,34","33,39","0,1"
674,An increase in the number of Tregs has been detected in the peripheral blood and tumor infiltrating lymphocytes of patients with hepatocellular carcinoma.,23000301_2,"hepatocellular carcinoma,Tregs","129,29","153,34","1,2"
675,An increased IL-17A/IL-17F ratio may aggravate the proinflammatory phenotype of SLE.,22184122_8,IL-17A/IL-17F,13,26,0
676,"An orally active antiallergic agent, M50367, skews the Th1/Th2 balance toward Th1 dominance by suppressing naive Th cell differentiation into Th2 cells in vitro.",16301641_0,"Th1/Th2,Th2 cells,Th1","55,142,78","62,151,81","2,2,2"
677,"Analogous to human iNKT cells, in vitro stimulation of porcine leukocytes with the CD1d ligand α-galactosylceramide resulted in rapid iNKT cell proliferation, evidenced by an increase in frequency and Ki-67 expression.",31316500_7,"iNKT cells,iNKT,Ki-67,ligand,cell proliferation","19,134,201,88,139","29,138,206,94,157","2,2,0,0,1"
678,Analyses of WSX-1 knockout (WSX-1(-/-)) mice have shown that IL-27/WSX-1 signaling is essential for the proper development of T(h)1 responses and that WSX-1 can suppress cellular activation and pro-inflammatory cytokine production.,15908443_1,WSX-1,151,156,1
679,"Analyses of cytokine responses in both types of HIES have revealed defects in signal transduction for multiple cytokines including IL-6 and IL-23, leading to impaired T(h)17 function.",19088064_5,IL-23,140,145,0
680,Analyses of intracellular signaling showed that CQ specifically inhibited autophagic flux and additionally activation of AP-1 by reducing phosphorylation of c-JUN.,28169350_8,"c-JUN,AP-1,CQ,phosphorylation","157,121,48,138","162,125,50,153","1,1,1,1"
681,Analyses of signaling pathways indicated that IL-7 and IL-2 induced a delayed and sustained P-Akt signal that lasted for several days and was partially inhibited by IFN-α.,25784743_5,"IL-7,IFN-α,IL-2","46,165,55","50,170,59","0,0,0"
682,Analyses revealed that NSPCs inhibited T-cell proliferation and interferon-gamma production in a dose-dependent manner.,22888011_2,interferon-gamma production,64,91,0
683,Analysis ex vivo of transferred Th17 cells in the spleen and CNS of recipient mice showed that cells retained similar phenotype irrespective of whether cells were treated or not with IL-27.,19786534_8,IL-27,183,188,0
684,"Analysis of DC subsets reveals a differential regulation of ILT3 expression by 1,25(OH)(2)D(3), with a marked up-regulation in myeloid DCs but no effect on its expression by plasmacytoid DCs.",16030186_3,myeloid,127,134,0
685,"Analysis of GILZ expression revealed that TSC-22 prevented the induction of the GILZ protein upon IL-2 deprivation, by inhibiting gilz mRNA transcription.",26752201_7,"IL-2,TSC-22","98,42","102,48","0,0"
686,Analysis of IL-2 regulation showed enhanced mRNA induction but normal protein production in activated FADDdn T cells.,15376191_5,"protein,IL-2 regulation,T cells","70,12,109","77,27,116","1,0,2"
